21 Jun 2016 01:06:58 : LimitlessMc , Flame#8516 , !youtube tarantula
21 Jun 2016 01:06:58 : LimitlessMc , Genesect#6492 , !youtube paula the koala
21 Jun 2016 01:07:03 : LimitlessMc , Flame#8516 , lol
21 Jun 2016 01:07:03 : LimitlessMc , Genesect#6492 , lelel
21 Jun 2016 01:07:08 : LimitlessMc , Flame#8516 , !skip
21 Jun 2016 01:07:15 : LimitlessMc , Wertfuzzy77#0274 , ... accidently pressed disconnect
21 Jun 2016 01:07:18 : LimitlessMc , Flame#8516 , !skip
21 Jun 2016 01:07:21 : LimitlessMc , Flame#8516 , wtf
21 Jun 2016 01:07:38 : LimitlessMc , Genesect#6492 , fuck this
21 Jun 2016 01:07:40 : LimitlessMc , Genesect#6492 , i hate spiders
21 Jun 2016 01:07:41 : LimitlessMc , Nalk Xulk Uk Eht#7098 , !youtube fisting
21 Jun 2016 01:07:41 : LimitlessMc , Wertfuzzy77#0274 , also bot has same problem <@135660968804876289>
21 Jun 2016 01:07:50 : LimitlessMc , Genesect#6492 , le
21 Jun 2016 01:07:56 : LimitlessMc , Genesect#6492 , wtf
21 Jun 2016 01:07:59 : LimitlessMc , Genesect#6492 , are we listing to
21 Jun 2016 01:08:01 : LimitlessMc , Genesect#6492 , !skip
21 Jun 2016 01:08:09 : LimitlessMc , Genesect#6492 , listening
21 Jun 2016 01:08:12 : LimitlessMc , Nalk Xulk Uk Eht#7098 , lmao
21 Jun 2016 01:08:12 : LimitlessMc , Genesect#6492 , fuck spelling
21 Jun 2016 01:08:17 : LimitlessMc , Nalk Xulk Uk Eht#7098 , it said insane fisting
21 Jun 2016 01:08:19 : LimitlessMc , Genesect#6492 , !youtube turtles mating
21 Jun 2016 01:08:25 : LimitlessMc , Genesect#6492 , this is the stuff
21 Jun 2016 01:08:25 : LimitlessMc , Nalk Xulk Uk Eht#7098 , !youtube insane fisting
21 Jun 2016 01:08:29 : LimitlessMc , Genesect#6492 , that got me banned
21 Jun 2016 01:08:39 : LimitlessMc , Genesect#6492 , omg
21 Jun 2016 01:08:40 : LimitlessMc , Genesect#6492 , music
21 Jun 2016 01:08:43 : LimitlessMc , Genesect#6492 , and turtles mating
21 Jun 2016 01:08:56 : LimitlessMc , Genesect#6492 , LOL
21 Jun 2016 01:09:03 : LimitlessMc , Genesect#6492 , hot
21 Jun 2016 01:09:06 : LimitlessMc , Genesect#6492 , hot turtle sex
21 Jun 2016 01:09:09 : LimitlessMc , Flame#8516 , omfg
21 Jun 2016 01:09:28 : LimitlessMc , Flame#8516 , !stop
21 Jun 2016 01:09:36 : LimitlessMc , Flame#8516 , !stop
21 Jun 2016 01:09:37 : LimitlessMc , Flame#8516 , !
21 Jun 2016 01:09:41 : LimitlessMc , Flame#8516 , !skip
21 Jun 2016 01:09:43 : LimitlessMc , Genesect#6492 , !stop
21 Jun 2016 01:09:46 : LimitlessMc , Genesect#6492 , oh no
21 Jun 2016 01:09:47 : LimitlessMc , Flame#8516 , fuk gerald
21 Jun 2016 01:09:48 : LimitlessMc , Genesect#6492 , ohhh noo
21 Jun 2016 01:09:50 : LimitlessMc , Genesect#6492 , gerald
