22 Jun 2016 21:56:39 : LimitlessMc , Wertfuzzy77#0274 , chill
22 Jun 2016 21:56:42 : LimitlessMc , Wertfuzzy77#0274 , !kill Gerald
22 Jun 2016 21:56:43 : LimitlessMc , Botfuzzy77#2926 , :skull: *Wertfuzzy77 Killed Gerald* :skull:
22 Jun 2016 21:56:43 : LimitlessMc , Gerald#7099 , Sorry, you are not permitted to use this feature
22 Jun 2016 21:57:02 : LimitlessMc , D3NSH1N#8702 , I have another idea. When someone tells you not to call him something, respect him and don't. How about that?
22 Jun 2016 21:57:05 : LimitlessMc , Nalk Xulk Uk Eht#7098 , lelel
22 Jun 2016 21:57:24 : LimitlessMc , Wertfuzzy77#0274 , !fml
22 Jun 2016 21:57:26 : LimitlessMc , Botfuzzy77#2926 , *Today, I was walking my dog. A cute guy stopped me and said, "Wow, you are gorgeous!" I said thanks. He looked at me like I was nuts and said, "Not you, your dog." FML*
22 Jun 2016 22:05:22 : LimitlessMc , depthy#3405 , Occasionally I read this chat and then I worry about the next generation
22 Jun 2016 22:05:39 : LimitlessMc , depthy#3405 , But then I'm like shit I'm part of them
22 Jun 2016 22:05:44 : LimitlessMc , Wertfuzzy77#0274 , lol
22 Jun 2016 22:06:23 : LimitlessMc , depthy#3405 , !meme you only yolo once
22 Jun 2016 22:06:25 : LimitlessMc , Gerald#7099 , http://i.imgflip.com/16a6l8.jpg
22 Jun 2016 22:06:30 : LimitlessMc , depthy#3405 , Oh
22 Jun 2016 22:06:36 : LimitlessMc , depthy#3405 , That's a beautiful meme
22 Jun 2016 22:06:39 : LimitlessMc , depthy#3405 , 10/10
22 Jun 2016 22:06:56 : LimitlessMc , Wertfuzzy77#0274 , !kill That_Meme
22 Jun 2016 22:06:56 : LimitlessMc , Botfuzzy77#2926 , :skull: *Wertfuzzy77 Killed That_Meme* :skull:
22 Jun 2016 22:06:57 : LimitlessMc , Gerald#7099 , Sorry, you are not permitted to use this feature
22 Jun 2016 22:07:56 : LimitlessMc , depthy#3405 , Rip
22 Jun 2016 22:34:15 : LimitlessMc , Genesect#6492 , blame <@107947292442492928>  for broken server
22 Jun 2016 22:34:22 : LimitlessMc , Genesect#6492 , he overloaded it with meme
22 Jun 2016 22:34:29 : LimitlessMc , Genesect#6492 , a single meme
22 Jun 2016 22:34:53 : LimitlessMc , Nalk Xulk Uk Eht#7098 , fist me <@135660968804876289>
22 Jun 2016 22:35:08 : LimitlessMc , Genesect#6492 , <@151163520120127488>  no thats the shit that got me banned
22 Jun 2016 22:35:12 : LimitlessMc , Genesect#6492 , i cant do that anymore
22 Jun 2016 22:35:28 : LimitlessMc , Nalk Xulk Uk Eht#7098 , bet
22 Jun 2016 22:46:41 : LimitlessMc , cdellama#2105 , Is the server down? i can't connect.
22 Jun 2016 22:46:50 : LimitlessMc , Wertfuzzy77#0274 , not down
22 Jun 2016 22:47:01 : LimitlessMc , cdellama#2105 , okay
22 Jun 2016 22:49:08 : LimitlessMc , cdellama#2105 , i can conenct to all othe pixelmon servers, but it just says pinging for limitless
22 Jun 2016 22:50:42 : LimitlessMc , SoloRizing#6750 , ^^
22 Jun 2016 22:52:00 : LimitlessMc , Wertfuzzy77#0274 , well then
22 Jun 2016 22:52:35 : LimitlessMc , Gerald#7099 , http://i.imgflip.com/16a96q.jpg
22 Jun 2016 22:52:45 : LimitlessMc , Wertfuzzy77#0274 , !fml
22 Jun 2016 22:52:51 : LimitlessMc , Botfuzzy77#2926 , *Today, while serving a customer, she told me: "God made you a working class citizen so you could serve! If God wanted you to go to college, he would have made sure you were able to go!" FML*
22 Jun 2016 22:53:00 : LimitlessMc , Nalk Xulk Uk Eht#7098 , !meme I want you!
22 Jun 2016 22:53:01 : LimitlessMc , Gerald#7099 , http://i.imgflip.com/16a979.jpg
22 Jun 2016 22:53:20 : LimitlessMc , Wertfuzzy77#0274 , !fml
22 Jun 2016 22:53:21 : LimitlessMc , Botfuzzy77#2926 , *Today, my son was fired from his new job, which was going to support us since I recently lost mine. His excuse was, "Conflict of interest." He was a mascot for a fast-food restaurant and refused to dance around. FML*
22 Jun 2016 22:53:54 : LimitlessMc , Gerald#7099 , http://i.imgflip.com/16a98y.jpg
22 Jun 2016 22:54:39 : LimitlessMc , Nalk Xulk Uk Eht#7098 , !meme dank memes are dank
22 Jun 2016 22:54:41 : LimitlessMc , Gerald#7099 , http://i.imgflip.com/16a9ae.jpg
22 Jun 2016 22:55:12 : LimitlessMc , Gerald#7099 , http://i.imgflip.com/16a9bs.jpg
23 Jun 2016 00:01:19 : LimitlessMc , Genesect#6492 , is server broke?
23 Jun 2016 00:01:56 : LimitlessMc , Genesect#6492 , i cant join
23 Jun 2016 00:02:02 : LimitlessMc , Genesect#6492 , it just says disconnected
23 Jun 2016 00:02:13 : LimitlessMc , Genesect#6492 , <@&148203743362547712>  hep
23 Jun 2016 00:02:59 : LimitlessMc , Genesect#6492 , please help
23 Jun 2016 00:03:11 : LimitlessMc , Genesect#6492 , my friend says it says im still in server
23 Jun 2016 00:03:21 : LimitlessMc , Nalk Xulk Uk Eht#7098 , bet
23 Jun 2016 00:03:32 : LimitlessMc , Genesect#6492 , roy does it say im in server
23 Jun 2016 00:04:05 : LimitlessMc , Nalk Xulk Uk Eht#7098 , yes
23 Jun 2016 00:04:07 : LimitlessMc , Genesect#6492 , wtf
23 Jun 2016 00:04:09 : LimitlessMc , Genesect#6492 , im not
23 Jun 2016 00:04:14 : LimitlessMc , Genesect#6492 , i cant join
23 Jun 2016 00:04:16 : LimitlessMc , Nalk Xulk Uk Eht#7098 , bet
23 Jun 2016 00:04:26 : LimitlessMc , Genesect#6492 , this sucks
23 Jun 2016 00:04:37 : LimitlessMc , Mank#0033 , get hacked kid
23 Jun 2016 00:04:47 : LimitlessMc , Genesect#6492 , but foreal
23 Jun 2016 00:04:54 : LimitlessMc , Genesect#6492 , it happened to my friend the other day
23 Jun 2016 00:04:57 : LimitlessMc , Genesect#6492 , idk how to fix
23 Jun 2016 00:05:00 : LimitlessMc , Nalk Xulk Uk Eht#7098 , <@151438890107011072> kick him
23 Jun 2016 00:06:53 : LimitlessMc , Genesect#6492 , didnt work
23 Jun 2016 00:06:58 : LimitlessMc , Genesect#6492 , it still says im on
23 Jun 2016 00:07:54 : LimitlessMc , Mank#0033 , already kicked
23 Jun 2016 00:08:03 : LimitlessMc , Genesect#6492 , it never said i left tho
23 Jun 2016 00:08:25 : LimitlessMc , Genesect#6492 , its not working
23 Jun 2016 00:08:35 : LimitlessMc , Genesect#6492 , i think im stuck on the server
