23 Jun 2016 22:29:38 : Cipher , Calamariela#4119 , I wish toph would call me babe xD
23 Jun 2016 22:30:03 : Cipher , Wertfuzzy77#0274 , ill call you babe <@183307266475294721>
23 Jun 2016 22:30:37 : Cipher , Calamariela#4119 , Lol marifuzzy
23 Jun 2016 22:31:15 : Cipher , Calamariela#4119 , Sorry wert not allowed :3
23 Jun 2016 22:31:23 : Cipher , Wertfuzzy77#0274 , aw
23 Jun 2016 22:31:53 : Cipher , Calamariela#4119 , If you were a girl....or not attracted to girls then yes you can :3
23 Jun 2016 22:34:38 : Cipher , Wertfuzzy77#0274 , ya sory, straight male
23 Jun 2016 22:35:12 : Cipher , Calamariela#4119 , Damn it
23 Jun 2016 22:35:13 : Cipher , Wertfuzzy77#0274 , Roy a girl
23 Jun 2016 22:35:40 : Cipher , Calamariela#4119 , I guess I have to change xD
23 Jun 2016 22:36:01 : Cipher , Calamariela#4119 , Oh Roy? A girl? You can call me babe then lol
23 Jun 2016 22:36:07 : Cipher , Wertfuzzy77#0274 , lol
23 Jun 2016 22:37:20 : Cipher , Calamariela#4119 , Lol Justin wants marigamer
23 Jun 2016 22:37:23 : Cipher , Nalk Xulk Uk Eht#7098 , yes, i'm a girl into furry lesbian sex
23 Jun 2016 22:37:40 : Cipher , Calamariela#4119 , Oh lesbian? Then no babe xD
23 Jun 2016 22:37:53 : Cipher , Nalk Xulk Uk Eht#7098 , i'm not a lesbian
23 Jun 2016 22:37:57 : Cipher , Nalk Xulk Uk Eht#7098 , i'm just into it
23 Jun 2016 22:38:00 : Cipher , Calamariela#4119 , Ah
23 Jun 2016 22:38:00 : Cipher , Wertfuzzy77#0274 , can i watch
23 Jun 2016 22:38:48 : Cipher , Calamariela#4119 , Lol I told Justin no BC he is like never on
23 Jun 2016 22:38:54 : Cipher , Wertfuzzy77#0274 , lol
23 Jun 2016 22:38:56 : Cipher , Wertfuzzy77#0274 , shutdown
23 Jun 2016 22:40:03 : Cipher , Wertfuzzy77#0274 , !kiss <@183307266475294721>
23 Jun 2016 22:40:04 : Cipher , Botfuzzy77#2926 , :heart: *Wertfuzzy77 Kissed <@183307266475294721>* :heart:
23 Jun 2016 22:40:05 : Cipher , Wertfuzzy77#0274 , bb
23 Jun 2016 22:40:29 : Cipher , Calamariela#4119 , No Roy you like Rachel
23 Jun 2016 22:40:35 : Cipher , Calamariela#4119 , She your bae
23 Jun 2016 22:41:08 : Cipher , Nalk Xulk Uk Eht#7098 , meh, everyone is my babe
23 Jun 2016 22:41:11 : Cipher , Nalk Xulk Uk Eht#7098 , except mank
23 Jun 2016 22:41:12 : Cipher , Nalk Xulk Uk Eht#7098 , he gay
23 Jun 2016 22:41:15 : Cipher , Wertfuzzy77#0274 , poor mank
23 Jun 2016 22:41:35 : Cipher , Nalk Xulk Uk Eht#7098 , !kiss <@183307266475294721> <@!134441036905840640>
23 Jun 2016 22:41:36 : Cipher , Botfuzzy77#2926 , :heart: *Nalk Xulk Uk Eht Kissed <@183307266475294721>* :heart:
23 Jun 2016 22:41:39 : Cipher , Nalk Xulk Uk Eht#7098 , ...
23 Jun 2016 22:41:42 : Cipher , Wertfuzzy77#0274 , lol
23 Jun 2016 22:41:44 : Cipher , Wertfuzzy77#0274 , gj
23 Jun 2016 22:41:45 : Cipher , Nalk Xulk Uk Eht#7098 , no multiple kiss?
23 Jun 2016 22:41:50 : Cipher , Nalk Xulk Uk Eht#7098 , i sad
23 Jun 2016 22:42:09 : Cipher , Wertfuzzy77#0274 , takes the word after '!kiss' and does it for that
23 Jun 2016 22:42:14 : Cipher , Wertfuzzy77#0274 , like ./hug ig
23 Jun 2016 22:42:38 : Cipher , Wertfuzzy77#0274 , hmm, might be able to do multiple tho
23 Jun 2016 22:42:41 : Cipher , Wertfuzzy77#0274 , i god coder
23 Jun 2016 22:42:43 : Cipher , Nalk Xulk Uk Eht#7098 , !kiss Wertfuzzy77&Calamariela
23 Jun 2016 22:42:43 : Cipher , Botfuzzy77#2926 , :heart: *Nalk Xulk Uk Eht Kissed Wertfuzzy77&Calamariela* :heart:
23 Jun 2016 22:42:47 : Cipher , Wertfuzzy77#0274 , gg
23 Jun 2016 22:42:47 : Cipher , Nalk Xulk Uk Eht#7098 , aye
23 Jun 2016 22:42:54 : Cipher , Calamariela#4119 , Well  wert pls turn gay
23 Jun 2016 22:42:57 : Cipher , Wertfuzzy77#0274 , #WertMari
23 Jun 2016 22:43:14 : Cipher , Calamariela#4119 , I want to call you babe
23 Jun 2016 22:43:27 : Cipher , Wertfuzzy77#0274 , call me anything babe
23 Jun 2016 22:45:05 : Cipher , Wertfuzzy77#0274 , #Royfuzzy
23 Jun 2016 22:45:16 : Cipher , Wertfuzzy77#0274 , or
23 Jun 2016 22:45:22 : Cipher , Wertfuzzy77#0274 , #Wert210
23 Jun 2016 22:45:24 : Cipher , Nalk Xulk Uk Eht#7098 , #RoyFuzzyMariela
23 Jun 2016 22:45:32 : Cipher , Wertfuzzy77#0274 , nah
23 Jun 2016 22:46:03 : Cipher , Nalk Xulk Uk Eht#7098 , #RoyFuzzyMarielaBotHeralan77
23 Jun 2016 22:46:58 : Cipher , Calamariela#4119 , No marifuzzy
23 Jun 2016 22:47:08 : Cipher , Calamariela#4119 , Or calafuzzy
23 Jun 2016 22:47:25 : Cipher , Wertfuzzy77#0274 , nah, i like WertMari
23 Jun 2016 22:47:40 : Cipher , Nalk Xulk Uk Eht#7098 , #calamar210
23 Jun 2016 22:47:43 : Cipher , Calamariela#4119 , No I get top xD
23 Jun 2016 22:47:54 : Cipher , Wertfuzzy77#0274 , ugh, so picky
23 Jun 2016 22:48:06 : Cipher , Nalk Xulk Uk Eht#7098 , no <@183307266475294721> joe gets toph
23 Jun 2016 22:48:17 : Cipher , Wertfuzzy77#0274 , lol
23 Jun 2016 22:48:23 : Cipher , Wertfuzzy77#0274 , <#195366716186820608>
23 Jun 2016 22:48:30 : Cipher , Nalk Xulk Uk Eht#7098 , deleating cause idk who know about that
23 Jun 2016 22:48:33 : Cipher , Calamariela#4119 , Lol I meant top as in....lol whatever it was dirty sorry
