10 Jul 2016 02:23:05 : Cipher , Wertfuzzy77#0274 , ;join 174395437330071553
10 Jul 2016 02:23:07 : Cipher , RoyGasm ;)#7098 , ;youtube https://www.youtube.com/watch?v=lp-EO5I60KA
10 Jul 2016 02:23:12 : Cipher , Wertfuzzy77#0274 , lol
10 Jul 2016 02:23:13 : Cipher , RoyGasm ;)#7098 , finally
10 Jul 2016 02:23:17 : Cipher , RoyGasm ;)#7098 , lmfao
10 Jul 2016 02:23:26 : Cipher , RoyGasm ;)#7098 , em
10 Jul 2016 02:23:29 : Cipher , RoyGasm ;)#7098 , OH
10 Jul 2016 02:23:35 : Cipher , RoyGasm ;)#7098 , WTF
10 Jul 2016 02:23:38 : Cipher , RoyGasm ;)#7098 , CRASHING
10 Jul 2016 02:24:46 : Cipher , RoyGasm ;)#7098 , KISS ME UNDER THE LIGHT OF A THOUSAND STARS
10 Jul 2016 02:24:50 : The Pleb Privateers , Wertfuzzy77#0274 , is there any way to just reload extentions without restart the whole bot?
10 Jul 2016 02:24:53 : Cipher , RoyGasm ;)#7098 , I'M THINKING OUT LOUD
10 Jul 2016 02:24:57 : The Pleb Privateers , enragednuke#2565 , uhh
10 Jul 2016 02:25:04 : The Pleb Privateers , enragednuke#2565 , robodanny has load and unload commands
10 Jul 2016 02:25:06 : The Pleb Privateers , enragednuke#2565 , but i dont use tthose
10 Jul 2016 02:25:15 : The Pleb Privateers , enragednuke#2565 , https://github.com/Rapptz/RoboDanny
10 Jul 2016 02:25:18 : The Pleb Privateers , enragednuke#2565 , by the author of discord.py
10 Jul 2016 02:25:21 : Cipher , Wertfuzzy77#0274 , ;funify CAPS
10 Jul 2016 02:25:21 : Cipher , Botfuzzy77#2209 , cCAPs 
10 Jul 2016 02:25:31 : Cipher , RoyGasm ;)#7098 , FUCK YOU
10 Jul 2016 02:25:32 : Cipher , RoyGasm ;)#7098 , LE
10 Jul 2016 02:25:34 : Cipher , RoyGasm ;)#7098 , JK BABE
10 Jul 2016 02:26:33 : Cipher , RoyGasm ;)#7098 , KISS ME UNDER THE LIGHT OF A THOUSAND STARS
10 Jul 2016 02:26:59 : The Pleb Privateers , enragednuke#2565 , https://github.com/Rapptz/RoboDanny/blob/38d0f28b36afcf60aa3a971f4546b8fd8224538c/cogs/admin.py in herre
10 Jul 2016 02:27:20 : The Pleb Privateers , enragednuke#2565 , `bot.load_extension` and `bot.unload_extension`
10 Jul 2016 02:27:24 : The Pleb Privateers , Wertfuzzy77#0274 , oo fancy
10 Jul 2016 02:27:40 : The Pleb Privateers , Wertfuzzy77#0274 , cause then i wouldnt really need to restart bot
10 Jul 2016 02:27:56 : The Pleb Privateers , Wertfuzzy77#0274 , ill just work in extentions and keep bot always online
10 Jul 2016 02:28:01 : The Pleb Privateers , enragednuke#2565 , loll
10 Jul 2016 02:28:03 : The Pleb Privateers , enragednuke#2565 , loll
10 Jul 2016 02:28:04 : The Pleb Privateers , enragednuke#2565 , fuck
10 Jul 2016 02:28:05 : The Pleb Privateers , enragednuke#2565 , u
10 Jul 2016 02:28:06 : The Pleb Privateers , enragednuke#2565 , keyboard
10 Jul 2016 02:28:08 : The Pleb Privateers , enragednuke#2565 , lol*
10 Jul 2016 02:28:11 : Cipher , Wertfuzzy77#0274 , ;youtube https://www.youtube.com/watch?v=fLexgOxsZu0
10 Jul 2016 02:28:27 : The Pleb Privateers , Wertfuzzy77#0274 , ;lmgtfy how to correctly type
10 Jul 2016 02:28:28 : The Pleb Privateers , Botfuzzy77#2209 , http://lmgtfy.com/?q=how+to+correctly+type
10 Jul 2016 02:28:28 : Cipher , RoyGasm ;)#7098 , no pls
10 Jul 2016 02:28:31 : Cipher , RoyGasm ;)#7098 , EAR EBOLA
10 Jul 2016 02:28:46 : Cipher , Wertfuzzy77#0274 , ;skip
10 Jul 2016 02:28:47 : The Pleb Privateers , enragednuke#2565 , ;lmgtfy my keyboard is fucked
10 Jul 2016 02:28:47 : The Pleb Privateers , Botfuzzy77#2209 , http://lmgtfy.com/?q=my+keyboard+is+fucked
10 Jul 2016 02:28:48 : Cipher , Wertfuzzy77#0274 , ;youtube https://www.youtube.com/watch?v=SR6iYWJxHqs
10 Jul 2016 02:28:51 : Cipher , RoyGasm ;)#7098 , MEH
10 Jul 2016 02:28:58 : The Pleb Privateers , Wertfuzzy77#0274 , ;lmgtfy sux
10 Jul 2016 02:28:58 : The Pleb Privateers , Botfuzzy77#2209 , http://lmgtfy.com/?q=sux
10 Jul 2016 02:29:04 : The Pleb Privateers , enragednuke#2565 , ;lmgtfy 4u
10 Jul 2016 02:29:04 : The Pleb Privateers , Botfuzzy77#2209 , http://lmgtfy.com/?q=4u
10 Jul 2016 02:29:15 : The Pleb Privateers , Wertfuzzy77#0274 , ^
10 Jul 2016 02:29:15 : The Pleb Privateers , Botfuzzy77#2209 , ^
10 Jul 2016 02:29:25 : LimitlessMc , Genesect#6492 , ^
10 Jul 2016 02:29:25 : LimitlessMc , Botfuzzy77#2209 , ^
10 Jul 2016 02:29:27 : LimitlessMc , Genesect#6492 , ^
10 Jul 2016 02:29:27 : LimitlessMc , Botfuzzy77#2209 , ^
10 Jul 2016 02:29:28 : LimitlessMc , Genesect#6492 , ^
10 Jul 2016 02:29:28 : LimitlessMc , Botfuzzy77#2209 , ^
10 Jul 2016 02:29:32 : LimitlessMc , Wertfuzzy77#0274 , ;kys
10 Jul 2016 02:29:32 : LimitlessMc , Botfuzzy77#2209 , Im Sorry, That goes against my programming
10 Jul 2016 02:29:35 : LimitlessMc , RoyGasm ;)#7098 , wtf spam
10 Jul 2016 02:29:39 : LimitlessMc , Genesect#6492 , ;kms
