10 Jul 2016 21:52:55 : Cipher , Wertfuzzy77#0274 , ;youtube
10 Jul 2016 21:52:57 : Cipher , Wertfuzzy77#0274 , ;join
10 Jul 2016 21:53:00 : Cipher , Wertfuzzy77#0274 , ;youtube https://www.youtube.com/watch?v=Ei4a4MJQ0rw
10 Jul 2016 22:04:27 : Cipher , Wertfuzzy77#0274 , hello
10 Jul 2016 22:04:28 : Cipher , Botfuzzy77#2209 , *From The Other Side*
10 Jul 2016 22:04:31 : Cipher , Wertfuzzy77#0274 , ;song
10 Jul 2016 22:04:32 : Cipher , Botfuzzy77#2209 , ```Name: Bob Segar - Old time rock n roll Lyrics Request - Heyy00121
URL: <https://www.youtube.com/watch?v=Ei4a4MJQ0rw>
Views: 1,627,114
Likes: 7,812, 96.03%
Dislikes: 323, 3.97%
```
10 Jul 2016 22:04:34 : Cipher , Wertfuzzy77#0274 , ;skip
10 Jul 2016 22:04:34 : Cipher , Botfuzzy77#2209 , Skipping Bob Segar - Old time rock n roll Lyrics Request - Heyy00121
10 Jul 2016 22:04:37 : Cipher , Wertfuzzy77#0274 , ;song
10 Jul 2016 22:04:37 : Cipher , Botfuzzy77#2209 , ```Name: Bob Segar - Old time rock n roll Lyrics Request - Heyy00121
URL: <https://www.youtube.com/watch?v=Ei4a4MJQ0rw>
Views: 1,627,114
Likes: 7,812, 96.03%
Dislikes: 323, 3.97%
```
10 Jul 2016 22:04:45 : Cipher , Wertfuzzy77#0274 , ;youtube https://www.youtube.com/watch?v=Ei4a4MJQ0rw
10 Jul 2016 22:04:49 : Cipher , Wertfuzzy77#0274 , ;song
10 Jul 2016 22:04:49 : Cipher , Botfuzzy77#2209 , ```Name: Bob Segar - Old time rock n roll Lyrics Request - Heyy00121
URL: <https://www.youtube.com/watch?v=Ei4a4MJQ0rw>
Views: 1,627,114
Likes: 7,812, 96.03%
Dislikes: 323, 3.97%
```
10 Jul 2016 22:05:05 : Cipher , Wertfuzzy77#0274 , ;youtube https://www.youtube.com/watch?v=-Du-CWASm20
10 Jul 2016 22:34:44 : Cipher , Wertfuzzy77#0274 , hello
