11 Jul 2016 23:22:28 : Cipher , RoyGasm ;)#7098 , ;eightball is cala blind?
11 Jul 2016 23:22:28 : Cipher , Botfuzzy77#2209 , Cannot predict now
11 Jul 2016 23:22:29 : Cipher , Wertfuzzy77#0274 , ;eightball is roy a nub
11 Jul 2016 23:22:29 : Cipher , Botfuzzy77#2209 , Cannot predict now
11 Jul 2016 23:22:36 : Cipher , Wertfuzzy77#0274 , ;eightball is roy a nub
11 Jul 2016 23:22:36 : Cipher , Botfuzzy77#2209 , My sources say no
11 Jul 2016 23:22:37 : Cipher , Wertfuzzy77#0274 , ;eightball is roy a nub
11 Jul 2016 23:22:37 : Cipher , RoyGasm ;)#7098 , ;eighball is cala blind
11 Jul 2016 23:22:37 : Cipher , Botfuzzy77#2209 , Cannot predict now
11 Jul 2016 23:22:42 : Cipher , Wertfuzzy77#0274 , ;eightball is roy a nub
11 Jul 2016 23:22:42 : Cipher , Botfuzzy77#2209 , Most likely
11 Jul 2016 23:22:45 : Cipher , Calamariela#4119 , ;eightball is toph sexy?
11 Jul 2016 23:22:46 : Cipher , Botfuzzy77#2209 , Very doubtful
11 Jul 2016 23:22:50 : Cipher , Wertfuzzy77#0274 , LOL
11 Jul 2016 23:22:52 : Cipher , RoyGasm ;)#7098 , ^
11 Jul 2016 23:22:52 : Cipher , Botfuzzy77#2209 , ^
11 Jul 2016 23:22:56 : Cipher , Calamariela#4119 , ....lies
11 Jul 2016 23:23:07 : Cipher , RoyGasm ;)#7098 , ;eightball is cala gay=
11 Jul 2016 23:23:07 : Cipher , Botfuzzy77#2209 , Outlook good
11 Jul 2016 23:23:14 : Cipher , RoyGasm ;)#7098 , what?
11 Jul 2016 23:23:18 : Cipher , RoyGasm ;)#7098 , i no understand
11 Jul 2016 23:23:22 : Cipher , Calamariela#4119 , Pf
11 Jul 2016 23:23:31 : Cipher , RoyGasm ;)#7098 , ;eightball is cala gay?
11 Jul 2016 23:23:31 : Cipher , Botfuzzy77#2209 , My sources say no
11 Jul 2016 23:23:34 : Cipher , RoyGasm ;)#7098 , bet
11 Jul 2016 23:23:39 : Cipher , RoyGasm ;)#7098 , ;eightball is cala gay?
11 Jul 2016 23:23:39 : Cipher , Botfuzzy77#2209 , Cannot predict now
11 Jul 2016 23:23:42 : Cipher , RoyGasm ;)#7098 , ;eightball is cala gay?
11 Jul 2016 23:23:42 : Cipher , Botfuzzy77#2209 , It is certain
11 Jul 2016 23:23:44 : Cipher , RoyGasm ;)#7098 , ;eightball is cala gay?
11 Jul 2016 23:23:44 : Cipher , Botfuzzy77#2209 , Without a doubt
11 Jul 2016 23:23:50 : Cipher , RoyGasm ;)#7098 , ^
11 Jul 2016 23:23:50 : Cipher , Botfuzzy77#2209 , ^
11 Jul 2016 23:23:52 : Cipher , Calamariela#4119 , ....you cheat
11 Jul 2016 23:24:04 : Cipher , RoyGasm ;)#7098 , ;eightball does roy cheat?
11 Jul 2016 23:24:04 : Cipher , Botfuzzy77#2209 , Concentrate and ask again
11 Jul 2016 23:24:07 : Cipher , Wertfuzzy77#0274 , ;relog
11 Jul 2016 23:24:07 : Cipher , Botfuzzy77#2209 , Relogging...
