11 Jul 2016 23:24:43 : Cipher , RoyGasm ;)#7098 , ;eightball does roy cheat?
11 Jul 2016 23:24:45 : Cipher , RoyGasm ;)#7098 , ;eightball does roy cheat?
11 Jul 2016 23:24:45 : Cipher , Wertfuzzy77#0274 , i changed it to ;magicconch
11 Jul 2016 23:24:46 : Cipher , RoyGasm ;)#7098 , ;eightball does roy cheat?
11 Jul 2016 23:24:54 : Cipher , Calamariela#4119 , lol
11 Jul 2016 23:24:57 : Cipher , Wertfuzzy77#0274 , ;magicconch Is Roy a nub
11 Jul 2016 23:24:58 : Cipher , Botfuzzy77#2209 , The Conch has Spoken!
11 Jul 2016 23:24:58 : Cipher , Botfuzzy77#2209 , **It is decidedly so**
11 Jul 2016 23:24:58 : Cipher , RoyGasm ;)#7098 , ;magicconch does roy cheat?
11 Jul 2016 23:24:59 : Cipher , Botfuzzy77#2209 , The Conch has Spoken!
11 Jul 2016 23:24:59 : Cipher , Botfuzzy77#2209 , **You may rely on it**
11 Jul 2016 23:25:04 : Cipher , Wertfuzzy77#0274 , lol
11 Jul 2016 23:25:25 : Cipher , RoyGasm ;)#7098 , ;magicconch is wert intelligent?
11 Jul 2016 23:25:26 : Cipher , Botfuzzy77#2209 , The Conch has Spoken!
11 Jul 2016 23:25:26 : Cipher , Botfuzzy77#2209 , **My sources say no**
11 Jul 2016 23:25:28 : Cipher , Wertfuzzy77#0274 , LOL 10/10 name
11 Jul 2016 23:25:29 : Cipher , RoyGasm ;)#7098 , .-.
11 Jul 2016 23:25:35 : Cipher , Wertfuzzy77#0274 , oi mean <@!187609093001838602>
11 Jul 2016 23:25:53 : Cipher , Wertfuzzy77#0274 , ;join
11 Jul 2016 23:25:54 : Cipher , Calamariela#4119 , ;luck
11 Jul 2016 23:25:54 : Cipher , Botfuzzy77#2209 , Calamariela's luck is 15.05 out of 100, which is **Completly Horrible**
11 Jul 2016 23:25:56 : Cipher , Wertfuzzy77#0274 , ;youtube https://www.youtube.com/watch?v=Mx0xCI1jaUM
11 Jul 2016 23:25:57 : Cipher , Calamariela#4119 , ....
11 Jul 2016 23:25:58 : Cipher , Wertfuzzy77#0274 , gj
11 Jul 2016 23:26:00 : Cipher , Wertfuzzy77#0274 , ;rate
11 Jul 2016 23:26:01 : Cipher , Botfuzzy77#2209 , Wertfuzzy77 is Basically Garbage
11 Jul 2016 23:26:06 : Cipher , Calamariela#4119 , xD
11 Jul 2016 23:26:08 : Cipher , Botfuzzy77#2209 , The Conch has Spoken!
11 Jul 2016 23:26:08 : Cipher , Botfuzzy77#2209 , **Cannot predict now**
11 Jul 2016 23:26:15 : Cipher , Botfuzzy77#2209 , The Conch has Spoken!
11 Jul 2016 23:26:15 : Cipher , Botfuzzy77#2209 , **Cannot predict now**
11 Jul 2016 23:26:17 : Cipher , Botfuzzy77#2209 , The Conch has Spoken!
11 Jul 2016 23:26:17 : Cipher , Botfuzzy77#2209 , **Cannot predict now**
11 Jul 2016 23:26:19 : Cipher , Botfuzzy77#2209 , The Conch has Spoken!
11 Jul 2016 23:26:20 : Cipher , Botfuzzy77#2209 , **My sources say no**
11 Jul 2016 23:26:21 : Cipher , Botfuzzy77#2209 , The Conch has Spoken!
