11 Jul 2016 23:36:02 : Cipher , RoyGasm ;)#7098 , i live it
11 Jul 2016 23:36:04 : Cipher , Wertfuzzy77#0274 , ;join
11 Jul 2016 23:36:05 : Cipher , RoyGasm ;)#7098 , i wank to it
11 Jul 2016 23:36:07 : Cipher , RoyGasm ;)#7098 , i love it
11 Jul 2016 23:36:10 : Cipher , Wertfuzzy77#0274 , ;youtube https://www.youtube.com/watch?v=uT3SBzmDxGk
11 Jul 2016 23:36:12 : Cipher , Wertfuzzy77#0274 , tmi
11 Jul 2016 23:36:21 : Cipher , Calamariela#4119 , like your name <@!151163520120127488>
11 Jul 2016 23:36:46 : Cipher , RoyGasm ;)#7098 , <@183307266475294721> how many orgasms have you had in this chat?
11 Jul 2016 23:36:53 : Cipher , Calamariela#4119 , mmmm 3
11 Jul 2016 23:36:59 : League Of Legends , Gerald#7099 , A meowth welcome to <@187609093001838602>
11 Jul 2016 23:36:59 : League Of Legends , Botfuzzy77#2209 , Wut
11 Jul 2016 23:37:01 : Cipher , Wertfuzzy77#0274 , xD
11 Jul 2016 23:37:15 : Cipher , Wertfuzzy77#0274 , weirdos
11 Jul 2016 23:37:34 : Cipher , Calamariela#4119 , <3Royfuzzy<3
11 Jul 2016 23:37:38 : Cipher , Wertfuzzy77#0274 , <@!151163520120127488>
11 Jul 2016 23:37:38 : Cipher , Wertfuzzy77#0274 , https://discordapp.com/oauth2/authorize?client_id=187608834381053952&scope=bot&permissions=00000008
11 Jul 2016 23:37:45 : Cipher , Calamariela#4119 , best ship
11 Jul 2016 23:37:51 : Cipher , Wertfuzzy77#0274 , nah
11 Jul 2016 23:37:53 : Cipher , Calamariela#4119 , i see wert blushing
11 Jul 2016 23:37:54 : Cipher , Wertfuzzy77#0274 , <#195366716186820608>
11 Jul 2016 23:38:00 : Cipher , Wertfuzzy77#0274 , cant beat it
11 Jul 2016 23:38:05 : Cipher , Calamariela#4119 , nah
11 Jul 2016 23:38:07 : Cipher , Wertfuzzy77#0274 , yup
11 Jul 2016 23:38:14 : Cipher , Calamariela#4119 , roy to the damn wert
11 Jul 2016 23:38:19 : Cipher , Wertfuzzy77#0274 , garbage
11 Jul 2016 23:38:22 : Cipher , Calamariela#4119 , xD
11 Jul 2016 23:38:42 : Cipher , Calamariela#4119 , you guys talk the most so it makes sense xD
11 Jul 2016 23:38:49 : Cipher , RoyGasm ;)#7098 , <@!134441036905840640> i'm muted in <#181585839057403904>
11 Jul 2016 23:38:58 : Cipher , Wertfuzzy77#0274 , ;unmuteall
11 Jul 2016 23:38:58 : Cipher , Botfuzzy77#2209 , Unmuting all players...
11 Jul 2016 23:39:24 : Cipher , Wertfuzzy77#0274 , fixed <@!151163520120127488>
