12 Jul 2016 00:05:45 : Cipher , RoyGasm ;)#7098 , .-.
12 Jul 2016 00:05:45 : Cipher , Wertfuzzy77#0274 , lol
12 Jul 2016 00:05:46 : Cipher , Wertfuzzy77#0274 , rip
12 Jul 2016 00:05:50 : Cipher , Wertfuzzy77#0274 , ;join
12 Jul 2016 00:05:51 : Cipher , RoyGasm ;)#7098 , ;eightball can toph stay for long?
12 Jul 2016 00:05:53 : Cipher , RoyGasm ;)#7098 , ;eightball can toph stay for long?
12 Jul 2016 00:05:54 : Cipher , RoyGasm ;)#7098 , ;eightball can toph stay for long?
12 Jul 2016 00:05:54 : Cipher , Wertfuzzy77#0274 , ;youtube https://www.youtube.com/watch?v=N-YuSKeFMxY
12 Jul 2016 00:05:55 : Cipher , RoyGasm ;)#7098 , ;eightball can toph stay for long?
12 Jul 2016 00:05:56 : Cipher , RoyGasm ;)#7098 , ;eightball can toph stay for long?
12 Jul 2016 00:05:58 : Cipher , RoyGasm ;)#7098 , ;eightball can toph stay for long?
12 Jul 2016 00:05:59 : Cipher , RoyGasm ;)#7098 , ;eightball can toph stay for long?
12 Jul 2016 00:06:01 : Cipher , RoyGasm ;)#7098 , oh
12 Jul 2016 00:06:01 : Cipher , Wertfuzzy77#0274 , ITS MAGICCONCH YOU NUB
12 Jul 2016 00:06:03 : Cipher , RoyGasm ;)#7098 , lmfao
12 Jul 2016 00:06:16 : Cipher , RoyGasm ;)#7098 , ;magicconch can toph stay for long?
12 Jul 2016 00:06:17 : Cipher , Botfuzzy77#2209 , *Signs point to yes*
12 Jul 2016 00:06:17 : Cipher , Botfuzzy77#2209 , The Conch has Spoken!
12 Jul 2016 00:06:23 : Cipher , RoyGasm ;)#7098 , you stay <@!180158716895690752>
12 Jul 2016 00:06:43 : Cipher , Wertfuzzy77#0274 , ;magicconch is roy correct
12 Jul 2016 00:06:43 : Cipher , Botfuzzy77#2209 , *My sources say no*
12 Jul 2016 00:06:44 : Cipher , Botfuzzy77#2209 , The Conch has Spoken!
12 Jul 2016 00:06:46 : Cipher , Wertfuzzy77#0274 , rekt
12 Jul 2016 00:06:57 : Cipher , Topheralan#1202 , Lmao
12 Jul 2016 00:07:02 : Cipher , RoyGasm ;)#7098 , ;magicconch is wert wrong?
12 Jul 2016 00:07:02 : Cipher , Wertfuzzy77#0274 , ugh, music bot is gonna lag cause MC is opening
12 Jul 2016 00:07:02 : Cipher , Botfuzzy77#2209 , *Don't count on it*
12 Jul 2016 00:07:02 : Cipher , Botfuzzy77#2209 , The Conch has Spoken!
12 Jul 2016 00:08:03 : Cipher , Wertfuzzy77#0274 , ew, rip music
12 Jul 2016 00:12:02 : Cipher , RoyGasm ;)#7098 , rihanna wert wert wert wert
12 Jul 2016 00:13:10 : Cipher , Wertfuzzy77#0274 , bet
12 Jul 2016 00:13:27 : Cipher , Wertfuzzy77#0274 , ;youtube https://www.youtube.com/watch?v=qfGggAGITwg
12 Jul 2016 00:15:01 : Cipher , Wertfuzzy77#0274 , ;relog
12 Jul 2016 00:15:02 : Cipher , Botfuzzy77#2209 , Relogging...
