12 Jul 2016 01:10:48 : Cipher , Wertfuzzy77#0274 , ok
12 Jul 2016 01:10:52 : Cipher , Wertfuzzy77#0274 , ;join
12 Jul 2016 01:10:53 : Cipher , RoyGasm ;)#7098 , good music
12 Jul 2016 01:11:03 : Cipher , Wertfuzzy77#0274 , ;youtube https://www.youtube.com/watch?v=kuNixp-wvWM
12 Jul 2016 01:11:13 : Cipher , RoyGasm ;)#7098 , NO HENTAI
12 Jul 2016 01:11:16 : Cipher , Wertfuzzy77#0274 , ALL DA HENTAI
12 Jul 2016 01:12:13 : Cipher , Wertfuzzy77#0274 , 94% sure it will crash after playing 1 song
12 Jul 2016 01:13:06 : Cipher , Wertfuzzy77#0274 , ;youtube https://www.youtube.com/watch?v=2fngvQS_PmQ
12 Jul 2016 01:13:10 : Cipher , Wertfuzzy77#0274 , ;jumpstart
12 Jul 2016 01:13:29 : Cipher , Wertfuzzy77#0274 , ;relog
12 Jul 2016 01:13:29 : Cipher , Botfuzzy77#2209 , Relogging...
