12 Jul 2016 01:44:10 : Cipher , RoyGasm ;)#7098 , OH MISTY EYE OF THE MOUNTAIN BELOW
12 Jul 2016 01:44:12 : Cipher , RoyGasm ;)#7098 , NRQAW
12 Jul 2016 01:44:12 : Cipher , RoyGasm ;)#7098 , MGN
12 Jul 2016 01:44:12 : Cipher , RoyGasm ;)#7098 , GMNAM
12 Jul 2016 01:44:13 : Cipher , RoyGasm ;)#7098 , GM
12 Jul 2016 01:44:13 : Cipher , RoyGasm ;)#7098 , MWS
12 Jul 2016 01:44:15 : Cipher , RoyGasm ;)#7098 , SONG NOW
12 Jul 2016 01:44:15 : Cipher , Wertfuzzy77#0274 , ;join
12 Jul 2016 01:44:17 : Cipher , RoyGasm ;)#7098 , OR BANNED
12 Jul 2016 01:44:23 : Cipher , Wertfuzzy77#0274 , ;youtube https://www.youtube.com/watch?v=2fngvQS_PmQ
12 Jul 2016 01:44:39 : Cipher , Wertfuzzy77#0274 , ;youtube https://www.youtube.com/watch?v=9bZkp7q19f0
12 Jul 2016 01:44:40 : Cipher , RoyGasm ;)#7098 , KEEP CAREFULL WATCH OF MY BROTHERS SOULS
12 Jul 2016 01:44:43 : Cipher , Wertfuzzy77#0274 , but actaully
12 Jul 2016 01:44:48 : Cipher , Wertfuzzy77#0274 , 2.6 Billion views
12 Jul 2016 01:44:51 : Cipher , Wertfuzzy77#0274 , like
12 Jul 2016 01:44:52 : Cipher , Wertfuzzy77#0274 , g
12 Jul 2016 01:44:52 : Cipher , Wertfuzzy77#0274 , g
12 Jul 2016 01:44:56 : Cipher , RoyGasm ;)#7098 , THEN SHOULD THE SKY BE FILLED WITH FIRE AND SMOKE
12 Jul 2016 01:45:03 : Cipher , RoyGasm ;)#7098 , KEEP WATCHING OVER YOU AND (IDK WHAT)
12 Jul 2016 01:45:19 : Cipher , RoyGasm ;)#7098 , FIRE
12 Jul 2016 01:45:20 : Cipher , RoyGasm ;)#7098 , FIRE
12 Jul 2016 01:45:21 : Cipher , RoyGasm ;)#7098 , FIRE
12 Jul 2016 01:45:22 : Cipher , RoyGasm ;)#7098 , FIRE
12 Jul 2016 01:45:23 : Cipher , RoyGasm ;)#7098 , FIRE
12 Jul 2016 01:45:24 : Cipher , RoyGasm ;)#7098 , FIRE
12 Jul 2016 01:45:25 : Cipher , RoyGasm ;)#7098 , FIRE
12 Jul 2016 01:45:26 : Cipher , RoyGasm ;)#7098 , FIRE
12 Jul 2016 01:45:27 : Cipher , RoyGasm ;)#7098 , FIRE
12 Jul 2016 01:45:28 : Cipher , RoyGasm ;)#7098 , FIRE
