12 Jul 2016 02:02:40 : Cipher , RoyGasm ;)#7098 , fuck you
12 Jul 2016 02:02:44 : Cipher , Wertfuzzy77#0274 , ;join
12 Jul 2016 02:02:50 : Cipher , RoyGasm ;)#7098 , YOU GOT THAT MILF MONEY
12 Jul 2016 02:02:52 : Cipher , Wertfuzzy77#0274 , ;youtube https://www.youtube.com/watch?v=NmugSMBh_iI
12 Jul 2016 02:03:01 : Cipher , RoyGasm ;)#7098 , WERT
12 Jul 2016 02:03:04 : Cipher , Wertfuzzy77#0274 , ;youtube def not a corrent url
12 Jul 2016 02:03:05 : Cipher , Botfuzzy77#2209 , Not a Valid Link, Please only use URLs from youtube.com
12 Jul 2016 02:03:08 : Cipher , RoyGasm ;)#7098 , too much marron v for u
12 Jul 2016 02:03:08 : Cipher , Wertfuzzy77#0274 , wut
12 Jul 2016 02:03:15 : Cipher , Wertfuzzy77#0274 , good songs tho
12 Jul 2016 02:03:31 : Cipher , RoyGasm ;)#7098 , yea, but that marron v spam tho
12 Jul 2016 02:03:34 : Cipher , RoyGasm ;)#7098 , too hard
12 Jul 2016 02:04:13 : Cipher , Wertfuzzy77#0274 , ;youtube https://www.youtube.com/watch?v=mWRsgZuwf_8
12 Jul 2016 02:04:28 : Cipher , Wertfuzzy77#0274 , ;youtube https://www.youtube.com/watch?v=RB-RcX5DS5A
12 Jul 2016 02:04:52 : Cipher , Wertfuzzy77#0274 , ;youtube https://www.youtube.com/watch?v=Sv6dMFF_yts
12 Jul 2016 02:05:02 : Cipher , Wertfuzzy77#0274 , ;youtube https://www.youtube.com/watch?v=qQkBeOisNM0
12 Jul 2016 02:05:05 : Cipher , Wertfuzzy77#0274 , ;songs
12 Jul 2016 02:05:05 : Cipher , Botfuzzy77#2209 , The Following songs are in the Queue
12 Jul 2016 02:05:05 : Cipher , Botfuzzy77#2209 , Imagine Dragons - Demons (Official) (https://www.youtube.com/watch?v=mWRsgZuwf_8)

12 Jul 2016 02:05:05 : Cipher , Botfuzzy77#2209 , Coldplay - The Scientist (https://www.youtube.com/watch?v=RB-RcX5DS5A)

12 Jul 2016 02:05:05 : Cipher , Botfuzzy77#2209 , Fun.: We Are Young ft. Janelle Monáe [OFFICIAL VIDEO] (https://www.youtube.com/watch?v=Sv6dMFF_yts)

