12 Jul 2016 02:14:23 : Cipher , RoyGasm ;)#7098 , watch grey's anatomy
12 Jul 2016 02:14:26 : Cipher , Wertfuzzy77#0274 , ;join
12 Jul 2016 02:14:33 : Cipher , Wertfuzzy77#0274 , ;youtube https://www.youtube.com/watch?v=Ri7-vnrJD3k
12 Jul 2016 02:14:43 : Cipher , Wertfuzzy77#0274 , ;youtube https://www.youtube.com/watch?v=EHkozMIXZ8w
12 Jul 2016 02:14:50 : Cipher , Wertfuzzy77#0274 , ;youtube https://www.youtube.com/watch?v=IcrbM1l_BoI
12 Jul 2016 02:15:08 : Cipher , RoyGasm ;)#7098 , https://youtu.be/nt8eVKmuwVc
12 Jul 2016 02:15:11 : Cipher , RoyGasm ;)#7098 , ew
12 Jul 2016 02:15:23 : Cipher , RoyGasm ;)#7098 , LETS GET right into the NEWS"!!!!!
12 Jul 2016 02:16:19 : Cipher , Wertfuzzy77#0274 , lol
12 Jul 2016 02:16:30 : Cipher , Wertfuzzy77#0274 , ;songs
12 Jul 2016 02:16:30 : Cipher , Botfuzzy77#2209 , The Following songs are in the Queue
12 Jul 2016 02:16:30 : Cipher , Botfuzzy77#2209 , Eminem - The Monster (Explicit) ft. Rihanna (https://www.youtube.com/watch?v=EHkozMIXZ8w)

12 Jul 2016 02:16:31 : Cipher , Botfuzzy77#2209 , Avicii - Wake Me Up (Official Video) (https://www.youtube.com/watch?v=IcrbM1l_BoI)

12 Jul 2016 02:16:33 : Cipher , Wertfuzzy77#0274 , ;song
12 Jul 2016 02:16:33 : Cipher , RoyGasm ;)#7098 , you watch keemfuck?
12 Jul 2016 02:16:33 : Cipher , Botfuzzy77#2209 , ```Name: Adele - Set Fire To The Rain (Live at The Royal Albert Hall)
URL: <https://www.youtube.com/watch?v=Ri7-vnrJD3k>
Views: 257,773,808
Likes: 958,567, 97.35%
Dislikes: 26,056, 2.65%
```
12 Jul 2016 02:16:36 : Cipher , Wertfuzzy77#0274 , nah
12 Jul 2016 02:16:42 : Cipher , Wertfuzzy77#0274 , also lets see if the remove works now
12 Jul 2016 02:16:44 : Cipher , Wertfuzzy77#0274 , ;remove2
12 Jul 2016 02:16:44 : Cipher , RoyGasm ;)#7098 , k thank god
12 Jul 2016 02:16:48 : Cipher , Wertfuzzy77#0274 , ;remove 2
12 Jul 2016 02:16:54 : Cipher , RoyGasm ;)#7098 , ;songs
12 Jul 2016 02:16:54 : Cipher , Botfuzzy77#2209 , The Following songs are in the Queue
12 Jul 2016 02:16:54 : Cipher , Botfuzzy77#2209 , Eminem - The Monster (Explicit) ft. Rihanna (https://www.youtube.com/watch?v=EHkozMIXZ8w)

12 Jul 2016 02:16:54 : Cipher , Botfuzzy77#2209 , Avicii - Wake Me Up (Official Video) (https://www.youtube.com/watch?v=IcrbM1l_BoI)

12 Jul 2016 02:16:57 : Cipher , Wertfuzzy77#0274 , well then
12 Jul 2016 02:17:02 : Cipher , Wertfuzzy77#0274 , ;remove 1
12 Jul 2016 02:17:09 : Cipher , Wertfuzzy77#0274 , ;remove 0
12 Jul 2016 02:17:12 : Cipher , Wertfuzzy77#0274 , ;songs
12 Jul 2016 02:17:12 : Cipher , Botfuzzy77#2209 , The Following songs are in the Queue
12 Jul 2016 02:17:12 : Cipher , Botfuzzy77#2209 , Eminem - The Monster (Explicit) ft. Rihanna (https://www.youtube.com/watch?v=EHkozMIXZ8w)

12 Jul 2016 02:17:15 : Cipher , Wertfuzzy77#0274 , hmm
12 Jul 2016 02:17:17 : Cipher , Wertfuzzy77#0274 , weird
12 Jul 2016 02:17:48 : Cipher , Wertfuzzy77#0274 , just fixed so 1 is actually 1
12 Jul 2016 02:17:58 : Cipher , Wertfuzzy77#0274 , wait, maybe its backwards?
12 Jul 2016 02:18:06 : Cipher , Wertfuzzy77#0274 , that would be annoying ;/
12 Jul 2016 02:18:28 : Cipher , RoyGasm ;)#7098 , wat?
12 Jul 2016 02:18:36 : Cipher , RoyGasm ;)#7098 , weert u breaking my brain
12 Jul 2016 02:18:40 : Cipher , Wertfuzzy77#0274 , ;relog
12 Jul 2016 02:18:40 : Cipher , Botfuzzy77#2209 , Relogging...
