12 Jul 2016 02:47:11 : Cipher , Wertfuzzy77#0274 , forgot to make him join xD
12 Jul 2016 02:47:14 : Cipher , Wertfuzzy77#0274 , ;join
12 Jul 2016 02:47:16 : Cipher , RoyGasm ;)#7098 , lele
12 Jul 2016 02:47:20 : Cipher , Wertfuzzy77#0274 , ;youtube https://www.youtube.com/watch?v=P4Weq5rsiJw https://www.youtube.com/watch?v=CfihYWRWRTQ https://www.youtube.com/watch?v=nlcIKh6sBtc
12 Jul 2016 02:47:24 : Cipher , Wertfuzzy77#0274 , yaa
12 Jul 2016 02:47:33 : Cipher , Wertfuzzy77#0274 , now you can add more than 1 song at a time
12 Jul 2016 02:47:49 : Cipher , Wertfuzzy77#0274 , ;songs
12 Jul 2016 02:47:50 : Cipher , Botfuzzy77#2209 , The Following songs are in the Queue
12 Jul 2016 02:47:50 : Cipher , Botfuzzy77#2209 , John Newman - Love Me Again (https://www.youtube.com/watch?v=CfihYWRWRTQ)

12 Jul 2016 02:47:50 : Cipher , Botfuzzy77#2209 , Lorde - Royals (US Version) (https://www.youtube.com/watch?v=nlcIKh6sBtc)

12 Jul 2016 02:47:58 : Cipher , Wertfuzzy77#0274 , fancy right
12 Jul 2016 02:49:32 : Cipher , RoyGasm ;)#7098 , i want me accapellerz
12 Jul 2016 02:49:36 : Cipher , RoyGasm ;)#7098 , but ya
12 Jul 2016 02:49:49 : Cipher , RoyGasm ;)#7098 , ;youtube https://www.youtube.com/watch?v=2juA5xNObGk
12 Jul 2016 02:49:58 : Cipher , Wertfuzzy77#0274 , ;songs
12 Jul 2016 02:49:58 : Cipher , Botfuzzy77#2209 , The Following songs are in the Queue
12 Jul 2016 02:49:58 : Cipher , Botfuzzy77#2209 , John Newman - Love Me Again (https://www.youtube.com/watch?v=CfihYWRWRTQ)

12 Jul 2016 02:49:58 : Cipher , Botfuzzy77#2209 , Lorde - Royals (US Version) (https://www.youtube.com/watch?v=nlcIKh6sBtc)

12 Jul 2016 02:49:59 : Cipher , Botfuzzy77#2209 , The Chainsmokers - Don't Let Me Down (Acapella Remix) ft. Daya (https://www.youtube.com/watch?v=2juA5xNObGk)

12 Jul 2016 02:50:02 : Cipher , Wertfuzzy77#0274 , ;remove 1
12 Jul 2016 02:50:05 : Cipher , Wertfuzzy77#0274 , ;songs
12 Jul 2016 02:50:05 : Cipher , Botfuzzy77#2209 , The Following songs are in the Queue
12 Jul 2016 02:50:05 : Cipher , Botfuzzy77#2209 , John Newman - Love Me Again (https://www.youtube.com/watch?v=CfihYWRWRTQ)

12 Jul 2016 02:50:05 : Cipher , Botfuzzy77#2209 , The Chainsmokers - Don't Let Me Down (Acapella Remix) ft. Daya (https://www.youtube.com/watch?v=2juA5xNObGk)

12 Jul 2016 02:50:09 : Cipher , Wertfuzzy77#0274 , ;songs 1
12 Jul 2016 02:50:09 : Cipher , Botfuzzy77#2209 , The Following songs are in the Queue
12 Jul 2016 02:50:09 : Cipher , Botfuzzy77#2209 , John Newman - Love Me Again (https://www.youtube.com/watch?v=CfihYWRWRTQ)

12 Jul 2016 02:50:10 : Cipher , Botfuzzy77#2209 , The Chainsmokers - Don't Let Me Down (Acapella Remix) ft. Daya (https://www.youtube.com/watch?v=2juA5xNObGk)

12 Jul 2016 02:50:14 : Cipher , Wertfuzzy77#0274 , ;remove 1
12 Jul 2016 02:50:16 : Cipher , Wertfuzzy77#0274 , ;songs
12 Jul 2016 02:50:17 : Cipher , Botfuzzy77#2209 , The Following songs are in the Queue
12 Jul 2016 02:50:17 : Cipher , Botfuzzy77#2209 , John Newman - Love Me Again (https://www.youtube.com/watch?v=CfihYWRWRTQ)

12 Jul 2016 02:50:23 : Cipher , Wertfuzzy77#0274 , woops
12 Jul 2016 02:50:28 : Cipher , Wertfuzzy77#0274 , add it again xD
12 Jul 2016 02:50:33 : Cipher , Wertfuzzy77#0274 , ;remove 0
12 Jul 2016 02:50:35 : Cipher , Wertfuzzy77#0274 , ;songs
12 Jul 2016 02:50:35 : Cipher , Botfuzzy77#2209 , Queue is Empty
12 Jul 2016 02:50:39 : Cipher , Wertfuzzy77#0274 , ;youtube https://www.youtube.com/watch?v=2juA5xNObGk
12 Jul 2016 02:50:48 : Cipher , Wertfuzzy77#0274 , ;youtube https://www.youtube.com/watch?v=2juA5xNObGk
12 Jul 2016 02:50:53 : Cipher , Wertfuzzy77#0274 , ;join
12 Jul 2016 02:50:53 : Cipher , Botfuzzy77#2209 , Sorry, I'm already connected to a channel
12 Jul 2016 02:50:54 : Cipher , Wertfuzzy77#0274 , ;youtube https://www.youtube.com/watch?v=2juA5xNObGk
12 Jul 2016 02:52:26 : Cipher , Wertfuzzy77#0274 , ;relog
12 Jul 2016 02:52:26 : Cipher , Botfuzzy77#2209 , Relogging...
