12 Jul 2016 02:52:34 : Cipher , Wertfuzzy77#0274 , ;join
12 Jul 2016 02:52:37 : Cipher , Wertfuzzy77#0274 , ;youtube https://www.youtube.com/watch?v=2juA5xNObGk
12 Jul 2016 02:52:41 : Cipher , Wertfuzzy77#0274 , ;song
12 Jul 2016 02:52:42 : Cipher , Botfuzzy77#2209 , No Song Playing
12 Jul 2016 02:52:44 : Cipher , Wertfuzzy77#0274 , ;song
12 Jul 2016 02:52:45 : Cipher , Botfuzzy77#2209 , ```Name: The Chainsmokers - Don't Let Me Down (Acapella Remix) ft. Daya
URL: <https://www.youtube.com/watch?v=2juA5xNObGk>
Views: 440,360
Likes: 17,350, 97.92%
Dislikes: 369, 2.08%
```
12 Jul 2016 02:52:54 : Cipher , RoyGasm ;)#7098 , actually
12 Jul 2016 02:53:16 : Cipher , RoyGasm ;)#7098 , never heard it (in accapella form)
12 Jul 2016 02:53:24 : Cipher , RoyGasm ;)#7098 , it's horrible
12 Jul 2016 02:53:27 : Cipher , RoyGasm ;)#7098 , bleeding
12 Jul 2016 02:53:27 : Cipher , Wertfuzzy77#0274 , lol
12 Jul 2016 02:53:31 : Cipher , RoyGasm ;)#7098 , wtf
12 Jul 2016 02:53:32 : Cipher , RoyGasm ;)#7098 , ew
12 Jul 2016 02:53:39 : Cipher , RoyGasm ;)#7098 , no take out
12 Jul 2016 02:53:42 : Cipher , Wertfuzzy77#0274 , kill it if you want then
12 Jul 2016 02:53:43 : Cipher , RoyGasm ;)#7098 , out
12 Jul 2016 02:53:48 : Cipher , RoyGasm ;)#7098 , ;skip
12 Jul 2016 02:53:48 : Cipher , Botfuzzy77#2209 , Skipping The Chainsmokers - Don't Let Me Down (Acapella Remix) ft. Daya
12 Jul 2016 02:53:52 : Cipher , RoyGasm ;)#7098 , thx
12 Jul 2016 02:54:22 : Cipher , Wertfuzzy77#0274 , ;youtube https://www.youtube.com/watch?v=e-ORhEE9VVg https://www.youtube.com/watch?v=lp-EO5I60KA  https://www.youtube.com/watch?v=FOjdXSrtUxA https://www.youtube.com/watch?v=nSDgHBxUbVQ
12 Jul 2016 02:54:40 : Cipher , RoyGasm ;)#7098 , i can show you incredible thing
12 Jul 2016 02:54:43 : Cipher , RoyGasm ;)#7098 , and i thought
12 Jul 2016 02:54:46 : Cipher , RoyGasm ;)#7098 , omg look at that face
12 Jul 2016 02:54:51 : Cipher , RoyGasm ;)#7098 , wanna play
12 Jul 2016 02:55:02 : Cipher , RoyGasm ;)#7098 , i can read you like a magazin
12 Jul 2016 02:55:48 : Cipher , RoyGasm ;)#7098 , INSANEEEE
12 Jul 2016 02:55:55 : Cipher , RoyGasm ;)#7098 , and i'll write your name
12 Jul 2016 02:56:03 : Cipher , Wertfuzzy77#0274 , you weird xD
12 Jul 2016 02:56:08 : Cipher , RoyGasm ;)#7098 , preety lies
12 Jul 2016 02:56:13 : Cipher , RoyGasm ;)#7098 , for a onth
12 Jul 2016 02:56:14 : Cipher , Wertfuzzy77#0274 , i need to relog after this song
12 Jul 2016 02:56:17 : Cipher , RoyGasm ;)#7098 , oh no
12 Jul 2016 02:56:23 : Cipher , RoyGasm ;)#7098 , screaming criying perfect storms
12 Jul 2016 02:56:27 : Cipher , RoyGasm ;)#7098 , filles with thorns
12 Jul 2016 02:56:42 : Cipher , RoyGasm ;)#7098 , or it's gonna go
12 Jul 2016 02:56:54 : Cipher , RoyGasm ;)#7098 , insaneeee
12 Jul 2016 02:56:58 : Cipher , RoyGasm ;)#7098 , and you love the game
12 Jul 2016 02:57:08 : Cipher , RoyGasm ;)#7098 , or with a nasty scar
12 Jul 2016 02:57:16 : Cipher , RoyGasm ;)#7098 , the'll tell you i'm INSANE
12 Jul 2016 02:57:24 : Cipher , RoyGasm ;)#7098 , only want love if its torcher
12 Jul 2016 02:57:52 : Cipher , RoyGasm ;)#7098 , INSANEEEEE
12 Jul 2016 02:57:54 : Cipher , RoyGasm ;)#7098 , INSANE
12 Jul 2016 02:57:56 : Cipher , RoyGasm ;)#7098 , INSANE
12 Jul 2016 02:57:57 : Cipher , RoyGasm ;)#7098 , INSANE
12 Jul 2016 02:57:58 : Cipher , RoyGasm ;)#7098 , INSANE
12 Jul 2016 02:58:00 : Cipher , RoyGasm ;)#7098 , INSANE
12 Jul 2016 02:58:02 : Cipher , RoyGasm ;)#7098 , INSANE
12 Jul 2016 02:58:05 : Cipher , RoyGasm ;)#7098 , NOT SANE
12 Jul 2016 02:58:07 : Cipher , RoyGasm ;)#7098 , INSANE
12 Jul 2016 02:58:08 : Cipher , RoyGasm ;)#7098 , INSANE
12 Jul 2016 02:58:10 : Cipher , RoyGasm ;)#7098 , INSANE
12 Jul 2016 02:58:12 : Cipher , RoyGasm ;)#7098 , LELE
12 Jul 2016 02:58:24 : Cipher , RoyGasm ;)#7098 , AND i'll write your name <@!134441036905840640>
12 Jul 2016 02:58:33 : Cipher , RoyGasm ;)#7098 , so you better not break up with me
12 Jul 2016 02:58:33 : Cipher , Wertfuzzy77#0274 , thx 4 sharing
12 Jul 2016 02:58:41 : Cipher , Wertfuzzy77#0274 , ;relog
