12 Jul 2016 03:01:06 : LimitlessMc , Wertfuzzy77#0274 , gg
12 Jul 2016 03:01:17 : League Of Legends , Legit_0reo#9709 , -play hunted johnny rose
12 Jul 2016 03:01:19 : LimitlessMc , Wertfuzzy77#0274 , ;conch Am I better than Stormzzzy
12 Jul 2016 03:01:19 : LimitlessMc , Botfuzzy77#2209 , *It is decidedly so*
12 Jul 2016 03:01:19 : LimitlessMc , Botfuzzy77#2209 , The Conch has Spoken!
12 Jul 2016 03:01:20 : League Of Legends , Aethex#0394 , Now playing **[DnB] - Priority One & TwoThirds - Hunted (feat. Jonny Rose) [Monstercat Release]** in `General` (4:25, requested by **Legit_0reo**).
12 Jul 2016 03:01:32 : Cipher , Wertfuzzy77#0274 , ;join
12 Jul 2016 03:01:42 : Cipher , Wertfuzzy77#0274 , ;playlist Sheeran
12 Jul 2016 03:01:47 : LimitlessMc , RoyGasm ;)#7098 , ;conch i'm i better than wert?
12 Jul 2016 03:01:47 : LimitlessMc , Botfuzzy77#2209 , *Outlook not so good*
12 Jul 2016 03:01:47 : LimitlessMc , Botfuzzy77#2209 , The Conch has Spoken!
12 Jul 2016 03:01:51 : LimitlessMc , RoyGasm ;)#7098 , fuck off
12 Jul 2016 03:02:00 : LimitlessMc , RoyGasm ;)#7098 , ;conch i'm i better than wert?
12 Jul 2016 03:02:00 : LimitlessMc , Botfuzzy77#2209 , *Very doubtful*
12 Jul 2016 03:02:00 : LimitlessMc , Botfuzzy77#2209 , The Conch has Spoken!
12 Jul 2016 03:02:02 : LimitlessMc , RoyGasm ;)#7098 , ;conch i'm i better than wert?
12 Jul 2016 03:02:02 : LimitlessMc , Botfuzzy77#2209 , *My reply is no*
12 Jul 2016 03:02:02 : LimitlessMc , Botfuzzy77#2209 , The Conch has Spoken!
12 Jul 2016 03:02:04 : LimitlessMc , RoyGasm ;)#7098 , ;conch i'm i better than wert?
12 Jul 2016 03:02:04 : LimitlessMc , Botfuzzy77#2209 , *Reply hazy, try again*
12 Jul 2016 03:02:05 : LimitlessMc , Botfuzzy77#2209 , The Conch has Spoken!
12 Jul 2016 03:02:06 : LimitlessMc , RoyGasm ;)#7098 , ;conch i'm i better than wert?
12 Jul 2016 03:02:06 : LimitlessMc , Botfuzzy77#2209 , *Reply hazy, try again*
12 Jul 2016 03:02:07 : LimitlessMc , Botfuzzy77#2209 , The Conch has Spoken!
12 Jul 2016 03:02:08 : LimitlessMc , RoyGasm ;)#7098 , ;conch i'm i better than wert?
12 Jul 2016 03:02:08 : LimitlessMc , Botfuzzy77#2209 , *My sources say no*
12 Jul 2016 03:02:08 : LimitlessMc , Botfuzzy77#2209 , The Conch has Spoken!
12 Jul 2016 03:02:10 : LimitlessMc , RoyGasm ;)#7098 , ;conch i'm i better than wert?
12 Jul 2016 03:02:10 : LimitlessMc , Botfuzzy77#2209 , *Cannot predict now*
12 Jul 2016 03:02:10 : LimitlessMc , Botfuzzy77#2209 , The Conch has Spoken!
12 Jul 2016 03:02:13 : LimitlessMc , RoyGasm ;)#7098 , ;conch i'm i better than wert?
12 Jul 2016 03:02:13 : LimitlessMc , Botfuzzy77#2209 , *Cannot predict now*
12 Jul 2016 03:02:13 : LimitlessMc , Botfuzzy77#2209 , The Conch has Spoken!
12 Jul 2016 03:02:15 : LimitlessMc , RoyGasm ;)#7098 , ;conch i'm i better than wert?
12 Jul 2016 03:02:15 : LimitlessMc , Botfuzzy77#2209 , *Very doubtful*
12 Jul 2016 03:02:15 : LimitlessMc , Botfuzzy77#2209 , The Conch has Spoken!
12 Jul 2016 03:02:18 : Cipher , Wertfuzzy77#0274 , ;relog
