12 Jul 2016 03:02:24 : LimitlessMc , RoyGasm ;)#7098 , wtf hax
12 Jul 2016 03:02:25 : LimitlessMc , RoyGasm ;)#7098 , ;conch i'm i better than wert?
12 Jul 2016 03:02:26 : Cipher , Wertfuzzy77#0274 , ;join
12 Jul 2016 03:02:26 : LimitlessMc , Botfuzzy77#2209 , *Concentrate and ask again*
12 Jul 2016 03:02:26 : LimitlessMc , Botfuzzy77#2209 , The Conch has Spoken!
12 Jul 2016 03:02:28 : LimitlessMc , RoyGasm ;)#7098 , ;conch i'm i better than wert?
12 Jul 2016 03:02:28 : LimitlessMc , Botfuzzy77#2209 , *As I see it, yes*
12 Jul 2016 03:02:28 : LimitlessMc , Botfuzzy77#2209 , The Conch has Spoken!
12 Jul 2016 03:02:33 : LimitlessMc , RoyGasm ;)#7098 , finally
12 Jul 2016 03:02:39 : LimitlessMc , Wertfuzzy77#0274 , took you long enough
12 Jul 2016 03:02:45 : Cipher , Wertfuzzy77#0274 , ;playlist Sheeran
12 Jul 2016 03:02:55 : Cipher , Wertfuzzy77#0274 , ;relog
12 Jul 2016 03:02:55 : Cipher , Botfuzzy77#2209 , Relogging...
