15 Jul 2016 22:56:17 : Cipher , Wertfuzzy77#0274 , we did it
15 Jul 2016 22:56:22 : Cipher , Wertfuzzy77#0274 , he cant die now
15 Jul 2016 22:56:25 : Cipher , Wertfuzzy77#0274 , ever
15 Jul 2016 22:56:45 : LimitlessMc , Resolate#7058 , Randomness is OP
15 Jul 2016 22:56:53 : LimitlessMc , Wertfuzzy77#0274 , it worked tho
15 Jul 2016 22:56:58 : LimitlessMc , Wertfuzzy77#0274 , he always comes back now
15 Jul 2016 22:56:59 : LimitlessMc , Wertfuzzy77#0274 , cant die
15 Jul 2016 22:57:11 : LimitlessMc , Wertfuzzy77#0274 , like even if i shut him down he comes back xD
15 Jul 2016 22:57:14 : LimitlessMc , Wertfuzzy77#0274 , ;shutdown
15 Jul 2016 22:57:14 : LimitlessMc , Botfuzzy77#2209 , Ok :(
15 Jul 2016 22:57:14 : LimitlessMc , Botfuzzy77#2209 , Gooodbye cruel world
