16 Jul 2016 14:51:34 : LimitlessMc , Wertfuzzy77#0274 , ;join
16 Jul 2016 14:51:39 : LimitlessMc , Wertfuzzy77#0274 , ;playlist Adele
16 Jul 2016 14:51:43 : LimitlessMc , Botfuzzy77#2209 , Finished Adding songs from playlist(s)
16 Jul 2016 14:51:48 : LimitlessMc , Wertfuzzy77#0274 , ;song
16 Jul 2016 14:51:48 : LimitlessMc , Botfuzzy77#2209 , No Song Playing
16 Jul 2016 14:51:50 : LimitlessMc , Wertfuzzy77#0274 , ......
16 Jul 2016 14:51:52 : LimitlessMc , Wertfuzzy77#0274 , ;song
16 Jul 2016 14:51:52 : LimitlessMc , Botfuzzy77#2209 , No Song Playing
16 Jul 2016 14:51:54 : LimitlessMc , Wertfuzzy77#0274 , bet
16 Jul 2016 14:52:21 : LimitlessMc , Wertfuzzy77#0274 , ;relog
16 Jul 2016 14:52:21 : LimitlessMc , Botfuzzy77#2209 , Relogging...
