17 Jul 2016 20:11:26 : Cipher , Wertfuzzy77#0274 , lol rip
17 Jul 2016 20:11:28 : Cipher , Wertfuzzy77#0274 , ;join
17 Jul 2016 20:11:39 : Cipher , RoyGasm ;)#7098 , no pls
17 Jul 2016 20:11:41 : Cipher , RoyGasm ;)#7098 , -.-
17 Jul 2016 20:11:45 : Cipher , Wertfuzzy77#0274 , ;playlist 2Cellos Maroon Coldplay WEEB
17 Jul 2016 20:11:48 : Cipher , Wertfuzzy77#0274 , ;server
17 Jul 2016 20:11:52 : Cipher , RoyGasm ;)#7098 , no
17 Jul 2016 20:11:55 : Cipher , RoyGasm ;)#7098 , oh god no
17 Jul 2016 20:11:58 : Cipher , Botfuzzy77#2209 , Finished Adding songs from playlist(s)
17 Jul 2016 20:12:04 : Cipher , RoyGasm ;)#7098 , no ;playlist WEEB
17 Jul 2016 20:12:06 : Cipher , RoyGasm ;)#7098 , no pls
17 Jul 2016 20:12:07 : Cipher , Wertfuzzy77#0274 , ;server
17 Jul 2016 20:12:20 : Cipher , Wertfuzzy77#0274 , ;relog
17 Jul 2016 20:12:20 : Cipher , Botfuzzy77#2209 , Relogging...
