19 Jul 2016 01:26:35 : Cipher , Akincifenwa#5072 , k restart
19 Jul 2016 01:26:37 : LimitlessMc , dizzle#6593 , ;clever are you ok?
19 Jul 2016 01:26:38 : LimitlessMc , Botfuzzy77#2209 , Yes, how about you?
19 Jul 2016 01:26:40 : Cipher , Wertfuzzy77#0274 , it just restarted it self
19 Jul 2016 01:26:43 : Cipher , Wertfuzzy77#0274 , ;join
19 Jul 2016 01:26:44 : Cipher , Akincifenwa#5072 , lol
19 Jul 2016 01:26:50 : LimitlessMc , dizzle#6593 , ;clever good
19 Jul 2016 01:26:50 : LimitlessMc , Botfuzzy77#2209 , That's good.
19 Jul 2016 01:26:53 : Cipher , Akincifenwa#5072 , gone
19 Jul 2016 01:26:56 : Cipher , Wertfuzzy77#0274 , ;relog
19 Jul 2016 01:26:56 : Cipher , Botfuzzy77#2209 , Relogging...
