19 Jul 2016 01:59:36 : LimitlessMc , dizzle#6593 , ;clever do you want to come hang out?
19 Jul 2016 01:59:37 : LimitlessMc , Botfuzzy77#2209 , Depends who you are and where you live.
19 Jul 2016 01:59:41 : Cipher , Wertfuzzy77#0274 , ;join
19 Jul 2016 01:59:50 : Cipher , Wertfuzzy77#0274 , someone leave and come back
19 Jul 2016 01:59:52 : Cipher , Wertfuzzy77#0274 , @here
19 Jul 2016 01:59:53 : LimitlessMc , Botfuzzy77#2209 , Random is now Online!
19 Jul 2016 02:00:02 : LimitlessMc , dizzle#6593 , ;clever call me my nickname dizzle
19 Jul 2016 02:00:02 : LimitlessMc , Botfuzzy77#2209 , I love you daddy.
19 Jul 2016 02:00:08 : The Pleb Privateers , Botfuzzy77#2209 , Wertfuzzy77 is now Online!
19 Jul 2016 02:00:09 : LimitlessMc , Botfuzzy77#2209 , Wertfuzzy77 is now Online!
19 Jul 2016 02:00:09 : Cipher , Botfuzzy77#2209 , Wertfuzzy77 is now Online!
19 Jul 2016 02:00:17 : Cipher , Wertfuzzy77#0274 , Ha!
19 Jul 2016 02:00:18 : LimitlessMc , dizzle#6593 , ;clever im not your daddy
19 Jul 2016 02:00:19 : Cipher , Wertfuzzy77#0274 , we did it
19 Jul 2016 02:00:19 : LimitlessMc , Botfuzzy77#2209 , Are you breaking up with me?!
19 Jul 2016 02:00:24 : LimitlessMc , Botfuzzy77#2209 , TheSolvdow is now Online!
19 Jul 2016 02:00:33 : LimitlessMc , dizzle#6593 , ahhh! my brain!
19 Jul 2016 02:00:58 : LimitlessMc , dizzle#6593 , ;clever ...
19 Jul 2016 02:00:59 : LimitlessMc , Botfuzzy77#2209 , Okay, anything for you, love.
19 Jul 2016 02:01:17 : Cipher , Wertfuzzy77#0274 , ;shutdown
19 Jul 2016 02:01:17 : Cipher , Botfuzzy77#2209 , Ok :(
19 Jul 2016 02:01:17 : Cipher , Botfuzzy77#2209 , Gooodbye cruel world
