19 Jul 2016 02:03:35 : The Pleb Privateers , Botfuzzy77#2209 , **Wertfuzzy77**(The Normal People) is now Online!
19 Jul 2016 02:03:35 : Cipher , Botfuzzy77#2209 , **Wertfuzzy77**(Grand Master) is now Online!
19 Jul 2016 02:03:35 : LimitlessMc , dizzle#6593 , ;clever a world that you have not seen
19 Jul 2016 02:03:37 : LimitlessMc , Botfuzzy77#2209 , Then what is in that world besides me?
19 Jul 2016 02:03:47 : Cipher , Wertfuzzy77#0274 , Ha! grunt
19 Jul 2016 02:03:49 : Cipher , Wertfuzzy77#0274 , ;join
19 Jul 2016 02:03:58 : LimitlessMc , dizzle#6593 , ;clever its filled with ponys
19 Jul 2016 02:04:00 : LimitlessMc , Botfuzzy77#2209 , I guess you can say that.
19 Jul 2016 02:04:21 : LimitlessMc , dizzle#6593 , ;clever ok do you what a cupckae
19 Jul 2016 02:04:22 : Cipher , Wertfuzzy77#0274 , lol
19 Jul 2016 02:04:23 : LimitlessMc , Botfuzzy77#2209 , Why do you write about vampires.
19 Jul 2016 02:04:25 : Cipher , Wertfuzzy77#0274 , what is this
19 Jul 2016 02:04:29 : Cipher , Wertfuzzy77#0274 , ;youtube https://www.youtube.com/watch?v=r00ikilDxW4
19 Jul 2016 02:04:34 : LimitlessMc , dizzle#6593 , ;clever i don't
19 Jul 2016 02:04:36 : LimitlessMc , Botfuzzy77#2209 , Are you able not to answer anything?
19 Jul 2016 02:04:58 : LimitlessMc , dizzle#6593 , ;clever i can eat you
19 Jul 2016 02:04:59 : LimitlessMc , Botfuzzy77#2209 , So you are not able to.
19 Jul 2016 02:05:08 : Cipher , Wertfuzzy77#0274 , mobile?
19 Jul 2016 02:05:15 : Cipher , Wertfuzzy77#0274 , then no idea
19 Jul 2016 02:05:16 : LimitlessMc , dizzle#6593 , my brain is hurting
19 Jul 2016 02:05:18 : Cipher , Wertfuzzy77#0274 , not lagging for me
19 Jul 2016 02:05:32 : 02Gaming , Wu Tang#7652 , ;kys
19 Jul 2016 02:05:33 : 02Gaming , Botfuzzy77#2209 , Hey Mean!
19 Jul 2016 02:05:44 : LimitlessMc , dizzle#6593 , ;clever my brain it hurts!
19 Jul 2016 02:05:47 : LimitlessMc , Botfuzzy77#2209 , See you tonight.
19 Jul 2016 02:06:01 : LimitlessMc , dizzle#6593 , ;clever what?
19 Jul 2016 02:06:04 : Cipher , Wertfuzzy77#0274 , ;youtube https://www.youtube.com/watch?v=qQkBeOisNM0
19 Jul 2016 02:06:05 : LimitlessMc , Botfuzzy77#2209 , Are you an alien?
19 Jul 2016 02:06:06 : The Pleb Privateers , Botfuzzy77#2209 , **SANA ONLY**(Ultralight Memer) is now Online!
19 Jul 2016 02:06:09 : LimitlessMc , dizzle#6593 , ;clever no
19 Jul 2016 02:06:10 : LimitlessMc , Botfuzzy77#2209 , Who are you so?
19 Jul 2016 02:06:18 : The Pleb Privateers , enragednuke#2565 , <@!134441036905840640> you turn that shit off right now
19 Jul 2016 02:06:21 : Cipher , Wertfuzzy77#0274 , ;songs
19 Jul 2016 02:06:21 : Cipher , Botfuzzy77#2209 , **The Following songs are in the Queue**
19 Jul 2016 02:06:21 : Cipher , Botfuzzy77#2209 , Fun.: Some Nights [OFFICIAL VIDEO] (https://www.youtube.com/watch?v=qQkBeOisNM0)
Total Time is 0:05:40
19 Jul 2016 02:06:27 : The Pleb Privateers , Wertfuzzy77#0274 , xD
19 Jul 2016 02:06:28 : The Pleb Privateers , enragednuke#2565 , RIGHT DIS MOMENTT RIGHT HURR
19 Jul 2016 02:06:29 : The Pleb Privateers , Wertfuzzy77#0274 , one sec
19 Jul 2016 02:06:33 : LimitlessMc , dizzle#6593 , ;clever im a pony with wings and a horn
19 Jul 2016 02:06:35 : LimitlessMc , Botfuzzy77#2209 , What kind of hat?
19 Jul 2016 02:06:43 : The Pleb Privateers , Wertfuzzy77#0274 , ;debug ctx.message.server.name
19 Jul 2016 02:06:43 : The Pleb Privateers , Botfuzzy77#2209 , ```py
The Pleb Privateers
```
19 Jul 2016 02:06:52 : The Pleb Privateers , enragednuke#2565 , use the ID incase i change the name lol
19 Jul 2016 02:07:01 : LimitlessMc , dizzle#6593 , ;clever im not wearing a hat
19 Jul 2016 02:07:03 : LimitlessMc , Botfuzzy77#2209 , *puts hat on you*.
19 Jul 2016 02:07:13 : LimitlessMc , dizzle#6593 , ;clever ...
19 Jul 2016 02:07:14 : LimitlessMc , Botfuzzy77#2209 , My name is harry styles.
19 Jul 2016 02:07:18 : The Pleb Privateers , Wertfuzzy77#0274 , ugh, nub
19 Jul 2016 02:07:36 : The Pleb Privateers , enragednuke#2565 , ?flip good coding conventions
19 Jul 2016 02:07:40 : The Pleb Privateers , Wertfuzzy77#0274 , go home
19 Jul 2016 02:07:44 : LimitlessMc , dizzle#6593 , ;clever no its not
19 Jul 2016 02:07:45 : LimitlessMc , Botfuzzy77#2209 , What is my name then.
19 Jul 2016 02:07:51 : LimitlessMc , PacMen#1450 , ;clever hi!
19 Jul 2016 02:07:52 : LimitlessMc , Botfuzzy77#2209 , Well its gracie.
19 Jul 2016 02:07:53 : Cipher , Botfuzzy77#2209 , **The Following songs are in the Queue**
