HeroNeos#7704, lel
Botfuzzy77#2926, Starting up...
Botfuzzy77#2926, Loaded with Version 0.8.7
Wertfuzzy77#0274, !prize
Botfuzzy77#2926, https://gist.github.com/nnarma/30567d6ea547adce48042b86eec0573d
Wertfuzzy77#0274, there we go
Wertfuzzy77#0274, now you can see drop rates of things
Himay#3594, !prize
Botfuzzy77#2926, https://gist.github.com/nnarma/30567d6ea547adce48042b86eec0573d
Himay#3594, boi
Himay#3594, let me get a lugia
Himay#3594, jk
Wertfuzzy77#0274, never
Himay#3594, i want a ho oh
Himay#3594, cuz i get all them hoes
Wertfuzzy77#0274, !redeem TESTFIVE
Botfuzzy77#2926, Wertfuzzy77 won a Money prize from a TESTING $5000 book...
Botfuzzy77#2926, Its **$4400**
Wertfuzzy77#0274, !redeem TESTFIVE
Botfuzzy77#2926, Wertfuzzy77 won a Money prize from a TESTING $5000 book...
Botfuzzy77#2926, Its **$2100**
Wertfuzzy77#0274, !redeem TESTFIVE
Botfuzzy77#2926, Wertfuzzy77 won a Items prize from a TESTING $5000 book...
Botfuzzy77#2926, Its a **Master Ball!**
Wertfuzzy77#0274, !redeem TESTFIVE
Botfuzzy77#2926, Wertfuzzy77 won a Pack prize from a TESTING $5000 book...
Botfuzzy77#2926, Its a **Treasure Pack**
Himay#3594, !redeem
Botfuzzy77#2926, To Test the System, try the Codes 'TESTHALF', 'TESTONE', 'TESTTWO', 'TESTFIVE'
Botfuzzy77#2926, That is an INVALID Code
Wertfuzzy77#0274, !redeem TESTFIVE
Botfuzzy77#2926, Wertfuzzy77 won a Money prize from a TESTING $5000 book...
Botfuzzy77#2926, Its **$4000**
Wertfuzzy77#0274, !redeem TESTFIVE
Botfuzzy77#2926, Wertfuzzy77 won a Money prize from a TESTING $5000 book...
Botfuzzy77#2926, Its **$3200**
Wertfuzzy77#0274, !redeem TESTFIVE
Botfuzzy77#2926, Wertfuzzy77 won a Money prize from a TESTING $5000 book...
Botfuzzy77#2926, Its **$1200**
Wertfuzzy77#0274, !redeem TESTFIVE
Botfuzzy77#2926, Wertfuzzy77 won a Pack prize from a TESTING $5000 book...
Botfuzzy77#2926, Its a **Building Pack**
Wertfuzzy77#0274, !redeem TESTFIVE
Botfuzzy77#2926, Wertfuzzy77 won a Items prize from a TESTING $5000 book...
Botfuzzy77#2926, Its a **Master Ball!**
Wertfuzzy77#0274, !redeem TESTFIVE
