Botfuzzy77#2926, Starting up...
Botfuzzy77#2926, Loaded with Version 0.8.7
Wertfuzzy77#0274, !ranking 100
Botfuzzy77#2926, Name: Bakafish, Rank: 1, Index: 195.4
Name: Joeswalt3, Rank: 2, Index: 149.8
Name: HeroNeos, Rank: 3, Index: 149.4
Name: TheSolvdow, Rank: 4, Index: 138.9
Name: PacMen, Rank: 5, Index: 136.3
Name: Zeathrus, Rank: 6, Index: 132.2
Name: EHHockey35, Rank: 7, Index: 128.8
Name: ruleroftri, Rank: 8, Index: 125.7
Name: TheLast1Alive, Rank: 9, Index: 124.6
Name: PrincePixel, Rank: 10, Index: 117.3
Name: BigJoseB, Rank: 11, Index: 115.5
Name: Sephirium, Rank: 12, Index: 115.2
Name: kingbrenner, Rank: 13, Index: 112.5
Name: TimRages, Rank: 14, Index: 112.1
Name: Bakafishy, Rank: 15, Index: 110.3
Name: Wertfuzzy77, Rank: 16, Index: 108.8
Name: sc0tty14, Rank: 17, Index: 108.1
Name: PokezCraftTTW, Rank: 18, Index: 105.3
Name: Lizard_PlayzMC, Rank: 19, Index: 103.4
Name: iOtqku, Rank: 20, Index: 101.6
Name: PoroTheSquirrel, Rank: 21, Index: 101.1
Name: CraveeJay, Rank: 22, Index: 100.7
Name: Latichris, Rank: 23, Index: 100.1
Name: That_Guy_Gilly, Rank: 24, Index: 95.8
Name: lookflyingtoast, Rank: 25, Index: 94.0
Name: MetroProductions, Rank: 26, Index: 93.3
Name: jetster34, Rank: 27, Index: 93.0
Name: redhunter732, Rank: 28, Index: 93.0
Name: MGirard, Rank: 29, Index: 91.7
Name: Jktru, Rank: 30, Index: 91.1
Name: sammyke, Rank: 31, Index: 90.3
Name: ItzFuzeM8, Rank: 32, Index: 89.9
Name: Ziandermoon, Rank: 33, Index: 89.3
Name: WolfBreath, Rank: 34, Index: 87.7
Name: Rex9999, Rank: 35, Index: 83.8
Name: Jackwolf2003, Rank: 36, Index: 83.6
Name: killedviadeath, Rank: 37, Index: 83.0
Name: HecTiiCPanda, Rank: 38, Index: 82.6
Name: XzsAce, Rank: 39, Index: 82.6
Name: Mxflare, Rank: 40, Index: 82.6
Name: captainivi, Rank: 41, Index: 82.6
Name: sk8gaming, Rank: 42, Index: 82.0
Name: bloops121, Rank: 43, Index: 82.0
Name: Bringer0fDeath, Rank: 44, Index: 81.9
Name: AlexWho, Rank: 45, Index: 81.9
Name: xN3MOx, Rank: 46, Index: 80.5
Name: Cryotrees, Rank: 47, Index: 79.3
Name: D_Bones98, Rank: 48, Index: 70.6
Name: mycaelspear, Rank: 49, Index: 66.4

Wertfuzzy77#0274, <@173622056473067521>
Wertfuzzy77#0274, Name: Zeathrus, Rank: 6, Index: 132.2
