D3NSH1N#8702, LMAo
Gerald#7099, http://i.imgflip.com/15sn29.jpg
GioHyzero(Lugia)#8149, Aww fuk u <@167123959031005186>
Botfuzzy77#2926, Wut
GioHyzero(Lugia)#8149, BOT rIOT
Wertfuzzy77#0274, !trivia
Botfuzzy77#2926, Lets play the Mixed game
TheMajesticSeal#2289, wow
Nalk Xulk Uk Eht#7098, !meme fist me daddy
TheMajesticSeal#2289, i failed
GioHyzero(Lugia)#8149, LOL
Gerald#7099, http://i.imgflip.com/15sn2l.jpg
Wertfuzzy77#0274, WORK
TheMajesticSeal#2289, *when
Wertfuzzy77#0274, !relog
Botfuzzy77#2926, Relogging...
