20 Jul 2016 01:00:32 : Cipher, music, Wertfuzzy77#0274, forgot a :
20 Jul 2016 01:00:39 : Cipher, music, Wertfuzzy77#0274, there
20 Jul 2016 01:00:42 : Cipher, music, Wertfuzzy77#0274, ;join
20 Jul 2016 01:00:44 : Cipher, music, Akincifenwa#5072, ;youtube https://www.youtube.com/watch?v=F21aifX0lZY
20 Jul 2016 01:00:49 : LimitlessMc, mainchat, PacMen#1450, u can private message me ur team if you want to
20 Jul 2016 01:00:51 : Cipher, music, Akincifenwa#5072, le
20 Jul 2016 01:00:56 : Cipher, music, Wertfuzzy77#0274, ;makeplaylist test https://www.youtube.com/watch?v=8v_4O44sfjM
20 Jul 2016 01:00:57 : LimitlessMc, mainchat, xPalkia(lugia)#8149, HA sala, Ha 3 or 4 iv Ha blaziken, typhlosion and a 5iv weavile and cant remember the rest
20 Jul 2016 01:01:06 : LimitlessMc, mainchat, xPalkia(lugia)#8149, Sala is 5iv
20 Jul 2016 01:01:08 : LimitlessMc, mainchat, PacMen#1450, okay....
20 Jul 2016 01:01:18 : Cipher, music, Wertfuzzy77#0274, ;shutdown
20 Jul 2016 01:01:18 : Cipher, music, Botfuzzy77#2209, Ok :(
20 Jul 2016 01:01:18 : Cipher, music, Botfuzzy77#2209, Gooodbye cruel world
