20 Jul 2016 01:33:31 : Cipher, music, Akincifenwa#5072, thats the right thing to do  -----> ;removeplaylist WEEB
20 Jul 2016 01:33:39 : Cipher, music, Wertfuzzy77#0274, ;playlists
20 Jul 2016 01:33:44 : Cipher, music, Wertfuzzy77#0274, why you die
20 Jul 2016 01:33:46 : Cipher, music, Akincifenwa#5072, bet
20 Jul 2016 01:33:56 : Cipher, music, Akincifenwa#5072, @BOT
20 Jul 2016 01:34:01 : Cipher, music, Wertfuzzy77#0274, xD you killed WEEB too
20 Jul 2016 01:34:03 : Cipher, music, Wertfuzzy77#0274, nub
20 Jul 2016 01:34:09 : Cipher, music, Akincifenwa#5072, rreally?
20 Jul 2016 01:34:13 : Cipher, music, Akincifenwa#5072, LELEL
20 Jul 2016 01:34:17 : Cipher, music, Wertfuzzy77#0274, ya
20 Jul 2016 01:34:22 : Cipher, music, Akincifenwa#5072, ;playlists
20 Jul 2016 01:34:23 : Cipher, music, Wertfuzzy77#0274, so its trying to print NULL
20 Jul 2016 01:34:26 : Cipher, music, Wertfuzzy77#0274, and it cant
20 Jul 2016 01:34:37 : Cipher, music, Akincifenwa#5072, ;youtube https://www.youtube.com/watch?v=a0SeAia73ZY
20 Jul 2016 01:34:37 : Cipher, music, Botfuzzy77#2209, I am not connected to a Voice Chat!
20 Jul 2016 01:34:40 : Cipher, music, Wertfuzzy77#0274, ;makeplaylist WEEB https://www.youtube.com/watch?v=kuNixp-wvWM
20 Jul 2016 01:34:43 : Cipher, music, Akincifenwa#5072, ;join
20 Jul 2016 01:34:45 : Cipher, music, Akincifenwa#5072, https://www.youtube.com/watch?v=a0SeAia73ZY
20 Jul 2016 01:34:46 : Cipher, music, Wertfuzzy77#0274, ;playlist WEEB
20 Jul 2016 01:34:48 : Cipher, music, Botfuzzy77#2209, Finished Adding songs from playlist(s)
20 Jul 2016 01:34:51 : Cipher, music, Wertfuzzy77#0274, gg
20 Jul 2016 01:34:58 : LimitlessMc, mainchat, swclone#1132, is anyone selling a dawn stone?
20 Jul 2016 01:35:01 : Cipher, music, Akincifenwa#5072, aaaaaaaaaaaaaaaaaaaa.a.a.a..a.a............................
20 Jul 2016 01:35:30 : Cipher, music, Akincifenwa#5072, this song gives me cancer Dx
20 Jul 2016 01:35:41 : Cipher, music, Wertfuzzy77#0274, so does that frog song
20 Jul 2016 01:35:42 : Cipher, general, Botfuzzy77#2209, **Skyd**(Champ) is now Online!
20 Jul 2016 01:35:47 : Cipher, music, Akincifenwa#5072, na
20 Jul 2016 01:35:50 : Cipher, music, Wertfuzzy77#0274, yup
20 Jul 2016 01:35:53 : Cipher, music, Akincifenwa#5072, that makes you happy
20 Jul 2016 01:35:53 : LimitlessMc, mainchat, PacMen#1450, i bet that i could pull a dawn stone from a chest or something
20 Jul 2016 01:36:00 : Cipher, music, Akincifenwa#5072, bet
20 Jul 2016 01:36:00 : Cipher, music, Wertfuzzy77#0274, this song 10x better
20 Jul 2016 01:36:02 : Cipher, music, Wertfuzzy77#0274, go home
20 Jul 2016 01:36:05 : Cipher, general, Wertfuzzy77#0274, omg
20 Jul 2016 01:36:08 : Cipher, general, Wertfuzzy77#0274, hai sky
20 Jul 2016 01:36:16 : Cipher, music, Akincifenwa#5072, k i go to your home
20 Jul 2016 01:36:19 : Cipher, music, Wertfuzzy77#0274, ;playlists
20 Jul 2016 01:36:19 : Cipher, music, Botfuzzy77#2209, Sheeran[6], WEEB[1], Coldplay[5], Perri[2], Maroon[5], 2Cellos[5], ACDC[5], randomsongs[8], Old[9], Adele[5]
20 Jul 2016 01:36:26 : Cipher, music, Akincifenwa#5072, ;youtube https://www.youtube.com/watch?v=a0SeAia73ZY
20 Jul 2016 01:36:34 : Cipher, music, Wertfuzzy77#0274, ;relog
20 Jul 2016 01:36:34 : Cipher, music, Botfuzzy77#2209, Relogging...
