20 Jul 2016 01:43:53 : Cipher, general, Akincifenwa#5072, ;join
20 Jul 2016 01:43:53 : Cipher, general, Botfuzzy77#2209, You are not connected to a voice channel!
20 Jul 2016 01:44:03 : Cipher, general, Akincifenwa#5072, ;join
20 Jul 2016 01:44:41 : Cipher, general, Akincifenwa#5072, i sleep, k bai
20 Jul 2016 01:44:50 : Cipher, general, Akincifenwa#5072, gn
20 Jul 2016 01:45:55 : Cipher, general, Calamariela#7098, @Godfuzzy77 hep pls ;-;
20 Jul 2016 01:46:28 : The Pleb Privateers, general, Tally#2764, i get these a lot
20 Jul 2016 01:46:43 : The Pleb Privateers, general, enragednuke#2565, lol
20 Jul 2016 01:48:58 : 02Gaming, general, Botfuzzy77#2209, **kayoooooooooo**(Member) is now Online!
20 Jul 2016 01:51:47 : Cipher, general, Botfuzzy77#2209, **Kburn1999**(Grunt) is now Online!
20 Jul 2016 01:52:08 : Cipher, general, Botfuzzy77#2209, **Akincifenwa**(Grunt) is now Offline!
20 Jul 2016 01:53:37 : 02Gaming, general, Botfuzzy77#2209, **kayoooooooooo**(Member) is now Online!
20 Jul 2016 01:53:55 : 02Gaming, general, Botfuzzy77#2209, **LightShadow**(Guide) is now Online!
20 Jul 2016 01:56:58 : Cipher, general, Botfuzzy77#2209, **Skyd**(Champ) is now Offline!
20 Jul 2016 01:57:22 : Cipher, general, Botfuzzy77#2209, **Akincifenwa**(Grunt) is now Online!
20 Jul 2016 01:59:42 : The Pleb Privateers, general, Tally#2764, zammy cape and ancient cape
20 Jul 2016 01:59:50 : The Pleb Privateers, general, Tally#2764, cloak*
20 Jul 2016 01:59:52 : LimitlessMc, botchat, Akincifenwa#5072, ;luck
20 Jul 2016 01:59:53 : LimitlessMc, botchat, Botfuzzy77#2209, Akincifenwa's luck is 66.3 out of 100, which is **Pretty Good**
20 Jul 2016 02:00:16 : Cipher, music, Kburn1999#5526, ;playlist WEEB
20 Jul 2016 02:00:18 : Cipher, music, Botfuzzy77#2209, Finished Adding songs from playlist(s)
20 Jul 2016 02:00:42 : The Pleb Privateers, general, Tally#2764, i think im going to keep the cloaks though
20 Jul 2016 02:00:49 : The Pleb Privateers, general, Tally#2764, prayer boost and mage +1
20 Jul 2016 02:01:32 : Cipher, general, Botfuzzy77#2209, **Akincifenwa**(Grunt) is now Offline!
20 Jul 2016 02:01:33 : The Pleb Privateers, general, enragednuke#2565, lol
20 Jul 2016 02:01:35 : The Pleb Privateers, general, enragednuke#2565, NAICE
20 Jul 2016 02:10:25 : Cipher, music, Kburn1999#5526, ;luck
20 Jul 2016 02:10:25 : Cipher, music, Botfuzzy77#2209, Kburn1999's luck is 28.14 out of 100, which is **Pretty Bad**
20 Jul 2016 02:14:58 : Cipher, general, Botfuzzy77#2209, **Topheralan**(Admin) is now Online!
20 Jul 2016 02:16:58 : Cipher, general, Botfuzzy77#2209, **Topheralan**(Admin) is now Offline!
20 Jul 2016 02:17:36 : LimitlessMc, botchat, Wertfuzzy77#0274, ;luck
