21 Jul 2016 04:55:08 : The Pleb Privateers, general, enragednuke#2565, Kreygasm
21 Jul 2016 04:55:16 : The Pleb Privateers, general, enragednuke#2565, what a juicy cashstack
21 Jul 2016 04:55:33 : LimitlessMc, mainchat, Genesect#6492, @Wertfuzzy77  whats up with the server being full?
21 Jul 2016 04:58:24 : Cipher, general, Botfuzzy77#2209, **Skyd**(Champ) is now Online!
21 Jul 2016 04:59:36 : The Pleb Privateers, general, enragednuke#2565, do I save for tassets or do I spend like 75% of that getting 70 construction, 70 herblore, and 75 crafting (the crafting is for slayer rings)
21 Jul 2016 04:59:46 : League Of Legends, general, Botfuzzy77#2209, Welcome @GN4R to League Of Legends!
21 Jul 2016 04:59:46 : League Of Legends, general, !nsane#7866, ***GN4R,*** **Just joined the server, enjoy your stay!** :smile:
21 Jul 2016 05:00:21 : League Of Legends, general, RoyGasm#7098, _help
21 Jul 2016 05:00:43 : Cipher, general, Kburn1999#5526, ;join
21 Jul 2016 05:01:14 : League Of Legends, general, Botfuzzy77#2209, **TheLast1Alive**(Security) is now Offline!
21 Jul 2016 05:01:20 : League Of Legends, general, RoyGasm#7098, this may serve as a temp replacement to aethex
21 Jul 2016 05:08:26 : League Of Legends, general, RoyGasm#7098, _cats
21 Jul 2016 05:08:28 : League Of Legends, general, GN4R#8315, Random Cat Pictures
Link: http://25.media.tumblr.com/tumblr_m1a0uvNVrD1qgjltdo1_500.jpg
21 Jul 2016 05:08:53 : League Of Legends, general, RoyGasm#7098, _tts test
21 Jul 2016 05:08:53 : League Of Legends, general, GN4R#8315, test
21 Jul 2016 05:09:03 : League Of Legends, general, RoyGasm#7098, _tts bet
21 Jul 2016 05:09:04 : League Of Legends, general, GN4R#8315, bet
21 Jul 2016 05:09:15 : League Of Legends, general, RoyGasm#7098, lmfao this works
21 Jul 2016 05:09:22 : League Of Legends, general, Legit_0reo#9709, fuck me
21 Jul 2016 05:09:28 : League Of Legends, general, RoyGasm#7098, ?
21 Jul 2016 05:09:28 : League Of Legends, general, Botfuzzy77#2209, **TheLast1Alive**(Security) is now Online!
21 Jul 2016 05:09:30 : League Of Legends, general, Legit_0reo#9709, _tts
21 Jul 2016 05:09:30 : League Of Legends, general, GN4R#8315, _tts
21 Jul 2016 05:09:31 : The Pleb Privateers, general, enragednuke#2565, 5.5k mithril bars bought for ~6M, 70 smithing bankeronied
21 Jul 2016 05:09:36 : League Of Legends, general, Legit_0reo#9709, what
21 Jul 2016 05:09:39 : League Of Legends, general, RoyGasm#7098, actually say a message
21 Jul 2016 05:09:41 : League Of Legends, general, Legit_0reo#9709, i want hath
21 Jul 2016 05:09:43 : League Of Legends, general, Legit_0reo#9709, how are you
21 Jul 2016 05:09:45 : League Of Legends, general, TheLast1Alive#7757, Yo roy
21 Jul 2016 05:09:48 : League Of Legends, general, RoyGasm#7098, _tts sup
21 Jul 2016 05:09:48 : League Of Legends, general, GN4R#8315, sup
21 Jul 2016 05:09:49 : League Of Legends, general, TheLast1Alive#7757, Game done 
21 Jul 2016 05:09:56 : League Of Legends, general, RoyGasm#7098, _tts k joining
21 Jul 2016 05:09:56 : League Of Legends, general, GN4R#8315, k joining
21 Jul 2016 05:10:02 : League Of Legends, general, Legit_0reo#9709, how do i get that
21 Jul 2016 05:10:08 : League Of Legends, general, TheLast1Alive#7757, Ima play gnar 
21 Jul 2016 05:10:09 : League Of Legends, general, TheLast1Alive#7757, Lelele 
21 Jul 2016 05:10:12 : League Of Legends, general, Legit_0reo#9709, lele
21 Jul 2016 05:10:15 : League Of Legends, general, RoyGasm#7098, do _tts (message)
21 Jul 2016 05:10:21 : League Of Legends, general, RoyGasm#7098, _tts u dumb
21 Jul 2016 05:10:21 : League Of Legends, general, GN4R#8315, u dumb
21 Jul 2016 05:10:25 : League Of Legends, general, Legit_0reo#9709, _tts i want a cookie
21 Jul 2016 05:10:25 : League Of Legends, general, GN4R#8315, i want a cookie
21 Jul 2016 05:10:31 : League Of Legends, general, RoyGasm#7098, see?
21 Jul 2016 05:10:35 : League Of Legends, general, Legit_0reo#9709, _tts fuck me in the ass
21 Jul 2016 05:10:35 : League Of Legends, general, GN4R#8315, fuck me in the ass
21 Jul 2016 05:10:39 : League Of Legends, general, Legit_0reo#9709, lmfao
21 Jul 2016 05:10:41 : League Of Legends, general, RoyGasm#7098, lelel
21 Jul 2016 05:10:49 : League Of Legends, general, Legit_0reo#9709, _tts suck my big fat nipple
21 Jul 2016 05:10:49 : League Of Legends, general, GN4R#8315, suck my big fat nipple
21 Jul 2016 05:10:55 : League Of Legends, general, Legit_0reo#9709, lmfao
21 Jul 2016 05:10:57 : League Of Legends, general, RoyGasm#7098, _xkcd
21 Jul 2016 05:10:57 : League Of Legends, general, GN4R#8315, XKCD **I'm Sorry**
No: **945**
Link: http://imgs.xkcd.com/comics/im_sorry.png
21 Jul 2016 05:10:59 : League Of Legends, general, Legit_0reo#9709, im habign too much fun
21 Jul 2016 05:11:01 : League Of Legends, general, RoyGasm#7098, tf?
21 Jul 2016 05:11:06 : League Of Legends, general, Legit_0reo#9709, _tts i will get a penta kill
21 Jul 2016 05:11:06 : League Of Legends, general, GN4R#8315, i will get a penta kill
21 Jul 2016 05:11:15 : League Of Legends, general, RoyGasm#7098, _c&h
21 Jul 2016 05:11:15 : League Of Legends, general, GN4R#8315, Cyanide and Happiness
No: **2194**
Link: http://files.explosm.net/comics/Matt/A-fitting-(nerdy)-conclusion.png
21 Jul 2016 05:11:18 : League Of Legends, general, RoyGasm#7098, oh
21 Jul 2016 05:11:20 : League Of Legends, general, Legit_0reo#9709, _tts lukas will not get mod on limitless
21 Jul 2016 05:11:20 : League Of Legends, general, GN4R#8315, lukas will not get mod on limitless
21 Jul 2016 05:11:25 : League Of Legends, general, RoyGasm#7098, ^
21 Jul 2016 05:11:25 : League Of Legends, general, Botfuzzy77#2209, ^
21 Jul 2016 05:11:29 : League Of Legends, general, Legit_0reo#9709, _tts but justin will
21 Jul 2016 05:11:29 : League Of Legends, general, GN4R#8315, but justin will
21 Jul 2016 05:11:31 : League Of Legends, general, RoyGasm#7098, bitch u never on
21 Jul 2016 05:11:38 : League Of Legends, general, RoyGasm#7098, justing never on either
21 Jul 2016 05:11:42 : League Of Legends, general, Legit_0reo#9709, _tts same
21 Jul 2016 05:11:42 : League Of Legends, general, GN4R#8315, same
21 Jul 2016 05:11:47 : Cipher, general, Botfuzzy77#2209, **Kburn1999**(Grunt) is now Offline!
21 Jul 2016 05:11:56 : League Of Legends, general, Legit_0reo#9709, _tts im havaing too much fun with this
21 Jul 2016 05:11:56 : League Of Legends, general, GN4R#8315, im havaing too much fun with this
21 Jul 2016 05:12:03 : League Of Legends, general, RoyGasm#7098, _tts ^
21 Jul 2016 05:12:03 : League Of Legends, general, GN4R#8315, ^
