22 Jul 2016 03:06:19 : LimitlessMc, mainchat, Wertfuzzy77#0274, ugh, i cant delete those messages now
22 Jul 2016 03:06:28 : LimitlessMc, mainchat, Wertfuzzy77#0274, only bot and jay can lol
22 Jul 2016 03:06:43 : LimitlessMc, mainchat, Wertfuzzy77#0274, wtb `manage_Messages` perms
22 Jul 2016 03:06:48 : LimitlessMc, mainchat, Botfuzzy77#2209, **{BR}GuardiaN**(No Role) is now Online!
22 Jul 2016 03:07:08 : LimitlessMc, mainchat, Wertfuzzy77#0274, it auto deletes the messages after 1 min
22 Jul 2016 03:07:13 : LimitlessMc, mainchat, Wertfuzzy77#0274, but since i restarted bot
22 Jul 2016 03:07:18 : LimitlessMc, mainchat, Wertfuzzy77#0274, he will not delete em
22 Jul 2016 03:07:19 : LimitlessMc, mainchat, Botfuzzy77#2209, **TheSolvdow**(No Role) is now Online!
22 Jul 2016 03:07:25 : LimitlessMc, mainchat, Wertfuzzy77#0274, might make it quicker
22 Jul 2016 03:07:28 : LimitlessMc, mainchat, Wertfuzzy77#0274, like 30 seconds
22 Jul 2016 03:07:44 : LimitlessMc, mainchat, Botfuzzy77#2209, **Topheralan**(Staff) is now Online!
22 Jul 2016 03:07:44 : Cipher, general, Botfuzzy77#2209, **Topheralan**(Admin) is now Online!
22 Jul 2016 03:07:47 : LimitlessMc, mainchat, Botfuzzy77#2209, **Legit_0reo**(No Role) is now Online!
22 Jul 2016 03:07:47 : League Of Legends, general, Botfuzzy77#2209, **Legit_0reo**(Security) is now Online!
22 Jul 2016 03:07:57 : LimitlessMc, mainchat, Wertfuzzy77#0274, ya, i make 30 seconds
22 Jul 2016 03:08:24 : LimitlessMc, mainchat, Wertfuzzy77#0274, also gonna make it toggleable per server
22 Jul 2016 03:08:29 : LimitlessMc, mainchat, Wertfuzzy77#0274, just testing it out
22 Jul 2016 03:08:35 : LimitlessMc, mainchat, Botfuzzy77#2209, **Legit_0reo**(No Role) is now Online!
22 Jul 2016 03:08:35 : League Of Legends, general, Botfuzzy77#2209, **Legit_0reo**(Security) is now Online!
22 Jul 2016 03:08:44 : LimitlessMc, mainchat, Botfuzzy77#2209, **DeadSkullzJr**(No Role) is now Online!
22 Jul 2016 03:08:53 : League Of Legends, general, Legit_0reo#9709, hi
22 Jul 2016 03:09:09 : League Of Legends, general, Botfuzzy77#2209, **TheLast1Alive**(Security) is now Online!
22 Jul 2016 03:09:09 : LimitlessMc, mainchat, Botfuzzy77#2209, **TheLast1Alive**(Staff) is now Online!
22 Jul 2016 03:09:17 : LimitlessMc, mainchat, Botfuzzy77#2209, **Techni**(Staff) is now Online!
22 Jul 2016 03:09:25 : LimitlessMc, mainchat, Botfuzzy77#2209, **Jay113355**(Owners) is now Online!
22 Jul 2016 03:09:28 : League Of Legends, general, TheLast1Alive#7757, U said 30mins lmfao
22 Jul 2016 03:09:33 : League Of Legends, general, TheLast1Alive#7757, Been like a hour 
22 Jul 2016 03:09:41 : LimitlessMc, mainchat, Wertfuzzy77#0274, ;relog
22 Jul 2016 03:09:41 : LimitlessMc, mainchat, Botfuzzy77#2209, Relogging...
