02 Aug 2016 20:47:42 : LimitlessMc, mainchat, xPalkia(lugia)#8149, RIP
02 Aug 2016 20:47:48 : LimitlessMc, mainchat, Axem#3687, Aboose
02 Aug 2016 20:47:50 : LimitlessMc, mainchat, depthy#3405, It's okei I fix
02 Aug 2016 20:47:50 : LimitlessMc, mainchat, xPalkia(lugia)#8149, Does she have to give it back?
02 Aug 2016 20:48:15 : LimitlessMc, mainchat, Axem#3687, Can I have a level 140 legendary too? I'll do -whatever- it takes
02 Aug 2016 20:48:22 : LimitlessMc, mainchat, Anarchy#7098, @xPalkia(lugia) it's restting
02 Aug 2016 20:48:30 : LimitlessMc, mainchat, Gilles#3169, for real?!
02 Aug 2016 20:49:06 : LimitlessMc, mainchat, Anarchy#7098, lol obvs
02 Aug 2016 20:49:08 : LimitlessMc, mainchat, Anarchy#7098, no
02 Aug 2016 20:49:23 : LimitlessMc, mainchat, Anarchy#7098, i love messing with him
02 Aug 2016 20:51:42 : League Of Legends, general, Botfuzzy77#2209, **nodeCord**(Bots) is now Offline!
02 Aug 2016 20:52:10 : LimitlessMc, mainchat, Krispy Kreme#2604, @depthy pls halp
02 Aug 2016 20:52:34 : GetPlebd, weeaboo-chat, I-Like-Pizzja#5222, ja
02 Aug 2016 20:52:38 : GetPlebd, weeaboo-chat, I-Like-Pizzja#5222, ik ga denk ik weg
02 Aug 2016 20:52:40 : GetPlebd, weeaboo-chat, I-Like-Pizzja#5222, sorry
02 Aug 2016 20:53:00 : 02Gaming, general, Botfuzzy77#2209, **LightShadow**(Guide) is now Online!
02 Aug 2016 20:53:00 : Temp Server, general, Botfuzzy77#2209, **LightShadow**(Owner) is now Online!
02 Aug 2016 20:53:00 : My Personal Server, general, Botfuzzy77#2209, **LightShadow**(Owner) is now Online!
02 Aug 2016 20:53:28 : My Personal Server, general, LightShadow#5809, ;clever how are you today?
02 Aug 2016 20:53:28 : My Personal Server, general, Botfuzzy77#2209, I am good. How are you?
02 Aug 2016 20:53:35 : My Personal Server, general, LightShadow#5809, ;clever I am okay
02 Aug 2016 20:53:36 : My Personal Server, general, Botfuzzy77#2209, Are you having a great friday?
02 Aug 2016 20:53:49 : My Personal Server, general, LightShadow#5809, ;clever it is tuesday
02 Aug 2016 20:53:52 : My Personal Server, general, Botfuzzy77#2209, No, it's monday :).
02 Aug 2016 20:53:55 : My Personal Server, general, LightShadow#5809, ._.
02 Aug 2016 20:54:56 : LimitlessMc, mainchat, LiBugPony#2583, rip depthy took it away ;-;
02 Aug 2016 20:55:05 : LimitlessMc, mainchat, LiBugPony#2583, because its a glitch
02 Aug 2016 20:55:26 : GetPlebd, weeaboo-chat, Botfuzzy77#2209, **I-Like-Pizzja**(Nazi) is now Offline!
02 Aug 2016 20:59:47 : LimitlessMc, mainchat, Jay113355#4999, Why would you try and catch a npc's pokemon?
02 Aug 2016 21:01:35 : LimitlessMc, mainchat, LiBugPony#2583, someone told depthy about it ;w; rip level 140 mewtwo
02 Aug 2016 21:02:05 : LimitlessMc, mainchat, Mystz#8072, Wahoo go depthy
02 Aug 2016 21:02:11 : California Crobats, updates, Botfuzzy77#2209, **Olivia**(Elite Four) is now Online!
02 Aug 2016 21:02:12 : Group, general, Botfuzzy77#2209, **Olivia**(No Role) is now Online!
02 Aug 2016 21:02:18 : LimitlessMc, mainchat, LiBugPony#2583, it was @Mystz who was fighting it and then crash X3 why couldn't you be fighting my ninetales, i want moer shiny ninetales X3
02 Aug 2016 21:02:56 : League Of Legends, general, Botfuzzy77#2209, **TheLast1Alive**(Security) is now Online!
02 Aug 2016 21:03:19 : Cipher, general, Sir_Blazer#6755, ;server
02 Aug 2016 21:03:22 : Cipher, general, Botfuzzy77#2209, *Server is Down :(*
02 Aug 2016 21:04:43 : LimitlessMc, botchat, xPalkia(lugia)#8149, ;server
02 Aug 2016 21:04:47 : LimitlessMc, botchat, Botfuzzy77#2209, *Server is Down :(*
02 Aug 2016 21:04:58 : LimitlessMc, mainchat, xPalkia(lugia)#8149, gg server crash?
02 Aug 2016 21:05:12 : LimitlessMc, mainchat, LiBugPony#2583, For people who don't belive me
02 Aug 2016 21:05:50 : LimitlessMc, mainchat, Mank#0033, @depthy le told ya you broke shit
02 Aug 2016 21:06:00 : LimitlessMc, mainchat, depthy#3405, didn't know that was a bug
