09 Aug 2016 04:05:02 : Cipher, general, Wertfuzzy77#0274, ;join
09 Aug 2016 04:05:02 : Cipher, general, Calamariela<3#4119, i use to own a camaro. loved it to death
09 Aug 2016 04:05:08 : Cipher, general, Wertfuzzy77#0274, ;youtube https://youtu.be/CaksNlNniis
09 Aug 2016 04:05:12 : Cipher, general, Akinci#5072, V8?
09 Aug 2016 04:05:13 : Cipher, general, Wertfuzzy77#0274, We did it
09 Aug 2016 04:05:13 : Cipher, general, Calamariela<3#4119, yes
09 Aug 2016 04:05:19 : Cipher, general, Akinci#5072, Damn
09 Aug 2016 04:05:29 : Cipher, general, Calamariela<3#4119, music workssss
09 Aug 2016 04:06:07 : Cipher, general, Wertfuzzy77#0274, Atleast the opening
09 Aug 2016 04:06:21 : Cipher, general, Wertfuzzy77#0274, ;playlists
09 Aug 2016 04:06:26 : Cipher, general, Wertfuzzy77#0274, GO HOME BOT
09 Aug 2016 04:06:30 : Cipher, general, Wertfuzzy77#0274, Useless
09 Aug 2016 04:06:33 : Cipher, general, Calamariela<3#4119, im sad
09 Aug 2016 04:06:38 : Cipher, general, Wertfuzzy77#0274, Why?
09 Aug 2016 04:06:48 : Cipher, general, Calamariela<3#4119, xD i just put good music on that thing
09 Aug 2016 04:06:54 : Cipher, general, Wertfuzzy77#0274, Sux
09 Aug 2016 04:07:06 : Cipher, general, Wertfuzzy77#0274, You are back to listening to anime
09 Aug 2016 04:07:33 : Cipher, general, Wertfuzzy77#0274, Now, do I go walk down stairs and see what up with the ;playlists cmd?
09 Aug 2016 04:07:44 : Cipher, general, Wertfuzzy77#0274, Or do I not care enough and just be lazy in bed
09 Aug 2016 04:08:06 : California Crobats, main, Olivia#5408, +play https://www.youtube.com/watch?v=7kPgYPsfKaY
09 Aug 2016 04:08:10 : California Crobats, main, Hexacircle#6146, :notes: **Now Playing** `Glee Alone with lyrics` Length **217** seconds.
09 Aug 2016 04:08:49 : Cipher, general, Calamariela<3#4119, this is exactly what my car looked like
09 Aug 2016 04:08:59 : Cipher, general, Calamariela<3#4119, im sad i miss it....
09 Aug 2016 04:09:40 : Cipher, general, Calamariela<3#4119, ikr....fml xD
09 Aug 2016 04:09:48 : California Crobats, updates, Botfuzzy77#2209, **PP23**(Elite Four) is now Online!
09 Aug 2016 04:09:53 : Cipher, general, Botfuzzy77#2209, **Akinci**(Grunt) is now Offline!
09 Aug 2016 04:09:54 : Cipher, general, Wertfuzzy77#0274, ;fml
09 Aug 2016 04:09:55 : Cipher, general, Botfuzzy77#2209, *Today, my pants felt a little looser than usual. Thinking I'd lost weight, I proudly went about my day. It wasn't until much later that I realised I hadn't lost any weight at all; my fly was down. FML*
09 Aug 2016 04:09:59 : Cipher, general, Calamariela<3#4119, oh no
09 Aug 2016 04:10:01 : Cipher, general, Calamariela<3#4119, not this
09 Aug 2016 04:10:40 : Cipher, general, Botfuzzy77#2209, **Akinci**(Grunt) is now Online!
09 Aug 2016 04:10:55 : Cipher, general, Wertfuzzy77#0274, I sleep now
09 Aug 2016 04:10:59 : Cipher, general, Calamariela<3#4119, noooo
09 Aug 2016 04:11:00 : Cipher, general, Akinci#5072, Gn
09 Aug 2016 04:11:19 : Cipher, general, Calamariela<3#4119, lol i have to go to xD
09 Aug 2016 04:11:27 : Cipher, general, Akinci#5072, ...if you sleep
09 Aug 2016 04:11:38 : Cipher, general, Wertfuzzy77#0274, Gn then @Calamariela
09 Aug 2016 04:11:47 : California Crobats, main, Hexacircle#6146, Music finished! Disconnecting from voice channel!
09 Aug 2016 04:11:51 : My Personal Server, general, Botfuzzy77#2209, **DJ_Phatzo**(Guide) is now Online!
09 Aug 2016 04:11:51 : Temp Server, general, Botfuzzy77#2209, **DJ_Phatzo**(Member) is now Online!
09 Aug 2016 04:11:53 : Cipher, general, Calamariela<3#4119, if i sleep...
09 Aug 2016 04:12:07 : Cipher, general, Akinci#5072, Wait whats the car on my profile pic @Calamariela 
09 Aug 2016 04:12:18 : Cipher, general, Wertfuzzy77#0274, Ugly
09 Aug 2016 04:12:21 : Cipher, general, Wertfuzzy77#0274, Ha!
09 Aug 2016 04:12:23 : Cipher, general, Wertfuzzy77#0274, Gg
09 Aug 2016 04:12:26 : Cipher, general, Akinci#5072, I meant *gn if you sleep
09 Aug 2016 04:12:27 : Cipher, general, Calamariela<3#4119, idk bmw something
09 Aug 2016 04:12:35 : Cipher, general, Akinci#5072, Yes bmw
09 Aug 2016 04:12:38 : Cipher, general, Akinci#5072, M4
09 Aug 2016 04:12:39 : Cipher, general, Wertfuzzy77#0274, xD I need sleep
09 Aug 2016 04:12:42 : Cipher, general, Wertfuzzy77#0274, K bai
09 Aug 2016 04:12:48 : Cipher, general, Akinci#5072, K bai gn
09 Aug 2016 04:12:52 : Cipher, general, Calamariela<3#4119, baiiii gnnnn
09 Aug 2016 04:12:54 : California Crobats, updates, Botfuzzy77#2209, **PP23**(Elite Four) is now Offline!
09 Aug 2016 04:12:55 : Cipher, general, Calamariela<3#4119, me tooooo xD
09 Aug 2016 04:13:22 : Cipher, general, Akinci#5072, le gn
09 Aug 2016 04:13:47 : Cipher, general, Calamariela<3#4119, night
09 Aug 2016 04:13:50 : My Personal Server, general, Botfuzzy77#2209, **DJ_Phatzo**(Guide) is now Offline!
09 Aug 2016 04:13:51 : Temp Server, general, Botfuzzy77#2209, **DJ_Phatzo**(Member) is now Offline!
09 Aug 2016 04:13:52 : Cipher, general, Akinci#5072, Thx gn
09 Aug 2016 04:15:24 : California Crobats, main, Olivia#5408, +play https://www.youtube.com/watch?v=niw1YpOEwf0
09 Aug 2016 04:15:32 : California Crobats, main, Hexacircle#6146, :notes: **Now Playing** `Total Eclipse Of The Heart | Glee [HD FULL STUDIO]` Length **265** seconds.
09 Aug 2016 04:15:59 : Cipher, general, Botfuzzy77#2209, **Akinci**(Grunt) is now Offline!
09 Aug 2016 04:16:18 : Cipher, general, Botfuzzy77#2209, **Calamariela<3**(Officer) is now Offline!
09 Aug 2016 04:16:31 : California Crobats, updates, Botfuzzy77#2209, **PP23**(Elite Four) is now Online!
09 Aug 2016 04:19:57 : California Crobats, main, Hexacircle#6146, Music finished! Disconnecting from voice channel!
09 Aug 2016 04:21:40 : California Crobats, main, Olivia#5408, +play https://www.youtube.com/watch?v=08yvLwJNHt4
09 Aug 2016 04:21:43 : California Crobats, main, Hexacircle#6146, :notes: **Now Playing** `One | Glee [HD FULL STUDIO]` Length **237** seconds.
09 Aug 2016 04:23:08 : GreenHillGang, general, Botfuzzy77#2209, **RoboDK88**(No Role) is now Online!
09 Aug 2016 04:23:46 : GreenHillGang, general, Botfuzzy77#2209, **RoboDK88**(No Role) is now Offline!
09 Aug 2016 04:25:23 : California Crobats, updates, Botfuzzy77#2209, **PP23**(Elite Four) is now Offline!
09 Aug 2016 04:25:24 : Cipher, general, Botfuzzy77#2209, **Wertfuzzy77**(Grand Master) is now Online!
09 Aug 2016 04:25:24 : GreenHillGang, general, Botfuzzy77#2209, **Wertfuzzy77**(No Role) is now Online!
09 Aug 2016 04:25:40 : California Crobats, main, Hexacircle#6146, Music finished! Disconnecting from voice channel!
09 Aug 2016 04:26:22 : California Crobats, main, Olivia#5408, +play https://www.youtube.com/watch?v=1BM9F5nBbPE
09 Aug 2016 04:26:26 : California Crobats, main, Hexacircle#6146, :notes: **Now Playing** `One Less Bell To Answer / A House Is Not A Home | Glee [HD FULL STUDIO]` Length **284** seconds.
09 Aug 2016 04:26:59 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **Prince Kumbi**(Children of The Raw Man) is now Offline!
09 Aug 2016 04:30:18 : Cipher, general, Botfuzzy77#2209, **Akinci**(Grunt) is now Online!
09 Aug 2016 04:31:10 : California Crobats, main, Hexacircle#6146, Music finished! Disconnecting from voice channel!
09 Aug 2016 04:32:39 : California Crobats, main, Olivia#5408, +play https://www.youtube.com/watch?v=ICYFfKkt1TQ
09 Aug 2016 04:32:43 : California Crobats, main, Hexacircle#6146, :notes: **Now Playing** `Run Joey Run | Glee [HD FULL STUDIO]` Length **171** seconds.
09 Aug 2016 04:34:22 : Cipher, general, Botfuzzy77#2209, **Akinci**(Grunt) is now Offline!
09 Aug 2016 04:35:34 : California Crobats, main, Hexacircle#6146, Music finished! Disconnecting from voice channel!
09 Aug 2016 04:36:15 : California Crobats, updates, Botfuzzy77#2209, **Dark**(Elite Four) is now Offline!
09 Aug 2016 04:36:43 : California Crobats, main, Olivia#5408, +play https://www.youtube.com/watch?v=0sjRKImXnoA
09 Aug 2016 04:36:46 : California Crobats, main, Hexacircle#6146, :notes: **Now Playing** `glee cast   hit me baby one more time glee season 2 britney brittany episode` Length **131** seconds.
09 Aug 2016 04:38:55 : California Crobats, main, Hexacircle#6146, Music finished! Disconnecting from voice channel!
09 Aug 2016 04:40:10 : California Crobats, main, Olivia#5408, +play https://www.youtube.com/watch?v=i-gyZ35074k
09 Aug 2016 04:40:13 : California Crobats, main, Hexacircle#6146, :notes: **Now Playing** `Zedd - Stay The Night ft. Hayley Williams` Length **217** seconds.
09 Aug 2016 04:40:17 : Cipher, general, Botfuzzy77#2209, **Skyd**(Champ) is now Online!
09 Aug 2016 04:41:04 : California Crobats, updates, Botfuzzy77#2209, **Dark**(Elite Four) is now Online!
09 Aug 2016 04:41:15 : Cipher, general, Skyd#9935, Fuck anisha is getting on my nerves
09 Aug 2016 04:42:10 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **Prince Kumbi**(Children of The Raw Man) is now Online!
09 Aug 2016 04:42:40 : 02Gaming, general, Botfuzzy77#2209, **Wu Tang**(Member) is now Offline!
09 Aug 2016 04:43:06 : 02Gaming, general, Botfuzzy77#2209, **kayoooooooooo**(Member) is now Offline!
09 Aug 2016 04:43:12 : 02Gaming, general, Botfuzzy77#2209, **Wu Tang**(Member) is now Online!
09 Aug 2016 04:43:14 : 02Gaming, general, Botfuzzy77#2209, **kayoooooooooo**(Member) is now Online!
09 Aug 2016 04:43:50 : California Crobats, main, Hexacircle#6146, Music finished! Disconnecting from voice channel!
09 Aug 2016 04:44:19 : California Crobats, main, Olivia#5408, +play https://www.youtube.com/watch?v=6ACl8s_tBzE
09 Aug 2016 04:44:23 : California Crobats, main, Hexacircle#6146, :notes: **Now Playing** `Calvin Harris - Blame ft. John Newman` Length **255** seconds.
09 Aug 2016 04:44:32 : Cipher, general, Skyd#9935, Breaking healers in random poke centers is a ban
09 Aug 2016 04:45:42 : Cipher, general, Skyd#9935, But removing the whole thing isn't? 
09 Aug 2016 04:45:53 : 02Gaming, general, Botfuzzy77#2209, **Wu Tang**(Member) is now Offline!
09 Aug 2016 04:48:37 : California Crobats, main, Hexacircle#6146, Music finished! Disconnecting from voice channel!
09 Aug 2016 04:49:54 : California Crobats, main, Olivia#5408, +play https://www.youtube.com/watch?v=eXi6hdfzxLY
09 Aug 2016 04:49:57 : California Crobats, main, Hexacircle#6146, :notes: **Now Playing** `Glee Cast - Take A Bow (HQ)` Length **218** seconds.
09 Aug 2016 04:53:34 : California Crobats, main, Hexacircle#6146, Music finished! Disconnecting from voice channel!
09 Aug 2016 04:54:12 : California Crobats, main, Olivia#5408, +play https://www.youtube.com/watch?v=OmHvLCbcwtw
09 Aug 2016 04:54:15 : California Crobats, main, Hexacircle#6146, :notes: **Now Playing** `The Scientist - Glee [HD Full Studio]` Length **257** seconds.
09 Aug 2016 04:58:32 : California Crobats, main, Hexacircle#6146, Music finished! Disconnecting from voice channel!
09 Aug 2016 04:58:32 : Cipher, general, Skyd#9935, Also pokken keeps saying he is staff -.-
09 Aug 2016 04:59:01 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **Schauda**(Priests of The Raw Man) is now Offline!
09 Aug 2016 04:59:30 : Temp Server, general, Botfuzzy77#2209, **LightShadow**(Owner) is now Offline!
09 Aug 2016 04:59:30 : My Personal Server, general, Botfuzzy77#2209, **LightShadow**(Owner) is now Offline!
09 Aug 2016 04:59:30 : 02Gaming, general, Botfuzzy77#2209, **LightShadow**(Guide) is now Offline!
09 Aug 2016 04:59:47 : My Personal Server, general, Botfuzzy77#2209, **Soner**(No Role) is now Offline!
09 Aug 2016 05:00:09 : California Crobats, main, Olivia#5408, +play https://www.youtube.com/watch?v=mSzsEMjosu4
09 Aug 2016 05:00:12 : California Crobats, main, Hexacircle#6146, :notes: **Now Playing** `It's Not Right But It's Okay - Glee [HD Full Studio]` Length **258** seconds.
09 Aug 2016 05:03:33 : Cipher, general, Botfuzzy77#2209, **Akinci**(Grunt) is now Online!
09 Aug 2016 05:04:04 : Cipher, general, Akinci#5072, really
09 Aug 2016 05:04:09 : Cipher, general, Akinci#5072, le
09 Aug 2016 05:04:31 : California Crobats, main, Hexacircle#6146, Music finished! Disconnecting from voice channel!
09 Aug 2016 05:05:18 : California Crobats, main, Olivia#5408, +play https://www.youtube.com/watch?v=l9Sly3vbzBI
09 Aug 2016 05:05:22 : California Crobats, main, Hexacircle#6146, :notes: **Now Playing** `Get It Right | Glee [HD FULL STUDIO]` Length **229** seconds.
09 Aug 2016 05:07:43 : Cipher, general, Botfuzzy77#2209, **Skyd**(Champ) is now Offline!
09 Aug 2016 05:08:13 : Cipher, general, Botfuzzy77#2209, **Akinci**(Grunt) is now Offline!
09 Aug 2016 05:09:11 : California Crobats, main, Hexacircle#6146, Music finished! Disconnecting from voice channel!
09 Aug 2016 05:10:23 : California Crobats, main, Olivia#5408, +play https://youtu.be/rb8ndpJesNo?list=RDKFw2SYHaugc
09 Aug 2016 05:10:27 : California Crobats, main, Hexacircle#6146, :notes: **Now Playing** `Glee Cast - No Air (Glee Cast Version)` Length **263** seconds.
09 Aug 2016 05:13:11 : Cipher, general, Botfuzzy77#2209, **MGirard**(Grunt) is now Online!
09 Aug 2016 05:14:49 : California Crobats, main, Hexacircle#6146, Music finished! Disconnecting from voice channel!
09 Aug 2016 05:15:12 : California Crobats, main, Olivia#5408, +play https://www.youtube.com/watch?v=R4NbPkYQtJc&list=RDKFw2SYHaugc&index=24
09 Aug 2016 05:15:15 : California Crobats, main, Hexacircle#6146, :notes: **Now Playing** `Home - Glee Cast ft. Kristin Chenoweth w/ lyrics` Length **214** seconds.
09 Aug 2016 05:15:40 : Cipher, general, Botfuzzy77#2209, **Calamariela<3**(Officer) is now Online!
09 Aug 2016 05:17:38 : Cipher, general, Botfuzzy77#2209, **MGirard**(Grunt) is now Online!
09 Aug 2016 05:18:49 : California Crobats, main, Hexacircle#6146, Music finished! Disconnecting from voice channel!
09 Aug 2016 05:23:05 : California Crobats, main, Olivia#5408, +play https://www.youtube.com/watch?v=oWnzBH1Ytew&index=35&list=RDKFw2SYHaugc
09 Aug 2016 05:23:09 : California Crobats, main, Hexacircle#6146, :notes: **Now Playing** `Without You - Glee [HD Full Studio]` Length **208** seconds.
09 Aug 2016 05:23:14 : California Crobats, updates, Botfuzzy77#2209, **LeontyneMidnight**(Pokemon Professor) is now Online!
09 Aug 2016 05:26:37 : California Crobats, main, Hexacircle#6146, Music finished! Disconnecting from voice channel!
09 Aug 2016 05:32:49 : Cipher, general, Botfuzzy77#2209, **MGirard**(Grunt) is now Online!
09 Aug 2016 05:35:45 : Cipher, general, Botfuzzy77#2209, **MGirard**(Grunt) is now Offline!
09 Aug 2016 05:36:24 : LimitlessMc, mainchat, Sociari#9995, Any staff on that can help me with some rollbacks? Lost my chests and 2-3 chunks of work
09 Aug 2016 05:37:16 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **The Innkeeper**(Bots) is now Offline!
09 Aug 2016 05:37:29 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **TrueXPixels**(Children of The Raw Man) is now Offline!
09 Aug 2016 05:38:16 : The Raw Man Cult, sexy-channel, Prince Kumbi#8982, +rule34 kitten
09 Aug 2016 05:38:17 : The Raw Man Cult, sexy-channel, KawaiiBot#0769, You've searched for `kitten`
http://img.rule34.xxx/images/728/3959b96fd3185d2091ca7a86d4649493.png
09 Aug 2016 05:38:24 : The Raw Man Cult, sexy-channel, Prince Kumbi#8982, nooo
09 Aug 2016 05:39:04 : California Crobats, updates, Botfuzzy77#2209, **Dark**(Elite Four) is now Online!
09 Aug 2016 05:39:09 : California Crobats, updates, Botfuzzy77#2209, **Dark**(Elite Four) is now Online!
09 Aug 2016 05:39:19 : California Crobats, updates, Botfuzzy77#2209, **Dark**(Elite Four) is now Online!
09 Aug 2016 05:39:29 : California Crobats, updates, Botfuzzy77#2209, **Dark**(Elite Four) is now Online!
09 Aug 2016 05:39:39 : California Crobats, updates, Botfuzzy77#2209, **Dark**(Elite Four) is now Online!
09 Aug 2016 05:39:49 : California Crobats, updates, Botfuzzy77#2209, **Dark**(Elite Four) is now Online!
09 Aug 2016 05:39:59 : California Crobats, updates, Botfuzzy77#2209, **Dark**(Elite Four) is now Online!
