10 Aug 2016 08:33:16 : California Crobats, updates, Botfuzzy77#2209, **Dark**(Elite Four) is now Online!
10 Aug 2016 08:37:14 : California Crobats, updates, Botfuzzy77#2209, **Dark**(Elite Four) is now Online!
10 Aug 2016 08:37:27 : California Crobats, updates, Botfuzzy77#2209, **Dark**(Elite Four) is now Online!
10 Aug 2016 08:38:26 : California Crobats, updates, Botfuzzy77#2209, **Dark**(Elite Four) is now Online!
10 Aug 2016 08:38:40 : California Crobats, updates, Botfuzzy77#2209, **Dark**(Elite Four) is now Online!
10 Aug 2016 08:40:14 : California Crobats, updates, Botfuzzy77#2209, **Dark**(Elite Four) is now Online!
10 Aug 2016 08:40:26 : California Crobats, updates, Botfuzzy77#2209, **Dark**(Elite Four) is now Online!
10 Aug 2016 08:40:38 : California Crobats, updates, Botfuzzy77#2209, **Dark**(Elite Four) is now Online!
10 Aug 2016 08:40:50 : California Crobats, updates, Botfuzzy77#2209, **Dark**(Elite Four) is now Online!
10 Aug 2016 08:41:02 : California Crobats, updates, Botfuzzy77#2209, **Dark**(Elite Four) is now Online!
10 Aug 2016 08:41:12 : LimitlessMc, mainchat, depthy#3405, Ah got disconnected
10 Aug 2016 08:41:14 : California Crobats, updates, Botfuzzy77#2209, **Dark**(Elite Four) is now Online!
10 Aug 2016 08:41:16 : LimitlessMc, mainchat, depthy#3405, Rip @me
10 Aug 2016 08:41:20 : LimitlessMc, mainchat, ElasticDroid#3559, oh shit whatup
10 Aug 2016 08:41:26 : California Crobats, updates, Botfuzzy77#2209, **Dark**(Elite Four) is now Online!
10 Aug 2016 08:41:38 : California Crobats, updates, Botfuzzy77#2209, **Dark**(Elite Four) is now Online!
10 Aug 2016 08:41:50 : California Crobats, updates, Botfuzzy77#2209, **Dark**(Elite Four) is now Online!
10 Aug 2016 08:42:02 : California Crobats, updates, Botfuzzy77#2209, **Dark**(Elite Four) is now Online!
10 Aug 2016 08:42:14 : California Crobats, updates, Botfuzzy77#2209, **Dark**(Elite Four) is now Online!
10 Aug 2016 08:42:26 : California Crobats, updates, Botfuzzy77#2209, **Dark**(Elite Four) is now Online!
10 Aug 2016 08:42:38 : GetPlebd, weeaboo-chat, Botfuzzy77#2209, **I-Like-Pizzja**(Nazi) is now Online!
10 Aug 2016 08:42:38 : California Crobats, updates, Botfuzzy77#2209, **Dark**(Elite Four) is now Online!
10 Aug 2016 08:42:50 : California Crobats, updates, Botfuzzy77#2209, **Dark**(Elite Four) is now Online!
10 Aug 2016 08:43:02 : California Crobats, updates, Botfuzzy77#2209, **Dark**(Elite Four) is now Online!
10 Aug 2016 08:43:14 : California Crobats, updates, Botfuzzy77#2209, **Dark**(Elite Four) is now Online!
10 Aug 2016 08:43:26 : California Crobats, updates, Botfuzzy77#2209, **Dark**(Elite Four) is now Online!
10 Aug 2016 08:43:38 : California Crobats, updates, Botfuzzy77#2209, **Dark**(Elite Four) is now Online!
10 Aug 2016 08:43:50 : California Crobats, updates, Botfuzzy77#2209, **Dark**(Elite Four) is now Online!
10 Aug 2016 08:44:02 : California Crobats, updates, Botfuzzy77#2209, **Dark**(Elite Four) is now Online!
10 Aug 2016 08:44:14 : California Crobats, updates, Botfuzzy77#2209, **Dark**(Elite Four) is now Online!
10 Aug 2016 08:44:26 : California Crobats, updates, Botfuzzy77#2209, **Dark**(Elite Four) is now Online!
10 Aug 2016 08:44:38 : California Crobats, updates, Botfuzzy77#2209, **Dark**(Elite Four) is now Online!
10 Aug 2016 08:44:50 : California Crobats, updates, Botfuzzy77#2209, **Dark**(Elite Four) is now Online!
10 Aug 2016 08:45:02 : California Crobats, updates, Botfuzzy77#2209, **Dark**(Elite Four) is now Online!
10 Aug 2016 08:45:14 : California Crobats, updates, Botfuzzy77#2209, **Dark**(Elite Four) is now Online!
10 Aug 2016 08:45:26 : California Crobats, updates, Botfuzzy77#2209, **Dark**(Elite Four) is now Online!
10 Aug 2016 08:45:38 : California Crobats, updates, Botfuzzy77#2209, **Dark**(Elite Four) is now Online!
10 Aug 2016 08:45:50 : California Crobats, updates, Botfuzzy77#2209, **Dark**(Elite Four) is now Online!
10 Aug 2016 08:46:02 : California Crobats, updates, Botfuzzy77#2209, **Dark**(Elite Four) is now Online!
10 Aug 2016 08:46:05 : Gang ;), general, Botfuzzy77#2209, **xPalkia(lugia)**(No Role) is now Online!
10 Aug 2016 08:46:14 : California Crobats, updates, Botfuzzy77#2209, **Dark**(Elite Four) is now Online!
10 Aug 2016 08:46:26 : California Crobats, updates, Botfuzzy77#2209, **Dark**(Elite Four) is now Online!
10 Aug 2016 08:46:38 : California Crobats, updates, Botfuzzy77#2209, **Dark**(Elite Four) is now Online!
10 Aug 2016 08:46:46 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **Dong Ding**(Children of The Raw Man) is now Online!
10 Aug 2016 08:46:50 : California Crobats, updates, Botfuzzy77#2209, **Dark**(Elite Four) is now Online!
10 Aug 2016 08:47:02 : California Crobats, updates, Botfuzzy77#2209, **Dark**(Elite Four) is now Online!
10 Aug 2016 08:47:14 : California Crobats, updates, Botfuzzy77#2209, **Dark**(Elite Four) is now Online!
10 Aug 2016 08:47:26 : California Crobats, updates, Botfuzzy77#2209, **Dark**(Elite Four) is now Online!
10 Aug 2016 08:47:38 : California Crobats, updates, Botfuzzy77#2209, **Dark**(Elite Four) is now Online!
10 Aug 2016 08:47:50 : California Crobats, updates, Botfuzzy77#2209, **Dark**(Elite Four) is now Online!
10 Aug 2016 08:48:02 : California Crobats, updates, Botfuzzy77#2209, **Dark**(Elite Four) is now Online!
10 Aug 2016 08:48:14 : California Crobats, updates, Botfuzzy77#2209, **Dark**(Elite Four) is now Online!
10 Aug 2016 08:48:26 : California Crobats, updates, Botfuzzy77#2209, **Dark**(Elite Four) is now Online!
10 Aug 2016 08:48:38 : California Crobats, updates, Botfuzzy77#2209, **Dark**(Elite Four) is now Online!
10 Aug 2016 08:48:50 : California Crobats, updates, Botfuzzy77#2209, **Dark**(Elite Four) is now Online!
10 Aug 2016 08:49:02 : California Crobats, updates, Botfuzzy77#2209, **Dark**(Elite Four) is now Online!
10 Aug 2016 08:49:14 : California Crobats, updates, Botfuzzy77#2209, **Dark**(Elite Four) is now Online!
10 Aug 2016 08:49:26 : California Crobats, updates, Botfuzzy77#2209, **Dark**(Elite Four) is now Online!
10 Aug 2016 08:49:38 : California Crobats, updates, Botfuzzy77#2209, **Dark**(Elite Four) is now Online!
10 Aug 2016 08:49:50 : California Crobats, updates, Botfuzzy77#2209, **Dark**(Elite Four) is now Online!
10 Aug 2016 08:50:02 : California Crobats, updates, Botfuzzy77#2209, **Dark**(Elite Four) is now Online!
10 Aug 2016 08:50:14 : California Crobats, updates, Botfuzzy77#2209, **Dark**(Elite Four) is now Online!
10 Aug 2016 08:50:26 : California Crobats, updates, Botfuzzy77#2209, **Dark**(Elite Four) is now Online!
10 Aug 2016 08:50:38 : California Crobats, updates, Botfuzzy77#2209, **Dark**(Elite Four) is now Online!
