13 Aug 2016 22:10:10 : League Of Legends, general, Botfuzzy77#2209, **ThaOriginal**(Security) is now Online!
13 Aug 2016 22:10:10 : GreenHillGang, general, Botfuzzy77#2209, **Wertfuzzy77**(No Role) is now Online!
13 Aug 2016 22:10:11 : Cipher, general, Botfuzzy77#2209, **Wertfuzzy77**(Grand Master) is now Online!
13 Aug 2016 22:10:21 : GreenHillGang, general, Botfuzzy77#2209, **Wertfuzzy77**(No Role) is now Online!
13 Aug 2016 22:10:21 : Cipher, general, Botfuzzy77#2209, **Wertfuzzy77**(Grand Master) is now Online!
13 Aug 2016 22:11:31 : My Personal Server, general, Botfuzzy77#2209, **DJ_Phatzo**(Guide) is now Offline!
13 Aug 2016 22:11:31 : Temp Server, general, Botfuzzy77#2209, **DJ_Phatzo**(Member) is now Offline!
13 Aug 2016 22:12:10 : League Of Legends, general, Botfuzzy77#2209, **ThaOriginal**(Security) is now Offline!
13 Aug 2016 22:12:16 : My Personal Server, general, Botfuzzy77#2209, **Techni**(Member) is now Offline!
13 Aug 2016 22:12:35 : LimitlessMc, botchat, Zamary#4025, ;luck
13 Aug 2016 22:12:35 : LimitlessMc, botchat, Botfuzzy77#2209, Zamary's luck is 10.45 out of 100, which is **Completly Horrible**
13 Aug 2016 22:12:38 : LimitlessMc, botchat, Zamary#4025, meme
13 Aug 2016 22:18:14 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **Prince Kumbi**(Children of The Raw Man) is now Online!
13 Aug 2016 22:20:03 : My Personal Server, general, Botfuzzy77#2209, **Techni**(Member) is now Online!
13 Aug 2016 22:20:22 : Cipher, general, Botfuzzy77#2209, **JustinOPGamer**(Grunt) is now Online!
13 Aug 2016 22:20:22 : League Of Legends, general, Botfuzzy77#2209, **JustinOPGamer**(No Role) is now Online!
13 Aug 2016 22:23:03 : Cipher, general, Botfuzzy77#2209, **JustinOPGamer**(Grunt) is now Offline!
13 Aug 2016 22:23:03 : League Of Legends, general, Botfuzzy77#2209, **JustinOPGamer**(No Role) is now Offline!
13 Aug 2016 22:30:06 : Cipher, general, Botfuzzy77#2209, **Akinci**(Grunt) is now Online!
13 Aug 2016 22:32:47 : Cipher, general, Botfuzzy77#2209, **Akinci**(Grunt) is now Offline!
13 Aug 2016 22:33:04 : League Of Legends, general, Botfuzzy77#2209, **ThaOriginal**(Security) is now Online!
13 Aug 2016 22:35:04 : League Of Legends, general, Botfuzzy77#2209, **ThaOriginal**(Security) is now Offline!
13 Aug 2016 22:35:18 : League Of Legends, general, Botfuzzy77#2209, **ThaOriginal**(Security) is now Online!
13 Aug 2016 22:36:23 : My Personal Server, general, Botfuzzy77#2209, **Techni**(Member) is now Offline!
13 Aug 2016 22:37:56 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **Prince Kumbi**(Children of The Raw Man) is now Online!
13 Aug 2016 22:39:48 : My Personal Server, general, Botfuzzy77#2209, **Techni**(Member) is now Online!
13 Aug 2016 22:41:19 : LimitlessMc, mainchat, ZyroPlayz#3967, wtg asian girl thats racist
13 Aug 2016 22:41:22 : LimitlessMc, mainchat, ZyroPlayz#3967, wtf*
13 Aug 2016 22:42:21 : LimitlessMc, mainchat, Tomas1O1#4667, http://giphy.com/gifs/pokemon-go-mH3kYqdanpGzS
13 Aug 2016 22:43:03 : LimitlessMc, mainchat, ZyroPlayz#3967, @Tomas1O1  get cho ass outta here team instinct ftw
13 Aug 2016 22:44:52 : LimitlessMc, botchat, ZyroPlayz#3967, @Botfuzzy77 wake up
13 Aug 2016 22:44:52 : LimitlessMc, botchat, Botfuzzy77#2209, Wut
13 Aug 2016 22:44:57 : LimitlessMc, botchat, ZyroPlayz#3967, u is here
13 Aug 2016 22:45:05 : Gang ;), general, Botfuzzy77#2209, **Olivia**(Staff/Guild Leaders) is now Online!
13 Aug 2016 22:45:06 : LimitlessMc, mainchat, Tomas1O1#4667, rude lol
13 Aug 2016 22:45:06 : 02Gaming, general, Botfuzzy77#2209, **Wu Tang**(Member) is now Online!
13 Aug 2016 22:45:13 : LimitlessMc, botchat, ZyroPlayz#3967, @Botfuzzy77  say hi
13 Aug 2016 22:45:13 : LimitlessMc, botchat, Botfuzzy77#2209, Wut
13 Aug 2016 22:45:21 : LimitlessMc, mainchat, Tomas1O1#4667, Search up, TeamMystic is the top team in pokemon go lol
13 Aug 2016 22:45:22 : LimitlessMc, mainchat, Tomas1O1#4667, http://giphy.com/gifs/pokemon-go-mH3kYqdanpGzS
13 Aug 2016 22:45:31 : LimitlessMc, botchat, ZyroPlayz#3967, @Botfuzzy77 go to sleep
13 Aug 2016 22:45:36 : LimitlessMc, botchat, Botfuzzy77#2209, Wut
13 Aug 2016 22:45:47 : LimitlessMc, botchat, ZyroPlayz#3967, @Botfuzzy77 i told u to go to sleep faggot
13 Aug 2016 22:45:47 : LimitlessMc, botchat, Botfuzzy77#2209, Wut
13 Aug 2016 22:45:49 : LimitlessMc, botchat, ZyroPlayz#3967, .shutdown
13 Aug 2016 22:45:53 : LimitlessMc, botchat, ZyroPlayz#3967, whats the damn command again
