13 Aug 2016 22:49:46 : Cipher, general, Botfuzzy77#2209, **Wertfuzzy77**(Grand Master) is now Online!
13 Aug 2016 22:49:46 : GreenHillGang, general, Botfuzzy77#2209, **Wertfuzzy77**(No Role) is now Online!
13 Aug 2016 22:49:47 : GreenHillGang, general, Botfuzzy77#2209, **Wertfuzzy77**(No Role) is now Online!
13 Aug 2016 22:49:47 : Cipher, general, Botfuzzy77#2209, **Wertfuzzy77**(Grand Master) is now Online!
13 Aug 2016 22:50:31 : League Of Legends, general, Botfuzzy77#2209, **ThaOriginal**(Security) is now Online!
13 Aug 2016 22:50:48 : Cipher, general, Botfuzzy77#2209, **JustinOPGamer**(Grunt) is now Online!
13 Aug 2016 22:50:49 : League Of Legends, general, Botfuzzy77#2209, **JustinOPGamer**(No Role) is now Online!
13 Aug 2016 22:52:51 : League Of Legends, general, Botfuzzy77#2209, **JustinOPGamer**(No Role) is now Offline!
13 Aug 2016 22:52:51 : Cipher, general, Botfuzzy77#2209, **JustinOPGamer**(Grunt) is now Offline!
13 Aug 2016 22:53:55 : League Of Legends, general, Botfuzzy77#2209, **ThaOriginal**(Security) is now Offline!
13 Aug 2016 22:54:27 : LimitlessMc, mainchat, Tomas1O1#4667, why are u so rude lol
13 Aug 2016 22:55:36 : LimitlessMc, botchat, Mank#0033, ;relog
13 Aug 2016 22:55:36 : LimitlessMc, mainchat, Techni#9903, :instinct:
13 Aug 2016 22:55:37 : LimitlessMc, botchat, Botfuzzy77#2209, Relogging...
