13 Aug 2016 22:56:36 : LimitlessMc, mainchat, Anarchy#7098, fucking team instinct is best
13 Aug 2016 22:56:41 : LimitlessMc, mainchat, Anarchy#7098, fu retards who chose mystic
13 Aug 2016 22:56:43 : LimitlessMc, mainchat, Anarchy#7098, k thank
13 Aug 2016 22:56:44 : LimitlessMc, mainchat, Techni#9903, #TeamInstinct
13 Aug 2016 22:56:47 : LimitlessMc, mainchat, Anarchy#7098, ^{
13 Aug 2016 22:56:50 : League Of Legends, general, Botfuzzy77#2209, **ThaOriginal**(Security) is now Online!
13 Aug 2016 22:56:51 : LimitlessMc, mainchat, Tomas1O1#4667, who cares witch team is better
13 Aug 2016 22:57:00 : LimitlessMc, mainchat, Tomas1O1#4667, And why are u all so rude
13 Aug 2016 22:57:05 : LimitlessMc, mainchat, Tomas1O1#4667, Its just a single game XD
13 Aug 2016 22:57:09 : LimitlessMc, mainchat, Anarchy#7098, bet
13 Aug 2016 22:57:16 : LimitlessMc, mainchat, Techni#9903, :P
13 Aug 2016 22:58:24 : LimitlessMc, mainchat, ZyroPlayz#3967, mah boy techni team instinct
13 Aug 2016 22:58:30 : LimitlessMc, mainchat, ZyroPlayz#3967, although technis a girl
13 Aug 2016 22:58:31 : LimitlessMc, mainchat, ZyroPlayz#3967, xD
13 Aug 2016 22:58:50 : League Of Legends, general, Botfuzzy77#2209, **ThaOriginal**(Security) is now Offline!
13 Aug 2016 22:59:48 : LimitlessMc, botchat, ZyroPlayz#3967, ;shutdown
13 Aug 2016 22:59:53 : LimitlessMc, botchat, ZyroPlayz#3967, fekkk
13 Aug 2016 23:00:22 : LimitlessMc, mainchat, Mank#0033, team instinct bois
13 Aug 2016 23:00:32 : LimitlessMc, mainchat, ZyroPlayz#3967, i dont really liek mank but still team instinct
13 Aug 2016 23:00:34 : My Personal Server, general, Botfuzzy77#2209, **Techni**(Member) is now Offline!
13 Aug 2016 23:01:24 : Temp Server, general, Botfuzzy77#2209, **LightShadow**(Owner) is now Online!
13 Aug 2016 23:01:24 : My Personal Server, general, Botfuzzy77#2209, **LightShadow**(Owner) is now Online!
13 Aug 2016 23:01:24 : 02Gaming, general, Botfuzzy77#2209, **LightShadow**(Guide) is now Online!
13 Aug 2016 23:01:29 : LimitlessMc, mainchat, Mank#0033, le
13 Aug 2016 23:01:31 : LimitlessMc, mainchat, Mystz#8072, if u like anything other then mystic it is a sign that you have complete autism
