13 Aug 2016 23:45:09 : GreenHillGang, general, Botfuzzy77#2209, **Wertfuzzy77**(No Role) is now Online!
13 Aug 2016 23:45:09 : Cipher, general, Botfuzzy77#2209, **Wertfuzzy77**(Grand Master) is now Online!
13 Aug 2016 23:46:28 : Cipher, general, Botfuzzy77#2209, **Sir_Blazer**(Grunt) is now Online!
13 Aug 2016 23:47:55 : Cipher, general, Botfuzzy77#2209, **Calamariela**(Officer) is now Online!
13 Aug 2016 23:48:58 : Gang ;), general, xPalkia(lugia)#8149, @Survivra  @Hiraeth  should I msg jay in game and ask?
13 Aug 2016 23:49:02 : Cipher, general, Calamariela#4119, hey wert
13 Aug 2016 23:49:20 : Cipher, general, Calamariela#4119, is playlist cala still here???
13 Aug 2016 23:49:29 : Cipher, general, Calamariela#4119, @Godfuzzy77
13 Aug 2016 23:49:47 : Gang ;), general, Hiraeth#1962, Give it a shot
13 Aug 2016 23:49:50 : Gang ;), general, Hiraeth#1962, k?
13 Aug 2016 23:49:53 : Gang ;), general, xPalkia(lugia)#8149, kk
13 Aug 2016 23:50:05 : Gang ;), general, Hiraeth#1962, If he don't answer now well uh idk :l
13 Aug 2016 23:50:37 : Gang ;), general, xPalkia(lugia)#8149, probs not gonna get an answer
13 Aug 2016 23:50:58 : Cipher, general, Calamariela#4119, nub
13 Aug 2016 23:51:14 : League Of Legends, general, Botfuzzy77#2209, **ThaOriginal**(Security) is now Offline!
13 Aug 2016 23:51:14 : Cipher, general, Calamariela#4119, ;extendplaylist Cala https://www.youtube.com/watch?v=9BFE3ikUmyk
13 Aug 2016 23:51:19 : Cipher, general, Calamariela#4119, mmmm
13 Aug 2016 23:51:23 : Cipher, general, Botfuzzy77#2209, **Sir_Blazer**(Grunt) is now Online!
13 Aug 2016 23:51:29 : Gang ;), general, Hiraeth#1962, :l
13 Aug 2016 23:51:31 : Gang ;), general, Hiraeth#1962, lol
13 Aug 2016 23:51:38 : Gang ;), general, xPalkia(lugia)#8149, hes fucking ignoring me on purpose
13 Aug 2016 23:51:46 : Cipher, general, Wertfuzzy77#0274, I wouldn't use extend
13 Aug 2016 23:51:47 : Gang ;), general, Hiraeth#1962, xdd frustrating alright damn
13 Aug 2016 23:51:52 : Cipher, general, Wertfuzzy77#0274, No idea if it works lol
13 Aug 2016 23:51:53 : Cipher, general, Calamariela#4119, why?
13 Aug 2016 23:51:56 : Cipher, general, Calamariela#4119, ah
13 Aug 2016 23:51:58 : Cipher, general, Wertfuzzy77#0274, ;playlists
13 Aug 2016 23:51:58 : Cipher, general, Botfuzzy77#2209, 2Cellos[5], Katy[3], SteinsGate[13], nicky[3], Bringer[1], Trending2[17], WEEB2[3], Old[9], GAGA[3], Coldplay[5], Amagi[1], ACDC[5], WEEB[1], Blunt[3], Maroon[5], Dragons[4], Perri[2], FUN[3], Adele[5], Sheeran[6]
13 Aug 2016 23:52:05 : Cipher, general, Calamariela#4119, poop
13 Aug 2016 23:52:07 : Cipher, general, Wertfuzzy77#0274, It was there?
13 Aug 2016 23:52:17 : Cipher, general, Wertfuzzy77#0274, After dinner I can go refresh the playlists
13 Aug 2016 23:52:22 : Cipher, general, Calamariela#4119, okei
13 Aug 2016 23:52:24 : Gang ;), general, xPalkia(lugia)#8149, he could be afk working on something?
13 Aug 2016 23:52:24 : Cipher, general, Wertfuzzy77#0274, I have yours saves I think
13 Aug 2016 23:52:30 : Gang ;), general, Hiraeth#1962, Maybe
13 Aug 2016 23:52:38 : Gang ;), general, Hiraeth#1962, When he logs in he often is pretty busy
13 Aug 2016 23:52:39 : Cipher, general, Calamariela#4119, i wonder if it will just work
13 Aug 2016 23:52:57 : Cipher, general, Calamariela#4119, let me try
13 Aug 2016 23:53:02 : Cipher, general, Calamariela#4119, ;join
13 Aug 2016 23:53:06 : Gang ;), general, xPalkia(lugia)#8149, 
13 Aug 2016 23:53:09 : Cipher, general, Calamariela#4119, ;playlist Cala
13 Aug 2016 23:53:27 : Gang ;), general, xPalkia(lugia)#8149, 
13 Aug 2016 23:53:45 : Cipher, general, Calamariela#4119, @T.A.R.D.I.S you let me down
13 Aug 2016 23:54:31 : Gang ;), general, xPalkia(lugia)#8149, he is active alright
13 Aug 2016 23:54:40 : Gang ;), general, Hiraeth#1962, Yeah haha man
13 Aug 2016 23:54:43 : Gang ;), general, xPalkia(lugia)#8149, why do I even try...
13 Aug 2016 23:54:56 : My Personal Server, general, Botfuzzy77#2209, **Techni**(Member) is now Offline!
13 Aug 2016 23:55:06 : Gang ;), general, xPalkia(lugia)#8149, like
13 Aug 2016 23:55:07 : Gang ;), general, xPalkia(lugia)#8149, why do i
13 Aug 2016 23:55:17 : Gang ;), general, Hiraeth#1962, :l
13 Aug 2016 23:55:29 : Gang ;), general, xPalkia(lugia)#8149, he doesnt even care if I have a question
13 Aug 2016 23:55:48 : Gang ;), general, xPalkia(lugia)#8149, i could get an answer easier from depthy, gil or any other staff
13 Aug 2016 23:55:55 : Temp Server, general, Botfuzzy77#2209, **DJ_Phatzo**(Member) is now Online!
13 Aug 2016 23:55:55 : My Personal Server, general, Botfuzzy77#2209, **DJ_Phatzo**(Guide) is now Online!
13 Aug 2016 23:56:00 : Gang ;), general, Hiraeth#1962, Ye haha
13 Aug 2016 23:56:33 : Gang ;), general, Hiraeth#1962, Last time depthy was stressed out so just go for her instead. Jay's like talking to a wall that punches you in the face xd
13 Aug 2016 23:57:01 : LimitlessMc, mainchat, Anarchy#7098, are you fucking dying? @Knight_Steel
13 Aug 2016 23:57:01 : LimitlessMc, mainchat, Anarchy#7098, y u cough so much
13 Aug 2016 23:57:04 : Gang ;), general, xPalkia(lugia)#8149, I already did. depthy said she doesnt know and jay hasnt said anything more about it
13 Aug 2016 23:57:13 : Gang ;), general, xPalkia(lugia)#8149, so only way to know IS jay
13 Aug 2016 23:57:19 : Gang ;), general, xPalkia(lugia)#8149, And you know that goes
13 Aug 2016 23:57:25 : Gang ;), general, Hiraeth#1962, ugh
13 Aug 2016 23:57:29 : Gang ;), general, xPalkia(lugia)#8149, Its like his eyes are ears but made of sound proof metal
13 Aug 2016 23:57:33 : Gang ;), general, Hiraeth#1962, ikr
13 Aug 2016 23:57:36 : Gang ;), general, Hiraeth#1962, :l
13 Aug 2016 23:57:54 : Gang ;), general, Hiraeth#1962, :l
13 Aug 2016 23:57:55 : My Personal Server, general, Botfuzzy77#2209, **DJ_Phatzo**(Guide) is now Offline!
13 Aug 2016 23:57:55 : Temp Server, general, Botfuzzy77#2209, **DJ_Phatzo**(Member) is now Offline!
13 Aug 2016 23:59:27 : Gang ;), general, xPalkia(lugia)#8149, jay doesnt respond anywhere
13 Aug 2016 23:59:29 : Gang ;), general, xPalkia(lugia)#8149, No where
13 Aug 2016 23:59:30 : Gang ;), general, xPalkia(lugia)#8149, Never
13 Aug 2016 23:59:32 : Gang ;), general, xPalkia(lugia)#8149, Ever
13 Aug 2016 23:59:51 : Gang ;), general, Hiraeth#1962, ... :l
14 Aug 2016 00:00:01 : Gang ;), general, Hiraeth#1962, Yeah
14 Aug 2016 00:00:11 : GreenHillGang, general, Botfuzzy77#2209, **Wertfuzzy77**(No Role) is now Online!
14 Aug 2016 00:00:11 : Cipher, general, Botfuzzy77#2209, **Wertfuzzy77**(Grand Master) is now Online!
14 Aug 2016 00:00:23 : Gang ;), general, xPalkia(lugia)#8149, like I would @ him with like 40 people or less, But, With like 90, No
14 Aug 2016 00:00:39 : Gang ;), general, Hiraeth#1962, ^ agreed
