14 Aug 2016 00:42:27 : Gang ;), general, Hiraeth#1962, Yeah ik :l
14 Aug 2016 00:42:34 : Cipher, general, Wertfuzzy77#0274, ;playlists
14 Aug 2016 00:42:35 : Cipher, general, Botfuzzy77#2209, WEEB2[3], Sheeran[6], nicky[3], Katy[3], SteinsGate[13], WEEB[1], Trending2[17], Old[9], Blunt[3], Amagi[1], Perri[2], Maroon[5], Dragons[4], Coldplay[5], ACDC[5], Bringer[1], GAGA[3], Cala[18], 2Cellos[5], Adele[5], FUN[3]
14 Aug 2016 00:42:43 : Cipher, general, Wertfuzzy77#0274, @Calamariela  Got it back
14 Aug 2016 00:42:49 : Gang ;), general, Olivia#5408, well bothering him over and over definetly isnt helping
14 Aug 2016 00:43:39 : Gang ;), general, Hiraeth#1962, Yeah lay low for awhile then @xPalkia(lugia)
14 Aug 2016 00:43:39 : Gang ;), general, xPalkia(lugia)#8149, I didnt bother him over and over at all
14 Aug 2016 00:43:51 : Gang ;), general, Olivia#5408, if u msg him on discord then on mc then in private chat mc and depthy too
14 Aug 2016 00:43:51 : Gang ;), general, Olivia#5408, thats alot
14 Aug 2016 00:43:59 : Gang ;), general, Hiraeth#1962, It might not seem so to you, but to a busy person that can build up alot
14 Aug 2016 00:44:01 : Gang ;), general, xPalkia(lugia)#8149, K.. I wont say anything and then nothing will ever happen
14 Aug 2016 00:44:06 : Gang ;), general, Hiraeth#1962, :l
14 Aug 2016 00:44:19 : LimitlessMc, botchat, Wertfuzzy77#0274, Bot is Only Controllable by Staff
14 Aug 2016 00:44:37 : Gang ;), general, Olivia#5408, well
14 Aug 2016 00:44:41 : Gang ;), general, Olivia#5408, your best option is to not annoy jay so he doesnt want to even give u the rank
14 Aug 2016 00:44:41 : Gang ;), general, xPalkia(lugia)#8149, hes clearly probs not going to do anything anyways
14 Aug 2016 00:44:44 : LimitlessMc, botchat, Mystz#8072, !shutdown
14 Aug 2016 00:44:53 : Gang ;), general, xPalkia(lugia)#8149, Actually
14 Aug 2016 00:48:27 : Gang ;), general, Hiraeth#1962, @xPalkia(lugia)  You're at the bosstower/hotel lost my /back :l
14 Aug 2016 00:48:31 : Gang ;), general, Hiraeth#1962, ?
14 Aug 2016 00:48:41 : Gang ;), general, xPalkia(lugia)#8149, Why dont u have a sethome at the town?
14 Aug 2016 00:48:52 : Gang ;), general, Hiraeth#1962, I keep switching it between other biomes.
14 Aug 2016 00:48:58 : Gang ;), general, Hiraeth#1962, Since many got /sethome there I can just tp
14 Aug 2016 00:49:09 : Gang ;), general, Hiraeth#1962, well uh pokemon/legend hunting
14 Aug 2016 00:49:16 : Gang ;), general, xPalkia(lugia)#8149, set waypoints?
14 Aug 2016 00:49:20 : Gang ;), general, Hiraeth#1962, naaah
14 Aug 2016 00:49:21 : Gang ;), general, Hiraeth#1962, xd
14 Aug 2016 00:49:23 : Gang ;), general, Hiraeth#1962, anyway i tp
14 Aug 2016 00:49:49 : LimitlessMc, mainchat, Etaneson the less-than-humble#1377, testing, testing
14 Aug 2016 00:50:29 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **Stormzzzy**(Popes of The Raw Man) is now Online!
14 Aug 2016 00:52:36 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **Stormzzzy**(Popes of The Raw Man) is now Offline!
14 Aug 2016 00:53:55 : Cipher, general, Botfuzzy77#2209, **Sir_Blazer**(Grunt) is now Online!
