14 Aug 2016 00:54:24 : LimitlessMc, mainchat, Mank#0033, etan ur forums and discord name are trash
14 Aug 2016 00:54:32 : LimitlessMc, mainchat, Etaneson the less-than-humble#1377, ...
14 Aug 2016 00:54:49 : LimitlessMc, mainchat, Etaneson the less-than-humble#1377, I'm so hurt right now
14 Aug 2016 00:55:08 : LimitlessMc, mainchat, Mank#0033, le
14 Aug 2016 00:55:08 : LimitlessMc, mainchat, Etaneson the less-than-humble#1377, my hero is trashing my creative thinking
14 Aug 2016 00:55:10 : LimitlessMc, mainchat, Etaneson the less-than-humble#1377, sniffle
14 Aug 2016 00:55:14 : LimitlessMc, mainchat, TheMajesticSeal#2289, @Anarchy @ZyroPlayz im sick
14 Aug 2016 00:55:15 : LimitlessMc, mainchat, TheMajesticSeal#2289, k
14 Aug 2016 00:55:24 : LimitlessMc, mainchat, TheMajesticSeal#2289, @ZyroPlayz u fuk
14 Aug 2016 00:56:57 : LimitlessMc, mainchat, Mank#0033, i still need my electivire boi
14 Aug 2016 01:01:03 : Cipher, general, Wertfuzzy77#0274, ;viewplaylist Cala
14 Aug 2016 01:01:12 : Cipher, general, Wertfuzzy77#0274, oh, no, bad plan
14 Aug 2016 01:01:28 : Cipher, general, Wertfuzzy77#0274, ;viewplaylist WEEB
14 Aug 2016 01:02:52 : The Pleb Privateers, general, enragednuke#2565, ?tag zulrah
14 Aug 2016 01:02:55 : The Pleb Privateers, general, enragedrobo#6009, https://i.imgur.com/FrU18lK.png
14 Aug 2016 01:03:12 : LimitlessMc, mainchat, Anarchy#7098, fist me daddy @Knight_Steel
14 Aug 2016 01:03:15 : LimitlessMc, mainchat, Anarchy#7098, k thank
