16 Aug 2016 03:47:11 : Cipher, cala, Wertfuzzy77#0274, add what songs you want cutie
16 Aug 2016 03:47:24 : LimitlessMc, botchat, MountainDewRed#4034, ;image dead ash greninja
16 Aug 2016 03:47:25 : LimitlessMc, botchat, Botfuzzy77#2209, http://img05.deviantart.net/5823/i/2015/255/2/f/ash_s_greninja__sad__by_altean_prince-d99cnwb.png
16 Aug 2016 03:47:50 : LimitlessMc, botchat, Pokken#0986, Ash Greninja should kermit suicide
16 Aug 2016 03:47:59 : LimitlessMc, botchat, MountainDewRed#4034, heh
16 Aug 2016 03:48:07 : LimitlessMc, botchat, MountainDewRed#4034, punny
16 Aug 2016 03:48:07 : Cipher, cala, Wertfuzzy77#0274, ;join
16 Aug 2016 03:48:20 : Cipher, cala, Wertfuzzy77#0274, ;playlist WEEB WEEB WEEB WEEB WEEB WEEB WEEB WEEB WEEB WEEB WEEB WEEB WEEB WEEB WEEB WEEB WEEB WEEB WEEB WEEB WEEB WEEB WEEB
16 Aug 2016 03:48:30 : Cipher, cala, Wertfuzzy77#0274, xD
16 Aug 2016 03:48:30 : Temp Server, general, Botfuzzy77#2209, **DJ_Phatzo**(Member) is now Offline!
16 Aug 2016 03:48:30 : My Personal Server, general, Botfuzzy77#2209, **DJ_Phatzo**(Guide) is now Offline!
16 Aug 2016 03:48:51 : Cipher, cala, Botfuzzy77#2209, Finished Adding songs from playlist(s)
16 Aug 2016 03:48:58 : Cipher, cala, Wertfuzzy77#0274, gg
16 Aug 2016 03:49:00 : Cipher, cala, Wertfuzzy77#0274, ;songs
16 Aug 2016 03:49:00 : Cipher, cala, Botfuzzy77#2209, **The Following songs are in the Queue, plus [12] more**
16 Aug 2016 03:49:12 : Cipher, cala, Wertfuzzy77#0274, half hour of this lol
16 Aug 2016 03:49:44 : LimitlessMc, botchat, Pokken#0986, ;image ash greninja rule34
16 Aug 2016 03:49:44 : LimitlessMc, botchat, Botfuzzy77#2209, http://i.imgur.com/A3lTnHZ.png
16 Aug 2016 03:49:47 : LimitlessMc, botchat, Pokken#0986, LOL
16 Aug 2016 03:49:59 : Temp Server, general, Botfuzzy77#2209, **DJ_Phatzo**(Member) is now Online!
16 Aug 2016 03:49:59 : My Personal Server, general, Botfuzzy77#2209, **DJ_Phatzo**(Guide) is now Online!
16 Aug 2016 03:49:59 : Temp Server, general, Botfuzzy77#2209, **DJ_Phatzo**(Member) is now Offline!
16 Aug 2016 03:49:59 : My Personal Server, general, Botfuzzy77#2209, **DJ_Phatzo**(Guide) is now Offline!
16 Aug 2016 03:50:10 : Temp Server, general, Botfuzzy77#2209, **DJ_Phatzo**(Member) is now Online!
16 Aug 2016 03:50:10 : My Personal Server, general, Botfuzzy77#2209, **DJ_Phatzo**(Guide) is now Online!
16 Aug 2016 03:50:32 : LimitlessMc, botchat, Pokken#0986, ;image Mank
16 Aug 2016 03:50:33 : LimitlessMc, botchat, Botfuzzy77#2209, http://en.mank-converting.com/content/pictures/tpl/mank_logo_converting-service.png
16 Aug 2016 03:50:44 : LimitlessMc, botchat, Pokken#0986, mank I made you a new profile pic
16 Aug 2016 03:50:45 : LimitlessMc, botchat, Pokken#0986, look
16 Aug 2016 03:51:28 : LimitlessMc, botchat, Pokken#0986, ;image Jay113355
16 Aug 2016 03:51:29 : LimitlessMc, botchat, Botfuzzy77#2209, https://minecraft-statistic.net/userbars/cover/player/Jay113355.png
16 Aug 2016 03:51:35 : LimitlessMc, botchat, Pokken#0986, what wut
16 Aug 2016 03:51:40 : LimitlessMc, botchat, Pokken#0986, oh
16 Aug 2016 03:51:44 : LimitlessMc, botchat, Pokken#0986, I thought that said user bans
16 Aug 2016 03:51:48 : LimitlessMc, botchat, Pokken#0986, I was about to be like
16 Aug 2016 03:51:49 : LimitlessMc, botchat, Pokken#0986, wut
16 Aug 2016 03:52:01 : LimitlessMc, botchat, Olivia#5408, ;image ohliveya
16 Aug 2016 03:52:02 : LimitlessMc, botchat, Botfuzzy77#2209, https://storage.googleapis.com/imgfave/image_cache/1353488040699305_s100.png
16 Aug 2016 03:52:48 : LimitlessMc, mainchat, Tomas1O1#4667, ...
16 Aug 2016 03:52:49 : My Personal Server, general, Botfuzzy77#2209, **DJ_Phatzo**(Guide) is now Offline!
16 Aug 2016 03:52:49 : Temp Server, general, Botfuzzy77#2209, **DJ_Phatzo**(Member) is now Offline!
16 Aug 2016 03:52:55 : LimitlessMc, botchat, MountainDewRed#4034, you try my name all you get is a soda :(
16 Aug 2016 03:53:00 : My Personal Server, general, Botfuzzy77#2209, **Techni**(Member) is now Online!
16 Aug 2016 03:53:07 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **Valkenn**(Children of The Raw Man) is now Online!
16 Aug 2016 03:53:11 : LimitlessMc, botchat, MountainDewRed#4034, ;image gilman2
16 Aug 2016 03:53:12 : LimitlessMc, botchat, Botfuzzy77#2209, http://www.robquigley.com/Project_Pages/Academic/Gilman/Resources/gilman2.png
16 Aug 2016 03:53:19 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **Valkenn**(Children of The Raw Man) is now Online!
16 Aug 2016 03:53:34 : LimitlessMc, botchat, Pokken#0986, ;image Pokken
16 Aug 2016 03:53:35 : LimitlessMc, botchat, Botfuzzy77#2209, https://upload.wikimedia.org/wikipedia/en/thumb/9/99/PokkenTournamentBoxart.png/250px-PokkenTournamentBoxart.png
16 Aug 2016 03:53:38 : League Of Legends, general, Botfuzzy77#2209, **TheLast1Alive**(Security) is now Online!
16 Aug 2016 03:53:39 : LimitlessMc, botchat, Pokken#0986, @MountainDewRed its okay
16 Aug 2016 03:53:45 : LimitlessMc, botchat, Pokken#0986, all I get is pokken tournament
16 Aug 2016 03:53:50 : LimitlessMc, botchat, MountainDewRed#4034, tekken pokemon
16 Aug 2016 03:54:15 : LimitlessMc, botchat, Pokken#0986, ^^
16 Aug 2016 03:54:37 : LimitlessMc, botchat, Pokken#0986, ;image Awesomepants2000
16 Aug 2016 03:54:38 : LimitlessMc, botchat, Botfuzzy77#2209, http://sk2.op.gg/images/medals/default.png
16 Aug 2016 03:54:42 : Cipher, general, Botfuzzy77#2209, **Akinci**(Grunt) is now Online!
16 Aug 2016 03:54:58 : LimitlessMc, botchat, MountainDewRed#4034, ;image pokemon person
16 Aug 2016 03:54:59 : LimitlessMc, botchat, Botfuzzy77#2209, http://www.mariowiki.com/images/thumb/e/e4/BrawlPokeTrainer.png/220px-BrawlPokeTrainer.png
16 Aug 2016 03:55:11 : LimitlessMc, botchat, Pokken#0986, ;image zetish
16 Aug 2016 03:55:12 : LimitlessMc, botchat, Botfuzzy77#2209, https://imageserver.eveonline.com/Corporation/915653848_64.png
16 Aug 2016 03:55:40 : LimitlessMc, botchat, Pokken#0986, ;image DarkSpark0905
16 Aug 2016 03:55:41 : LimitlessMc, botchat, Botfuzzy77#2209, http://i.imgur.com/eVwFIAV.png
16 Aug 2016 03:55:45 : LimitlessMc, botchat, Pokken#0986, LOL
16 Aug 2016 03:55:56 : LimitlessMc, botchat, MountainDewRed#4034, ;image zoroark people
16 Aug 2016 03:55:57 : LimitlessMc, botchat, Botfuzzy77#2209, http://img13.deviantart.net/c4e5/i/2012/105/6/d/zoroark_night_slash_by_kokitsune_sama-d4w7mmp.png
16 Aug 2016 03:55:57 : Cipher, cala, Wertfuzzy77#0274, ;songs
