17 Aug 2016 00:10:58 : Cipher, cala, Calamariela#4119, awww
17 Aug 2016 00:11:02 : LimitlessMc, mainchat, Pokken#0986, lel
17 Aug 2016 00:11:03 : Cipher, cala, Wertfuzzy77#0274, @T.A.R.D.I.S
17 Aug 2016 00:11:11 : Cipher, cala, Wertfuzzy77#0274, ...
17 Aug 2016 00:11:14 : LimitlessMc, mainchat, Pokken#0986, btw
17 Aug 2016 00:11:19 : LimitlessMc, botchat, Wertfuzzy77#0274, @Botfuzzy77
17 Aug 2016 00:11:20 : LimitlessMc, mainchat, Pokken#0986, rip saladmence in UU
17 Aug 2016 00:11:29 : LimitlessMc, mainchat, Mank#0033, le
17 Aug 2016 00:11:29 : Cipher, cala, Calamariela#4119, helloooo bitch @T.A.R.D.I.S
17 Aug 2016 00:11:38 : LimitlessMc, mainchat, Pokken#0986, its a little late
17 Aug 2016 00:11:39 : LimitlessMc, mainchat, Pokken#0986, but
17 Aug 2016 00:11:45 : LimitlessMc, mainchat, Pokken#0986, rip saladmence
17 Aug 2016 00:12:31 : Gang ;), general, Botfuzzy77#2209, **Olivia**(Staff/Guild Leaders) is now Online!
17 Aug 2016 00:12:36 : Gang ;), general, Olivia#5408, Yes
17 Aug 2016 00:12:39 : Gang ;), general, Olivia#5408, Lol
17 Aug 2016 00:12:47 : Cipher, cala, Calamariela#4119, im on mc
17 Aug 2016 00:13:29 : Cipher, cala, Wertfuzzy77#0274, ;relog
