17 Aug 2016 00:17:22 : Cipher, cala, Wertfuzzy77#0274, @T.A.R.D.I.S  hey
17 Aug 2016 00:17:24 : Cipher, cala, Botfuzzy77#2209, What's the hmmm for?
17 Aug 2016 00:17:25 : Gang ;), general, xPalkia(lugia)#8149, @Olivia  done ;D
17 Aug 2016 00:17:31 : Cipher, cala, Calamariela#4119, well
17 Aug 2016 00:17:35 : Cipher, cala, Calamariela#4119, it works
17 Aug 2016 00:17:37 : Cipher, cala, Calamariela#4119, kinda
17 Aug 2016 00:17:38 : Cipher, cala, Calamariela#4119, xD
17 Aug 2016 00:17:38 : Cipher, cala, Wertfuzzy77#0274, oh, wait it prob is also sending the @T.A.R.D.I.S  xD
17 Aug 2016 00:17:41 : Cipher, cala, Botfuzzy77#2209, Mm. I like Crazy Stupid Love.
17 Aug 2016 00:17:45 : Cipher, cala, Wertfuzzy77#0274, weirdo
17 Aug 2016 00:17:55 : Cipher, general, Botfuzzy77#2209, **MGirard**(Grunt) is now Online!
17 Aug 2016 00:18:03 : Cipher, cala, Wertfuzzy77#0274, ;relog
17 Aug 2016 00:18:05 : Cipher, cala, Botfuzzy77#2209, Relogging...
