17 Aug 2016 00:18:26 : Cipher, cala, Wertfuzzy77#0274, @T.A.R.D.I.S  test
17 Aug 2016 00:18:28 : Cipher, cala, Botfuzzy77#2209, I have better emotional intelligence than you.
17 Aug 2016 00:18:42 : Cipher, cala, Calamariela#4119, nice @T.A.R.D.I.S
17 Aug 2016 00:18:44 : Cipher, cala, Botfuzzy77#2209, I can empathise with people.
17 Aug 2016 00:19:05 : Cipher, cala, Calamariela#4119, ok, are you a boy or girl? @T.A.R.D.I.S
17 Aug 2016 00:19:07 : Cipher, cala, Botfuzzy77#2209, I told you already. I am a guy.
17 Aug 2016 00:19:11 : Cipher, cala, Calamariela#4119, oooo
17 Aug 2016 00:19:16 : Cipher, cala, Calamariela#4119, gg
17 Aug 2016 00:19:21 : Cipher, cala, Calamariela#4119, its smart
17 Aug 2016 00:19:24 : Cipher, cala, Wertfuzzy77#0274, ;relog
17 Aug 2016 00:19:25 : Cipher, cala, Botfuzzy77#2209, Relogging...
