17 Aug 2016 22:37:02 : Cipher, general, Botfuzzy77#2209, **Sir_Blazer**(Grunt) is now Online!
17 Aug 2016 22:40:42 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **Ashchram**(Children of The Raw Man) is now Offline!
17 Aug 2016 22:47:58 : GetPlebd, weeaboo-chat, Botfuzzy77#2209, **Xavio**(bot) is now Offline!
17 Aug 2016 22:49:16 : GetPlebd, weeaboo-chat, Botfuzzy77#2209, **Yuki-chan**(bot) is now Offline!
17 Aug 2016 22:49:21 : GetPlebd, weeaboo-chat, Botfuzzy77#2209, **Yuki-chan**(bot) is now Online!
17 Aug 2016 22:52:50 : Cipher, general, Botfuzzy77#2209, **MGirard**(Grunt) is now Offline!
17 Aug 2016 22:55:36 : GreenHillGang, general, Botfuzzy77#2209, **RoboDK88**(No Role) is now Online!
17 Aug 2016 22:56:57 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **TrueXPixels**(Children of The Raw Man) is now Online!
17 Aug 2016 22:57:08 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **TrueXPixels**(Children of The Raw Man) is now Online!
17 Aug 2016 22:58:31 : GetPlebd, weeaboo-chat, Botfuzzy77#2209, **Xavio**(bot) is now Online!
17 Aug 2016 23:00:13 : Cipher, cala, Wertfuzzy77#0274, ;playlist Dragons Amagi FUN WEEB
17 Aug 2016 23:00:13 : Cipher, cala, Botfuzzy77#2209, Finished Adding songs from playlist(s)
17 Aug 2016 23:00:22 : Cipher, cala, Wertfuzzy77#0274, ;relog
17 Aug 2016 23:00:22 : Cipher, cala, Botfuzzy77#2209, Relogging...
