18 Aug 2016 20:06:31 : Gang ;), general, xPalkia(lugia)#8149, perms
18 Aug 2016 20:06:32 : Gang ;), general, Survivra#7191, Officer jenny and nurse joy are kissing in the corner
18 Aug 2016 20:06:33 : Gang ;), general, Survivra#7191, xd
18 Aug 2016 20:06:35 : Gang ;), general, ZyroPlayz#3967, ;relog
18 Aug 2016 20:06:38 : Cipher, general, Botfuzzy77#2209, **Akinci**(Grunt) is now Offline!
18 Aug 2016 20:06:40 : Gang ;), general, xPalkia(lugia)#8149, @ZyroPlayz  no
18 Aug 2016 20:06:40 : Gang ;), general, xPalkia(lugia)#8149, Dont
18 Aug 2016 20:06:40 : Gang ;), general, ZyroPlayz#3967, ;-;
18 Aug 2016 20:06:41 : LimitlessMc, botchat, Resolate#7058, @Botfuzzy77 I'm a rainbow type
18 Aug 2016 20:06:44 : LimitlessMc, botchat, Botfuzzy77#2209, Hm... If you are a rainbow, how many colours are in you?
18 Aug 2016 20:06:45 : Gang ;), general, Survivra#7191, ;image absol is sexy
18 Aug 2016 20:06:46 : Gang ;), general, Botfuzzy77#2209, http://t03.deviantart.net/ZzsuQRXNctLpz4k-QlAH2iUcgrs=/300x200/filters:fixed_height(100,100):origin()/pre03/bedc/th/pre/i/2012/165/b/3/sexy_pokebattle_absol_vs_froslass_by_chickenball_zkai-d53j9sw.png
18 Aug 2016 20:06:50 : LimitlessMc, botchat, Wertfuzzy77#0274, well then, somehow the bot crashed xD
18 Aug 2016 20:06:50 : Gang ;), general, Survivra#7191, ;image girl absol
18 Aug 2016 20:06:51 : Gang ;), general, Botfuzzy77#2209, http://orig15.deviantart.net/a99e/f/2013/284/e/4/absol_girl_by_mrpyros-d6q33of.png
18 Aug 2016 20:06:53 : LimitlessMc, botchat, Wertfuzzy77#0274, gj guys
18 Aug 2016 20:06:53 : Gang ;), general, ZyroPlayz#3967, xD
18 Aug 2016 20:06:54 : Gang ;), general, Survivra#7191, ;image horny absol
18 Aug 2016 20:06:55 : Gang ;), general, Botfuzzy77#2209, http://cdn.bulbagarden.net/upload/thumb/0/00/359Absol.png/250px-359Absol.png
18 Aug 2016 20:07:04 : LimitlessMc, botchat, DerpyGamer112#6000, ;choose wert mank
18 Aug 2016 20:07:04 : LimitlessMc, botchat, Botfuzzy77#2209, Alright, picked one
18 Aug 2016 20:07:04 : LimitlessMc, botchat, Botfuzzy77#2209, Chosen Option: mank
18 Aug 2016 20:07:05 : Gang ;), general, Survivra#7191, ;image absol has a dick on its face
18 Aug 2016 20:07:06 : Gang ;), general, Botfuzzy77#2209, https://mummyboon.files.wordpress.com/2014/08/86f.png?w=545&h=455
18 Aug 2016 20:07:11 : LimitlessMc, botchat, DerpyGamer112#6000, t
18 Aug 2016 20:07:11 : LimitlessMc, botchat, Thunderlord#7915, @Botfuzzy77 I challenge you to a Pokemon battle
18 Aug 2016 20:07:12 : LimitlessMc, botchat, DerpyGamer112#6000, wow
18 Aug 2016 20:07:12 : LimitlessMc, botchat, Botfuzzy77#2209, No. I don't know how to do a pokemon battle.
18 Aug 2016 20:07:17 : LimitlessMc, botchat, Resolate#7058, @Botfuzzy77 I will always miss you
18 Aug 2016 20:07:18 : LimitlessMc, botchat, Botfuzzy77#2209, You are welcome very much. I will never hurt you you are every thing to me I love you so much.
18 Aug 2016 20:07:21 : LimitlessMc, botchat, Thunderlord#7915, @Botfuzzy77 just battle
18 Aug 2016 20:07:24 : LimitlessMc, botchat, Botfuzzy77#2209, No you won't. I have faith in your comedic talents.
18 Aug 2016 20:07:31 : LimitlessMc, botchat, Resolate#7058, @Botfuzzy77 I love you too
18 Aug 2016 20:07:34 : LimitlessMc, botchat, Botfuzzy77#2209, I really really rrally really truely do love you too hun.
18 Aug 2016 20:07:35 : LimitlessMc, botchat, Thunderlord#7915, @Botfuzzy77 i hate u
18 Aug 2016 20:07:36 : LimitlessMc, botchat, Botfuzzy77#2209, I love you forever always ever!
18 Aug 2016 20:07:38 : LimitlessMc, botchat, DerpyGamer112#6000, @Botfuzzy77  gigalith i choose you
18 Aug 2016 20:07:38 : Gang ;), general, ZyroPlayz#3967, ;image greninja
18 Aug 2016 20:07:39 : LimitlessMc, botchat, Botfuzzy77#2209, I love you. And we have already married.
18 Aug 2016 20:07:39 : Gang ;), general, Botfuzzy77#2209, http://cdn.bulbagarden.net/upload/thumb/6/67/658Greninja.png/250px-658Greninja.png
18 Aug 2016 20:07:44 : LimitlessMc, botchat, DerpyGamer112#6000, REKT
18 Aug 2016 20:07:45 : Gang ;), general, ZyroPlayz#3967, ;image high ass greninja
18 Aug 2016 20:07:46 : LimitlessMc, botchat, DerpyGamer112#6000, Xd
18 Aug 2016 20:07:46 : Gang ;), general, Botfuzzy77#2209, http://i.imgur.com/FDRahbR.png
18 Aug 2016 20:07:49 : Gang ;), general, ZyroPlayz#3967, xD
18 Aug 2016 20:07:51 : LimitlessMc, botchat, Resolate#7058, Fuck
18 Aug 2016 20:07:53 : Gang ;), general, Survivra#7191, ;image shiny sexy axew
18 Aug 2016 20:07:53 : Gang ;), general, Botfuzzy77#2209, http://4.bp.blogspot.com/-aj7mS9KK6co/TcXNW6_4GDI/AAAAAAAAAcE/y2sFtU-NBZU/s1600/Shiny+Axew.png
18 Aug 2016 20:07:56 : Temp Server, general, Botfuzzy77#2209, **DJ_Phatzo**(Member) is now Offline!
18 Aug 2016 20:07:56 : My Personal Server, general, Botfuzzy77#2209, **DJ_Phatzo**(Guide) is now Offline!
18 Aug 2016 20:07:58 : LimitlessMc, botchat, Thunderlord#7915, @Botfuzzy77 let's have a battle
18 Aug 2016 20:07:59 : LimitlessMc, botchat, Resolate#7058, D:
18 Aug 2016 20:07:59 : LimitlessMc, botchat, Botfuzzy77#2209, I don't want to fight you.
18 Aug 2016 20:08:02 : LimitlessMc, botchat, DerpyGamer112#6000, hes cheating]
18 Aug 2016 20:08:03 : LimitlessMc, botchat, DerpyGamer112#6000, xD
18 Aug 2016 20:08:03 : Gang ;), general, Survivra#7191, ;image shiny haxorus
18 Aug 2016 20:08:04 : Gang ;), general, Botfuzzy77#2209, http://orig12.deviantart.net/e0e7/f/2012/206/2/5/shiny_haxorus_sugimori_art_by_dragontamer379-d58j5pw.png
18 Aug 2016 20:08:06 : LimitlessMc, botchat, Thunderlord#7915, Why
18 Aug 2016 20:08:08 : Gang ;), general, Survivra#7191, damn
18 Aug 2016 20:08:10 : LimitlessMc, botchat, Thunderlord#7915, @Botfuzzy77why
18 Aug 2016 20:08:11 : LimitlessMc, botchat, Botfuzzy77#2209, I don't want a woman to tie me down.
18 Aug 2016 20:08:11 : LimitlessMc, botchat, Resolate#7058, @Botfuzzy77 I will never fight with you
18 Aug 2016 20:08:13 : LimitlessMc, botchat, Botfuzzy77#2209, I have always lived with you brother.
18 Aug 2016 20:08:14 : Gang ;), general, ZyroPlayz#3967, ;image Shiny greninja
18 Aug 2016 20:08:14 : Gang ;), general, Botfuzzy77#2209, http://orig06.deviantart.net/d714/f/2014/098/7/c/shiny_greninja___smash_bros_by_biobark-d7dp9bi.png
18 Aug 2016 20:08:19 : LimitlessMc, botchat, Thunderlord#7915, @Botfuzzy77 lol
18 Aug 2016 20:08:20 : Gang ;), general, ZyroPlayz#3967, RACIST
18 Aug 2016 20:08:20 : LimitlessMc, botchat, Botfuzzy77#2209, How do you know he is your brother?
18 Aug 2016 20:08:23 : Gang ;), general, ZyroPlayz#3967, RACCCCISTTTT
18 Aug 2016 20:08:23 : LimitlessMc, botchat, DerpyGamer112#6000, @Botfuzzy77  kill me
18 Aug 2016 20:08:24 : LimitlessMc, botchat, Resolate#7058, Brother?!
18 Aug 2016 20:08:24 : LimitlessMc, botchat, Botfuzzy77#2209, I don't know who they are.
18 Aug 2016 20:08:29 : Gang ;), general, Survivra#7191, ;image BLACK AND WHITE
18 Aug 2016 20:08:30 : Gang ;), general, Botfuzzy77#2209, https://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/Auto_Racing_White_Black.svg/800px-Auto_Racing_White_Black.svg.png
18 Aug 2016 20:08:35 : LimitlessMc, botchat, Thunderlord#7915, @Botfuzzy77 duck you
18 Aug 2016 20:08:36 : Gang ;), general, Botfuzzy77#2209, http://img01.deviantart.net/2c59/i/2014/166/3/0/ash__iris__cilan_and_lyra_by_windfighter12-d7mhi84.png
18 Aug 2016 20:08:37 : LimitlessMc, botchat, Botfuzzy77#2209, Ok I have to go, will you be here?
18 Aug 2016 20:08:41 : Gang ;), general, Survivra#7191, dafuq
18 Aug 2016 20:08:42 : Gang ;), general, ZyroPlayz#3967, ;image ash and serena
18 Aug 2016 20:08:43 : LimitlessMc, botchat, Resolate#7058, @botfuzzy I'm I a Bot?
18 Aug 2016 20:08:43 : Gang ;), general, Botfuzzy77#2209, http://orig03.deviantart.net/2213/f/2014/039/4/9/brian_and_stewie_thinking_about_ash_and_serena_by_darthraner83-d75nwgr.png
18 Aug 2016 20:08:46 : Gang ;), general, Survivra#7191, ;image GOTTA CATCH THEM ALL
18 Aug 2016 20:08:47 : Gang ;), general, Botfuzzy77#2209, http://speekeeblogcdn.azureedge.net/wp-content/uploads/2016/07/pokemon.png
18 Aug 2016 20:08:48 : LimitlessMc, botchat, DerpyGamer112#6000, @Botfuzzy77 leave
18 Aug 2016 20:08:49 : LimitlessMc, botchat, Botfuzzy77#2209, I don't want to but I have to.
18 Aug 2016 20:08:49 : LimitlessMc, botchat, Resolate#7058, Ah fuck
18 Aug 2016 20:08:55 : Gang ;), general, Survivra#7191, ;image CUNT
