18 Aug 2016 20:17:06 : Gang ;), general, Survivra#7191, well he gonna lose
18 Aug 2016 20:17:14 : Gang ;), general, ZyroPlayz#3967, gen 5 all that shit he learnt he fucked up
18 Aug 2016 20:17:15 : Gang ;), general, Survivra#7191, what legend lmao?
18 Aug 2016 20:17:24 : LimitlessMc, botchat, Thunderlord#7915, This bot is amazinf
18 Aug 2016 20:17:24 : Gang ;), general, Survivra#7191, darkai?
18 Aug 2016 20:17:36 : Gang ;), general, ZyroPlayz#3967, gen 6 kalos the hype gen
18 Aug 2016 20:17:41 : Gang ;), general, Survivra#7191, WELL
18 Aug 2016 20:17:41 : Cipher, music, Wertfuzzy77#0274, ;join
18 Aug 2016 20:17:43 : Gang ;), general, ZyroPlayz#3967, no latios/latias i cant remember
18 Aug 2016 20:17:43 : Gang ;), general, Survivra#7191, HE COULD WIN GEN5
18 Aug 2016 20:17:44 : Gang ;), general, ZyroPlayz#3967, XD
18 Aug 2016 20:17:46 : Cipher, music, Wertfuzzy77#0274, ;playlist 2Cellos ACDC Amagi FUN Dragons Cala
18 Aug 2016 20:17:49 : Gang ;), general, Survivra#7191, BUT BC HE DIDN't EVOLVE
18 Aug 2016 20:17:50 : LimitlessMc, mainchat, Thunderlord#7915, How do I tell him?
18 Aug 2016 20:17:53 : Gang ;), general, Survivra#7191, HIS FUCKING SNIVY/OSHAWOTT
18 Aug 2016 20:17:57 : LimitlessMc, mainchat, Mank#0033, lol
18 Aug 2016 20:18:10 : LimitlessMc, mainchat, Thunderlord#7915, BTW, do you know the situation?
18 Aug 2016 20:18:13 : Gang ;), general, Survivra#7191, cuz ash again fucking retarded
18 Aug 2016 20:18:16 : Cipher, music, Wertfuzzy77#0274, ;relog
