23 Aug 2016 15:23:17 : PassionMC, general, Wertfuzzy77#0274, ;join
23 Aug 2016 15:23:28 : PassionMC, botchat, Wertfuzzy77#0274, ;playlists
23 Aug 2016 15:23:28 : PassionMC, botchat, Botfuzzy77#2209, GAGA[3], WEEB2[3], Adele[5], Coldplay[5], Trending2[17], Cala[18], Katy[3], ACDC[5], FUN[3], MJackson[5], Dragons[4], Bringer[1], Old[9], 2Cellos[5], WEEB[1], nicky[2], Sheeran[6], Perri[2], Amagi[1], Maroon[5], GnR[5], Blunt[3], SteinsGate[13]
23 Aug 2016 15:23:29 : PassionMC, general, Botfuzzy77#2209, **Lucario**(Owners) is now Offline!
23 Aug 2016 15:23:49 : PassionMC, botchat, Wertfuzzy77#0274, ;playlist GnR Coldplay Cala Amagi SteinsGate Dragons MJackson FUN WEEB
23 Aug 2016 15:24:18 : PassionMC, general, DonTheBreton#0276, @Botfuzzy77 remind these losers who's boss around here.
23 Aug 2016 15:24:19 : PassionMC, general, Botfuzzy77#2209, Where is 'here'?
23 Aug 2016 15:24:34 : PassionMC, general, Botfuzzy77#2209, **Mystz**(Owners) is now Offline!
23 Aug 2016 15:24:37 : PassionMC, general, DonTheBreton#0276, @Botfuzzy77 everywhere
23 Aug 2016 15:24:38 : PassionMC, general, Botfuzzy77#2209, Really? If you are everywhere, you should know where I am. So where am I now?
23 Aug 2016 15:24:38 : PassionMC, botchat, Botfuzzy77#2209, Finished Adding songs from playlist(s)
23 Aug 2016 15:24:42 : PassionMC, general, Wertfuzzy77#0274, lol
23 Aug 2016 15:24:44 : PassionMC, general, Wertfuzzy77#0274, gl
23 Aug 2016 15:25:02 : PassionMC, botchat, Wertfuzzy77#0274, ;shuffle
23 Aug 2016 15:25:02 : PassionMC, botchat, Botfuzzy77#2209, Shuffling songs...
23 Aug 2016 15:25:08 : PassionMC, general, DonTheBreton#0276, @Botfuzzy77 Also everywhere. You have a TARDIS.
23 Aug 2016 15:25:24 : PassionMC, general, DonTheBreton#0276, Rekt
23 Aug 2016 15:25:41 : PassionMC, general, Calamariela#4119, bring some food home k?
23 Aug 2016 15:25:46 : PassionMC, general, DonTheBreton#0276, Lol no
23 Aug 2016 15:25:48 : PassionMC, general, Wertfuzzy77#0274, `requests.exceptions.ConnectionError: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response',))`
23 Aug 2016 15:25:49 : PassionMC, general, Wertfuzzy77#0274, rip
23 Aug 2016 15:25:50 : PassionMC, general, Calamariela#4119, xD
23 Aug 2016 15:26:12 : PassionMC, general, Wertfuzzy77#0274, lol, dont starve
23 Aug 2016 15:26:28 : PassionMC, general, Calamariela#4119, prob will. there is nothing here
23 Aug 2016 15:26:40 : PassionMC, general, Wertfuzzy77#0274, rip
23 Aug 2016 15:26:50 : Cipher, general, Botfuzzy77#2209, **Topheralan**(Admin) is now Online!
23 Aug 2016 15:26:50 : PassionMC, general, Botfuzzy77#2209, **Topheralan**(No Role) is now Online!
23 Aug 2016 15:27:41 : Cipher, general, Botfuzzy77#2209, **Dudubidu**(Grunt) is now Online!
23 Aug 2016 15:27:41 : PassionMC, general, Botfuzzy77#2209, **Dudubidu**(No Role) is now Online!
23 Aug 2016 15:27:51 : PassionMC, general, Wertfuzzy77#0274, alright, i go back to MC now
23 Aug 2016 15:28:25 : PassionMC, general, DonTheBreton#0276, Getting Taco Bell
23 Aug 2016 15:28:27 : Penguins, general, Botfuzzy77#2209, **xPalkia(lugia)**(Mewtwo) is now Online!
23 Aug 2016 15:28:35 : PassionMC, general, Calamariela#4119, for realllsss??
23 Aug 2016 15:28:47 : PassionMC, general, DonTheBreton#0276, I expect special treatment
23 Aug 2016 15:28:53 : Cipher, general, Botfuzzy77#2209, **D3NSH1N**(Officer) is now Offline!
23 Aug 2016 15:29:02 : PassionMC, general, DonTheBreton#0276, You want nachos?
23 Aug 2016 15:29:07 : PassionMC, general, Calamariela#4119, si
23 Aug 2016 15:29:29 : PassionMC, general, DonTheBreton#0276, That better be code for something else
23 Aug 2016 15:29:31 : Cipher, general, Botfuzzy77#2209, **Topheralan**(Admin) is now Offline!
23 Aug 2016 15:29:31 : PassionMC, general, Botfuzzy77#2209, **Topheralan**(No Role) is now Offline!
23 Aug 2016 15:30:22 : PassionMC, general, Botfuzzy77#2209, **Dudubidu**(No Role) is now Offline!
23 Aug 2016 15:30:23 : Cipher, general, Botfuzzy77#2209, **Dudubidu**(Grunt) is now Offline!
23 Aug 2016 15:31:37 : Penguins, general, Botfuzzy77#2209, **xPalkia(lugia)**(Mewtwo) is now Offline!
23 Aug 2016 15:31:40 : Penguins, general, Botfuzzy77#2209, **xPalkia(lugia)**(Mewtwo) is now Online!
23 Aug 2016 15:33:55 : GetPlebd, weeaboo-chat, Botfuzzy77#2209, **jolo**(No Role) is now Online!
23 Aug 2016 15:33:56 : PassionMC, general, Botfuzzy77#2209, **Lucario**(Owners) is now Online!
23 Aug 2016 15:34:16 : PassionMC, general, Botfuzzy77#2209, **Pugs**(No Role) is now Offline!
23 Aug 2016 15:34:21 : Penguins, general, Botfuzzy77#2209, **xPalkia(lugia)**(Mewtwo) is now Offline!
23 Aug 2016 15:34:24 : GetPlebd, weeaboo-chat, Botfuzzy77#2209, **SuperNova**(Nazi) is now Online!
23 Aug 2016 15:34:37 : PassionMC, general, Botfuzzy77#2209, **DonTheBreton**(Special) is now Online!
23 Aug 2016 15:37:56 : PassionMC, general, Botfuzzy77#2209, **Mystz**(Owners) is now Online!
23 Aug 2016 15:38:19 : PassionMC, general, Botfuzzy77#2209, **DonTheBreton**(Special) is now Online!
23 Aug 2016 15:38:34 : Penguins, general, Botfuzzy77#2209, **xPalkia(lugia)**(Mewtwo) is now Online!
23 Aug 2016 15:38:54 : PassionMC, general, Mystz#8072, Lmfao
23 Aug 2016 15:39:12 : PassionMC, general, Botfuzzy77#2209, **Lucario**(Owners) is now Offline!
23 Aug 2016 15:40:34 : Penguins, general, Botfuzzy77#2209, **xPalkia(lugia)**(Mewtwo) is now Offline!
23 Aug 2016 15:40:37 : PassionMC, general, Botfuzzy77#2209, **Mystz**(Owners) is now Offline!
23 Aug 2016 15:42:45 : My Personal Server, general, Botfuzzy77#2209, **DJ_Phatzo**(Guide) is now Offline!
23 Aug 2016 15:42:45 : Temp Server, general, Botfuzzy77#2209, **DJ_Phatzo**(Member) is now Offline!
23 Aug 2016 15:42:48 : Temp Server, general, Botfuzzy77#2209, **DJ_Phatzo**(Member) is now Online!
23 Aug 2016 15:42:48 : My Personal Server, general, Botfuzzy77#2209, **DJ_Phatzo**(Guide) is now Online!
23 Aug 2016 15:45:22 : PassionMC, general, Botfuzzy77#2209, **Mank**(Admins) is now Online!
23 Aug 2016 15:46:48 : Cipher, general, Botfuzzy77#2209, **Dudubidu**(Grunt) is now Online!
23 Aug 2016 15:46:48 : PassionMC, general, Botfuzzy77#2209, **Dudubidu**(No Role) is now Online!
23 Aug 2016 15:47:58 : Cipher, general, Dudubidu#6605, Wait wtf
23 Aug 2016 15:48:04 : PassionMC, general, Botfuzzy77#2209, **Mank**(Admins) is now Offline!
23 Aug 2016 15:48:04 : Cipher, general, Dudubidu#6605, What happened?
23 Aug 2016 15:48:53 : PassionMC, general, Botfuzzy77#2209, **DonTheBreton**(Special) is now Online!
23 Aug 2016 15:53:34 : PassionMC, general, Botfuzzy77#2209, **surdz**(No Role) is now Offline!
23 Aug 2016 15:53:35 : PassionMC, general, Botfuzzy77#2209, **Italis**(No Role) is now Online!
23 Aug 2016 15:53:55 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **TrueXPixels**(Children of The Raw Man) is now Online!
23 Aug 2016 15:54:05 : GetPlebd, weeaboo-chat, Botfuzzy77#2209, **SuperNova**(Nazi) is now Offline!
23 Aug 2016 15:54:13 : GetPlebd, weeaboo-chat, Botfuzzy77#2209, **SuperNova**(Nazi) is now Online!
23 Aug 2016 15:55:48 : PassionMC, general, Botfuzzy77#2209, **Dudubidu**(No Role) is now Offline!
23 Aug 2016 15:55:48 : Cipher, general, Botfuzzy77#2209, **Dudubidu**(Grunt) is now Offline!
23 Aug 2016 15:55:53 : PassionMC, general, Botfuzzy77#2209, **Mank**(Admins) is now Online!
23 Aug 2016 15:58:10 : GetPlebd, weeaboo-chat, Botfuzzy77#2209, **Gilles**(Nazi) is now Offline!
23 Aug 2016 15:58:59 : GetPlebd, weeaboo-chat, Botfuzzy77#2209, **SuperNova**(Nazi) is now Offline!
23 Aug 2016 15:59:13 : Cipher, general, Botfuzzy77#2209, **Akinci**(Grunt) is now Online!
