24 Aug 2016 01:06:15 : Penguins, general, Botfuzzy77#2209, **xPalkia(lugia)**(Mewtwo) is now Offline!
24 Aug 2016 01:06:47 : Penguins, general, Botfuzzy77#2209, **xPalkia(lugia)**(Mewtwo) is now Online!
24 Aug 2016 01:07:47 : Cipher, general, Botfuzzy77#2209, **Calamariela**(Officer) is now Online!
24 Aug 2016 01:07:48 : PassionMC, general, Botfuzzy77#2209, **Calamariela**(No Role) is now Online!
24 Aug 2016 01:08:38 : Cipher, general, Botfuzzy77#2209, **Alpha is in Senior HS**(Grunt) is now Online!
24 Aug 2016 01:08:43 : LimitlessMc, mainchat, Harambe#3735, im leaving does anyone care?
24 Aug 2016 01:09:15 : GetPlebd, weeaboo-chat, Botfuzzy77#2209, **Yuki-chan**(bot) is now Offline!
24 Aug 2016 01:10:22 : Cipher, general, Calamariela#4119, @D3NSH1N  hai
24 Aug 2016 01:10:26 : PassionMC, general, Botfuzzy77#2209, **Mank**(Admins) is now Online!
24 Aug 2016 01:10:31 : Cipher, general, Calamariela#4119, and hai akin when you get online lol
24 Aug 2016 01:10:38 : Cipher, general, Botfuzzy77#2209, **Alpha is in Senior HS**(Grunt) is now Offline!
24 Aug 2016 01:10:46 : LimitlessMc, mainchat, Mank#0033, U already left Boi
24 Aug 2016 01:10:51 : Penguins, general, Botfuzzy77#2209, **xPalkia(lugia)**(Mewtwo) is now Offline!
24 Aug 2016 01:10:57 : LimitlessMc, mainchat, Harambe#3735, lol :p
24 Aug 2016 01:11:02 : LimitlessMc, mainchat, Mank#0033, Everyone cares about harambe
24 Aug 2016 01:11:10 : LimitlessMc, mainchat, Harambe#3735, i got gunned down
24 Aug 2016 01:11:41 : LimitlessMc, mainchat, Mank#0033, Guns out for harmabe
24 Aug 2016 01:11:49 : LimitlessMc, mainchat, Harambe#3735, lmao
24 Aug 2016 01:12:09 : GetPlebd, weeaboo-chat, Botfuzzy77#2209, **Yuki-chan**(bot) is now Online!
24 Aug 2016 01:12:56 : Penguins, general, Botfuzzy77#2209, **xPalkia(lugia)**(Mewtwo) is now Online!
24 Aug 2016 01:13:07 : PassionMC, general, Botfuzzy77#2209, **Mank**(Admins) is now Offline!
24 Aug 2016 01:13:22 : LimitlessMc, mainchat, xPalkia(lugia)#8149, And knives
24 Aug 2016 01:13:47 : PassionMC, general, Botfuzzy77#2209, **Topheralan**(No Role) is now Online!
24 Aug 2016 01:13:47 : Cipher, general, Botfuzzy77#2209, **Topheralan**(Admin) is now Online!
24 Aug 2016 01:13:58 : PassionMC, general, Botfuzzy77#2209, **Mank**(Admins) is now Online!
24 Aug 2016 01:14:02 : LimitlessMc, mainchat, xPalkia(lugia)#8149, Giv3 a knife to harambe
24 Aug 2016 01:14:46 : GetPlebd, weeaboo-chat, Botfuzzy77#2209, **Yuki-chan**(bot) is now Offline!
24 Aug 2016 01:14:46 : GetPlebd, weeaboo-chat, Botfuzzy77#2209, **Yuki-chan**(bot) is now Online!
24 Aug 2016 01:16:10 : PassionMC, general, Botfuzzy77#2209, **Legit_0reo**(Special) is now Online!
24 Aug 2016 01:16:12 : PassionMC, general, Botfuzzy77#2209, **Legit_0reo**(Special) is now Online!
24 Aug 2016 01:17:00 : Penguins, general, Botfuzzy77#2209, **xPalkia(lugia)**(Mewtwo) is now Offline!
24 Aug 2016 01:18:55 : Cipher, general, Botfuzzy77#2209, **D3NSH1N**(Officer) is now Offline!
24 Aug 2016 01:18:55 : PassionMC, general, Botfuzzy77#2209, **D3NSH1N**(No Role) is now Offline!
24 Aug 2016 01:19:01 : Cipher, general, Botfuzzy77#2209, **D3NSH1N**(Officer) is now Online!
24 Aug 2016 01:19:01 : PassionMC, general, Botfuzzy77#2209, **D3NSH1N**(No Role) is now Online!
24 Aug 2016 01:19:02 : PassionMC, general, Mystz#8072, >>>
24 Aug 2016 01:19:04 : PassionMC, general, Mystz#8072, GET EUIRFBaqwrnq
24 Aug 2016 01:19:06 : PassionMC, general, Mystz#8072, GET THAT FOF LE
24 Aug 2016 01:19:28 : Cipher, general, D3NSH1N#8702, Hello! @Calamariela
24 Aug 2016 01:19:37 : Cipher, general, Botfuzzy77#2209, **D3NSH1N**(Officer) is now Offline!
24 Aug 2016 01:19:38 : PassionMC, general, Botfuzzy77#2209, **D3NSH1N**(No Role) is now Offline!
24 Aug 2016 01:21:58 : PassionMC, general, Wertfuzzy77#0274, ;relog
