24 Aug 2016 18:51:27 : Penguins, general, Survivra#7191, but i need u for something here @xPalkia(lugia)
24 Aug 2016 18:51:27 : Penguins, general, Survivra#7191, the claim that  u did in the obsidian place
24 Aug 2016 18:51:28 : Cipher, general, Botfuzzy77#2209, **Wertfuzzy77**(Grand Master) is now Online!
24 Aug 2016 18:51:29 : Penguins, general, Survivra#7191, im not added
24 Aug 2016 18:51:32 : Penguins, general, Botfuzzy77#2209, **Wertfuzzy77**(Mewtwo) is now Online!
24 Aug 2016 18:51:37 : PassionMC, general, Botfuzzy77#2209, **Wertfuzzy77**(Nerd) is now Online!
24 Aug 2016 18:51:40 : Penguins, general, xPalkia(lugia)#8149, You said i was quitring and not coming back
24 Aug 2016 18:51:49 : Penguins, general, Survivra#7191, well u said like that
24 Aug 2016 18:51:59 : PassionMC, general, Dudubidu#6605, ha! nerd
24 Aug 2016 18:52:01 : Penguins, general, xPalkia(lugia)#8149, I said o quuit never said kever xoming back
24 Aug 2016 18:52:02 : Penguins, general, Survivra#7191, or else  i will send a mod/admin aka @Wertfuzzy77
24 Aug 2016 18:52:05 : Penguins, general, ItzArchie#5783, Laving thae chat
24 Aug 2016 18:52:06 : Penguins, general, ItzArchie#5783, the*
24 Aug 2016 18:52:10 : Penguins, general, Survivra#7191, omg
24 Aug 2016 18:52:10 : Penguins, general, xPalkia(lugia)#8149, Bye archiw
24 Aug 2016 18:52:11 : Penguins, general, Survivra#7191, @ItzArchie
24 Aug 2016 18:52:15 : Penguins, general, ItzArchie#5783, Cya guys
24 Aug 2016 18:52:15 : Penguins, general, xPalkia(lugia)#8149, :(
24 Aug 2016 18:52:16 : Penguins, general, Survivra#7191, bye ok :/
24 Aug 2016 18:52:19 : Penguins, general, Survivra#7191, @ItzArchie  wait
