26 Aug 2016 02:49:59 : My Personal Server, general, Botfuzzy77#2209, **DJ_Phatzo**(Guide) is now Online!
26 Aug 2016 02:49:59 : Temp Server, general, Botfuzzy77#2209, **DJ_Phatzo**(Member) is now Online!
26 Aug 2016 02:51:14 : League Of Legends, general, Botfuzzy77#2209, **TheLast1Alive**(Security) is now Online!
26 Aug 2016 02:52:45 : League Of Legends, general, Botfuzzy77#2209, **Aethex**(Aethex) is now Offline!
26 Aug 2016 02:52:54 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **Aethex**(Bots) is now Offline!
26 Aug 2016 02:53:07 : Cipher, general, Botfuzzy77#2209, **Topheralan**(Admin) is now Online!
26 Aug 2016 02:53:13 : League Of Legends, general, Botfuzzy77#2209, **TheLast1Alive**(Security) is now Offline!
26 Aug 2016 02:54:03 : 02Gaming, general, Botfuzzy77#2209, **Twist3dMindz**(Member) is now Online!
26 Aug 2016 02:54:03 : My Personal Server, general, Botfuzzy77#2209, **Twist3dMindz**(Member) is now Online!
26 Aug 2016 02:55:07 : Cipher, general, Botfuzzy77#2209, **Topheralan**(Admin) is now Offline!
26 Aug 2016 02:55:21 : LimitlessMc, mainchat, Olivia#5408, hey can someone help? i either was griefed or rolldback
26 Aug 2016 02:56:48 : League Of Legends, general, Botfuzzy77#2209, **Aethex**(Aethex) is now Online!
26 Aug 2016 02:57:38 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **Aethex**(Bots) is now Online!
26 Aug 2016 02:58:17 : LimitlessMc, mainchat, Olivia#5408, @Staff
26 Aug 2016 02:59:34 : 02Gaming, general, Botfuzzy77#2209, **bsaaddict**(Member) is now Online!
26 Aug 2016 03:18:42 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **2dles**(Children of The Raw Man) is now Online!
26 Aug 2016 03:30:32 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **Schauda**(Priests of The Raw Man) is now Online!
26 Aug 2016 03:31:53 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **Daniel**(No Role) is now Online!
26 Aug 2016 03:32:05 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **Daniel**(No Role) is now Offline!
26 Aug 2016 03:32:42 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **Schauda**(Priests of The Raw Man) is now Online!
26 Aug 2016 03:35:17 : 02Gaming, general, Botfuzzy77#2209, **Wu Tang**(Member) is now Online!
26 Aug 2016 03:39:11 : 02Gaming, general, Botfuzzy77#2209, **bsaaddict**(Member) is now Online!
26 Aug 2016 03:39:23 : League Of Legends, general, Botfuzzy77#2209, **Aethex**(Aethex) is now Offline!
26 Aug 2016 03:39:32 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **Aethex**(Bots) is now Offline!
26 Aug 2016 03:42:28 : League Of Legends, general, Botfuzzy77#2209, **Aethex**(Aethex) is now Online!
26 Aug 2016 03:43:19 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **Aethex**(Bots) is now Online!
26 Aug 2016 03:43:23 : My Personal Server, general, Botfuzzy77#2209, **Techni**(Member) is now Online!
26 Aug 2016 03:49:59 : Penguins, general, Botfuzzy77#2209, **chaliema**(Rayquaza) is now Online!
26 Aug 2016 03:50:11 : My Personal Server, general, Botfuzzy77#2209, **Techni**(Member) is now Offline!
26 Aug 2016 03:52:35 : Cipher, general, Botfuzzy77#2209, **Topheralan**(Admin) is now Online!
26 Aug 2016 03:52:59 : Penguins, general, Botfuzzy77#2209, **chaliema**(Rayquaza) is now Online!
26 Aug 2016 03:54:36 : Cipher, general, Botfuzzy77#2209, **Topheralan**(Admin) is now Offline!
26 Aug 2016 04:02:36 : Cipher, general, Botfuzzy77#2209, **Topheralan**(Admin) is now Online!
26 Aug 2016 04:02:51 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **Cat**(Children of The Raw Man) is now Online!
26 Aug 2016 04:04:37 : Cipher, general, Botfuzzy77#2209, **Topheralan**(Admin) is now Offline!
26 Aug 2016 04:05:31 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **Prince Kumbi**(Children of The Raw Man) is now Online!
26 Aug 2016 04:06:26 : Penguins, general, Botfuzzy77#2209, **chaliema**(Rayquaza) is now Offline!
26 Aug 2016 04:08:21 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **Prince Kumbi**(Children of The Raw Man) is now Online!
26 Aug 2016 04:09:48 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **Dong Ding**(Children of The Raw Man) is now Online!
