28 Aug 2016 04:07:58 : LimitlessMc, mainchat, LightShadow#5809, then a friend died
28 Aug 2016 04:08:00 : LimitlessMc, mainchat, LightShadow#5809, ;-:
28 Aug 2016 04:08:07 : Cipher, cala, Wertfuzzy77#0274, ;join
28 Aug 2016 04:08:07 : LimitlessMc, mainchat, Pokken#0986, I feel like, even though some of the players would have been mad a full reset would be healthier in the long run.
28 Aug 2016 04:08:11 : Cipher, cala, Wertfuzzy77#0274, ;playlist WEEB
28 Aug 2016 04:08:15 : Cipher, cala, Botfuzzy77#2209, Finished Adding songs from playlist(s)
28 Aug 2016 04:08:29 : Cipher, cala, Wertfuzzy77#0274, yup, didnt add 1 of em
28 Aug 2016 04:08:30 : LimitlessMc, mainchat, Jay113355#4999, Well the next reset we do will have to be full
28 Aug 2016 04:08:32 : Cipher, cala, Wertfuzzy77#0274, didnt like the link
28 Aug 2016 04:08:34 : LimitlessMc, mainchat, Jay113355#4999, so next year
28 Aug 2016 04:08:57 : Cipher, cala, Calamariela#4119, rip
28 Aug 2016 04:09:01 : LimitlessMc, mainchat, LightShadow#5809, I saved my staff app for some reason
28 Aug 2016 04:09:04 : LimitlessMc, mainchat, LightShadow#5809, idk why
28 Aug 2016 04:09:07 : LimitlessMc, mainchat, Jay113355#4999, !youtube https://www.youtube.com/watch?v=o0u4M6vppCI
28 Aug 2016 04:09:12 : LimitlessMc, mainchat, Jay113355#4999, !play
28 Aug 2016 04:09:13 : LimitlessMc, mainchat, Pokken#0986, I hope ill be around then :/ since school has started my playtime has gone from 8+ hours a day to 2-no hours.
28 Aug 2016 04:09:15 : LimitlessMc, mainchat, Jay113355#4999, !skip
28 Aug 2016 04:09:24 : LimitlessMc, mainchat, LightShadow#5809, Did Gerald die
28 Aug 2016 04:09:25 : LimitlessMc, mainchat, Jay113355#4999, Same pokken
28 Aug 2016 04:09:28 : LimitlessMc, mainchat, Jay113355#4999, im on less
28 Aug 2016 04:09:32 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **Valkenn**(Children of The Raw Man) is now Online!
28 Aug 2016 04:09:42 : LimitlessMc, mainchat, LightShadow#5809, I have homeschool
28 Aug 2016 04:09:42 : Cipher, cala, Wertfuzzy77#0274, oh, i found out what its doing xD
28 Aug 2016 04:09:45 : Cipher, cala, Wertfuzzy77#0274, i can fix it
28 Aug 2016 04:09:46 : LimitlessMc, mainchat, Jay113355#4999, !queue
28 Aug 2016 04:09:47 : LimitlessMc, mainchat, Gerald#7099, The queue is empty
28 Aug 2016 04:09:48 : LimitlessMc, mainchat, Pokken#0986, Kinda makes me sad tbh.
28 Aug 2016 04:09:52 : LimitlessMc, mainchat, LightShadow#5809, I only have school on Tues day
28 Aug 2016 04:09:54 : LimitlessMc, mainchat, LightShadow#5809, lol
28 Aug 2016 04:09:55 : Cipher, cala, Calamariela#4119, perfect
28 Aug 2016 04:09:56 : LimitlessMc, mainchat, Jay113355#4999, !youtube https://www.youtube.com/watch?v=o0u4M6vppCI
28 Aug 2016 04:10:00 : Cipher, cala, Wertfuzzy77#0274, gimme a sec
28 Aug 2016 04:10:06 : LimitlessMc, mainchat, Jay113355#4999, !queue
28 Aug 2016 04:10:07 : LimitlessMc, mainchat, Gerald#7099, The queue is empty
28 Aug 2016 04:10:13 : LimitlessMc, mainchat, Jay113355#4999, There we go
28 Aug 2016 04:10:16 : LimitlessMc, mainchat, Pokken#0986, lol
28 Aug 2016 04:10:21 : LimitlessMc, mainchat, LightShadow#5809, took a bit
28 Aug 2016 04:10:21 : LimitlessMc, mainchat, Pokken#0986, rip
28 Aug 2016 04:10:23 : LimitlessMc, mainchat, Jay113355#4999, Yeah
28 Aug 2016 04:10:24 : Cipher, cala, Calamariela#4119, i love that you are a nerd xD
28 Aug 2016 04:10:43 : LimitlessMc, mainchat, Pokken#0986, I heard this song for the first time in a car with like 12 people asking me to queue songs.
28 Aug 2016 04:10:52 : LimitlessMc, mainchat, LightShadow#5809, lol
28 Aug 2016 04:10:52 : LimitlessMc, mainchat, Pokken#0986, along with dos boot
28 Aug 2016 04:11:01 : LimitlessMc, mainchat, Pokken#0986, and many other meme songs
28 Aug 2016 04:11:40 : LimitlessMc, mainchat, LightShadow#5809, XD
28 Aug 2016 04:11:44 : LimitlessMc, mainchat, Guite Emortal#1879, Hey @Jay113355 if I build something as proof of concept would you take a look?
28 Aug 2016 04:12:04 : Cipher, cala, Wertfuzzy77#0274, should work now
28 Aug 2016 04:12:06 : Cipher, cala, Wertfuzzy77#0274, ;relog
28 Aug 2016 04:12:06 : Cipher, cala, Botfuzzy77#2209, Relogging...
