28 Aug 2016 04:12:31 : Cipher, cala, Wertfuzzy77#0274, ;viewplaylist WEEB
28 Aug 2016 04:12:32 : Cipher, general, Botfuzzy77#2209, **Topheralan**(Admin) is now Offline!
28 Aug 2016 04:12:43 : LimitlessMc, mainchat, Pokken#0986, god
28 Aug 2016 04:12:55 : LimitlessMc, mainchat, Pokken#0986, I heard this then saw the just do it remix
28 Aug 2016 04:13:01 : LimitlessMc, mainchat, Pokken#0986, I saw this really late
28 Aug 2016 04:13:10 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **Valkenn**(Children of The Raw Man) is now Online!
28 Aug 2016 04:13:13 : Cipher, cala, Wertfuzzy77#0274, ;playlists
28 Aug 2016 04:13:13 : Cipher, cala, Botfuzzy77#2209, nicky[2], 2Cellos[5], GAGA[3], Dragons[4], Coldplay[5], Sheeran[6], WEEB[2], Old[9], Amagi[1], ACDC[5], Akinci[11], Katy[3], Perri[2], WEEB2[3], FUN[3], MJackson[5], Cala[18], Bringer[1], Adele[5], Maroon[5], GnR[5], SteinsGate[13], Blunt[3]
28 Aug 2016 04:13:14 : Cipher, cala, Calamariela#4119, sooooo
28 Aug 2016 04:13:31 : Cipher, cala, Wertfuzzy77#0274, ... it cant find the `WEEB` playlist now
28 Aug 2016 04:13:39 : Cipher, cala, Calamariela#4119, this bot
28 Aug 2016 04:13:43 : LimitlessMc, mainchat, LightShadow#5809, What version is the server again?
28 Aug 2016 04:14:01 : LimitlessMc, mainchat, Guite Emortal#1879, 5.0.0-B5
28 Aug 2016 04:14:07 : LimitlessMc, mainchat, LightShadow#5809, No MC version
28 Aug 2016 04:14:10 : LimitlessMc, mainchat, Guite Emortal#1879, 1.10.2
28 Aug 2016 04:14:22 : LimitlessMc, mainchat, Jay113355#4999, !youtube https://www.youtube.com/watch?v=SW-BU6keEUw
28 Aug 2016 04:14:30 : Cipher, cala, Wertfuzzy77#0274, ;relog
