01 Sep 2016 01:24:28 : Cipher, cala, Wertfuzzy77#0274, ;join
01 Sep 2016 01:24:34 : Cipher, cala, Wertfuzzy77#0274, ;playlist Amagi SteinsGate Dragons Maroon Coldplay GnR  Sheeran MJackson Cala ACDC FUN Adele
01 Sep 2016 01:24:50 : Cipher, general, Botfuzzy77#2209, **Calamariela**(Officer) is now Offline!
01 Sep 2016 01:26:44 : Cipher, cala, Botfuzzy77#2209, Finished Adding songs from playlist(s)
01 Sep 2016 01:27:28 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **Cat**(Children of The Raw Man) is now Offline!
01 Sep 2016 01:27:45 : Temp Server, general, Botfuzzy77#2209, **DJ_Phatzo**(Member) is now Online!
01 Sep 2016 01:27:46 : My Personal Server, general, Botfuzzy77#2209, **DJ_Phatzo**(Guide) is now Online!
01 Sep 2016 01:29:27 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **Stormzzzy**(Popes of The Raw Man) is now Online!
01 Sep 2016 01:29:30 : Cipher, general, Botfuzzy77#2209, **D3NSH1N**(Officer) is now Online!
01 Sep 2016 01:31:23 : Cipher, cala, Wertfuzzy77#0274, come back xD @Calamariela I saw you join
01 Sep 2016 01:34:20 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **Valkenn**(Children of The Raw Man) is now Online!
01 Sep 2016 01:35:53 : Cipher, general, Botfuzzy77#2209, **RoboDK88**(Grunt) is now Online!
01 Sep 2016 01:35:53 : GreenHillGang, general, Botfuzzy77#2209, **RoboDK88**(No Role) is now Online!
01 Sep 2016 01:45:56 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **Daniel**(No Role) is now Offline!
01 Sep 2016 01:46:29 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **Daniel**(No Role) is now Online!
01 Sep 2016 01:50:51 : Cipher, general, Botfuzzy77#2209, **D3NSH1N**(Officer) is now Offline!
01 Sep 2016 01:51:24 : Cipher, general, Botfuzzy77#2209, **Topheralan**(Admin) is now Online!
01 Sep 2016 01:53:24 : Cipher, general, Botfuzzy77#2209, **Topheralan**(Admin) is now Offline!
01 Sep 2016 02:00:42 : GreenHillGang, general, Botfuzzy77#2209, **RoboDK88**(No Role) is now Online!
01 Sep 2016 02:00:42 : Cipher, general, Botfuzzy77#2209, **RoboDK88**(Grunt) is now Online!
01 Sep 2016 02:04:53 : LimitlessMc, mainchat, MoshonT#8152, Again its all well and goo it's the suffering that we all go through I'm no special case
01 Sep 2016 02:05:00 : LimitlessMc, mainchat, MoshonT#8152, I can be reasonable in that
01 Sep 2016 02:05:25 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **TrueXPixels**(Children of The Raw Man) is now Online!
01 Sep 2016 02:06:04 : League Of Legends, general, Botfuzzy77#2209, **fucking cancer**(No Role) is now Online!
