01 Sep 2016 04:39:37 : GreenHillGang, general, Botfuzzy77#2209, **RoboDK88**(No Role) is now Online!
01 Sep 2016 04:39:37 : Cipher, general, Botfuzzy77#2209, **RoboDK88**(Grunt) is now Online!
01 Sep 2016 04:40:36 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **TrueXPixels**(Children of The Raw Man) is now Online!
01 Sep 2016 04:42:57 : Cipher, general, Botfuzzy77#2209, **Topheralan**(Admin) is now Offline!
01 Sep 2016 04:44:59 : Cipher, general, Botfuzzy77#2209, **Topheralan**(Admin) is now Online!
01 Sep 2016 04:46:59 : Cipher, general, Botfuzzy77#2209, **Topheralan**(Admin) is now Offline!
01 Sep 2016 04:53:30 : Cipher, general, Botfuzzy77#2209, **Jabulla**(Grunt) is now Online!
01 Sep 2016 04:54:13 : Penguins, general, Botfuzzy77#2209, **Olivia**(Xerneas) is now Offline!
01 Sep 2016 04:54:30 : Penguins, general, Botfuzzy77#2209, **chaliema**(Rayquaza) is now Online!
01 Sep 2016 04:58:34 : Penguins, general, Botfuzzy77#2209, **chaliema**(Rayquaza) is now Offline!
01 Sep 2016 05:04:53 : Penguins, general, Botfuzzy77#2209, **xPalkia(lugia)**(Mewtwo) is now Online!
01 Sep 2016 05:05:23 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **Prince Kumbi**(Children of The Raw Man) is now Online!
01 Sep 2016 05:15:03 : Penguins, general, Botfuzzy77#2209, **Impasta Snake**(Suicune) is now Online!
01 Sep 2016 05:19:20 : LimitlessMc, mainchat, Harambe#3735, @Staff Someone put chests in arena
01 Sep 2016 05:20:05 : Cipher, general, Botfuzzy77#2209, **Jabulla**(Grunt) is now Online!
