01 Sep 2016 05:29:18 : LimitlessMc, mainchat, Aluxir#5577, i cri ery tim its down town
01 Sep 2016 05:29:47 : LimitlessMc, mainchat, Aluxir#5577, yay its up town again
01 Sep 2016 05:30:01 : LimitlessMc, mainchat, Aluxir#5577, i love how it shows as old and vanilla for the first refresh then fixes
01 Sep 2016 05:35:37 : Penguins, general, Botfuzzy77#2209, **Impasta Snake**(Suicune) is now Offline!
01 Sep 2016 05:44:23 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **Schauda**(Priests of The Raw Man) is now Offline!
01 Sep 2016 05:45:13 : Cipher, general, Botfuzzy77#2209, **Skyd**(Champ) is now Online!
01 Sep 2016 05:45:48 : LimitlessMc, mainchat, Aluxir#5577, i hate that some twerp stole from my newbie friends
01 Sep 2016 05:46:08 : LimitlessMc, mainchat, Aluxir#5577, took their anvil and apricorns
01 Sep 2016 05:48:00 : Penguins, general, Botfuzzy77#2209, **xPalkia(lugia)**(Mewtwo) is now Online!
01 Sep 2016 05:49:11 : LimitlessMc, mainchat, ParchedEntree#2086, If you need appricorn, I an give you a bunch for free?
01 Sep 2016 05:49:26 : LimitlessMc, mainchat, Aluxir#5577, i don't
01 Sep 2016 05:49:36 : LimitlessMc, mainchat, Aluxir#5577, my friends do and i'll give them it next they get on
01 Sep 2016 05:49:44 : LimitlessMc, mainchat, Aluxir#5577, along with a new anvil
01 Sep 2016 05:49:53 : LimitlessMc, mainchat, Aluxir#5577, not gonna give one now since their house still isn't claimed
01 Sep 2016 05:50:40 : Cipher, general, Botfuzzy77#2209, **Skyd**(Champ) is now Offline!
01 Sep 2016 05:50:43 : LimitlessMc, mainchat, ParchedEntree#2086, Oh okay, well remind them to claim it. It's kinda their fault tbh.
01 Sep 2016 05:50:51 : LimitlessMc, mainchat, Aluxir#5577, they are newbies
01 Sep 2016 05:51:00 : LimitlessMc, mainchat, Aluxir#5577, not their fault for being new
01 Sep 2016 05:51:12 : LimitlessMc, mainchat, Aluxir#5577, i left a sign telling them how
01 Sep 2016 05:51:25 : LimitlessMc, mainchat, Aluxir#5577, so when they get on they'll do it
01 Sep 2016 05:54:52 : Penguins, general, Botfuzzy77#2209, **xDialga(ho-oh)**(Suicune) is now Online!
01 Sep 2016 05:56:22 : My Personal Server, general, Botfuzzy77#2209, **Soner**(No Role) is now Online!
01 Sep 2016 05:56:52 : Penguins, general, Botfuzzy77#2209, **xDialga(ho-oh)**(Suicune) is now Offline!
