07 Sep 2016 23:23:03 : Temp Server, general, Botfuzzy77#2209, **DJ_Phatzo**(Member) is now Offline!
07 Sep 2016 23:23:03 : My Personal Server, general, Botfuzzy77#2209, **DJ_Phatzo**(Guide) is now Offline!
07 Sep 2016 23:23:20 : Penguins, general, Botfuzzy77#2209, **Olivia**(Xerneas) is now Offline!
07 Sep 2016 23:28:57 : My Personal Server, general, Botfuzzy77#2209, **Twist3dMindz**(Member) is now Offline!
07 Sep 2016 23:29:45 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **TrueXPixels**(Children of The Raw Man) is now Online!
07 Sep 2016 23:30:26 : My Personal Server, general, Botfuzzy77#2209, **LightShadow**(Owner) is now Offline!
07 Sep 2016 23:30:27 : Temp Server, general, Botfuzzy77#2209, **LightShadow**(Owner) is now Offline!
07 Sep 2016 23:31:02 : LimitlessMc, mainchat, Aluxir#5577, Why did i spawn dead with NO items!?!?
07 Sep 2016 23:31:12 : LimitlessMc, mainchat, Aluxir#5577, no items fell on the ground
07 Sep 2016 23:31:17 : LimitlessMc, mainchat, Aluxir#5577, or anything
07 Sep 2016 23:31:32 : LimitlessMc, mainchat, Aluxir#5577, i lost... everything
07 Sep 2016 23:31:35 : LimitlessMc, mainchat, Aluxir#5577, in my inventory
07 Sep 2016 23:32:13 : LimitlessMc, mainchat, Aluxir#5577, do mods have the inventory viewer plugin (the one that can check via timestamps)?
07 Sep 2016 23:33:27 : LimitlessMc, mainchat, Aluxir#5577, regardless i'm annoyed at this lol
07 Sep 2016 23:33:38 : LimitlessMc, mainchat, Aluxir#5577, and confused on how it happened
07 Sep 2016 23:33:53 : Penguins, general, Botfuzzy77#2209, **Impasta Snake**(Suicune) is now Online!
07 Sep 2016 23:34:01 : LimitlessMc, mainchat, Aluxir#5577, aw i lost like 2 rare candies and some other stuff
07 Sep 2016 23:34:02 : LimitlessMc, mainchat, Aluxir#5577, ugh
07 Sep 2016 23:34:22 : LimitlessMc, mainchat, Aluxir#5577, and my running boots lol but i can get those back pretty easy
07 Sep 2016 23:34:56 : Penguins, general, Botfuzzy77#2209, **Olivia**(Xerneas) is now Online!
07 Sep 2016 23:37:46 : Cipher, general, Botfuzzy77#2209, **Topheralan**(Admin) is now Offline!
07 Sep 2016 23:39:42 : Penguins, general, Botfuzzy77#2209, **Olivia**(Xerneas) is now Offline!
07 Sep 2016 23:40:03 : Cipher, general, Botfuzzy77#2209, **D3NSH1N**(Officer) is now Online!
07 Sep 2016 23:40:32 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **Cat**(Children of The Raw Man) is now Online!
07 Sep 2016 23:40:33 : LimitlessMc, mainchat, Lucario#0401, You talk alot
07 Sep 2016 23:40:46 : LimitlessMc, mainchat, Aluxir#5577, thank you for noticing
07 Sep 2016 23:41:13 : LimitlessMc, mainchat, Aluxir#5577, i did it more often when i'm stressed or ticked, i just got back from school lol
07 Sep 2016 23:43:26 : Cipher, music, Wertfuzzy77#0274, ;join
07 Sep 2016 23:43:33 : Cipher, music, Wertfuzzy77#0274, ;playlist FUN GnR SteinsGate Coldplay
07 Sep 2016 23:44:06 : Cipher, music, Botfuzzy77#2209, Finished Adding songs from playlist(s)
07 Sep 2016 23:44:07 : Cipher, general, Botfuzzy77#2209, **D3NSH1N**(Officer) is now Offline!
07 Sep 2016 23:45:35 : Cipher, music, Wertfuzzy77#0274, ;shuffle
07 Sep 2016 23:45:35 : Cipher, music, Botfuzzy77#2209, Shuffling songs...
07 Sep 2016 23:47:43 : Temp Server, general, Botfuzzy77#2209, **LightShadow**(Owner) is now Online!
07 Sep 2016 23:47:43 : My Personal Server, general, Botfuzzy77#2209, **LightShadow**(Owner) is now Online!
07 Sep 2016 23:59:59 : LimitlessMc, mainchat, Aluxir#5577, honestly not sure if randomly dying and losing all my items is worse than blackholes
08 Sep 2016 00:00:09 : LimitlessMc, mainchat, Aluxir#5577, i think blackholes are still the worst server bug tbh
08 Sep 2016 00:09:57 : My Personal Server, general, Botfuzzy77#2209, **Soner**(No Role) is now Offline!
08 Sep 2016 00:10:08 : My Personal Server, general, Botfuzzy77#2209, **Soner**(No Role) is now Online!
08 Sep 2016 00:16:31 : Cipher, general, Botfuzzy77#2209, **Skyd**(Champ) is now Online!
08 Sep 2016 00:18:13 : Cipher, general, Botfuzzy77#2209, **D3NSH1N**(Officer) is now Online!
08 Sep 2016 00:21:14 : Cipher, general, Botfuzzy77#2209, **Skyd**(Champ) is now Offline!
08 Sep 2016 00:22:50 : Temp Server, general, Botfuzzy77#2209, **DJ_Phatzo**(Member) is now Online!
08 Sep 2016 00:22:50 : My Personal Server, general, Botfuzzy77#2209, **DJ_Phatzo**(Guide) is now Online!
08 Sep 2016 00:23:02 : GreenHillGang, general, Botfuzzy77#2209, **Wertfuzzy77**(No Role) is now Online!
08 Sep 2016 00:23:02 : Cipher, general, Botfuzzy77#2209, **Wertfuzzy77**(Grand Master) is now Online!
08 Sep 2016 00:23:56 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **Valkenn**(Children of The Raw Man) is now Online!
08 Sep 2016 00:24:45 : Penguins, general, Botfuzzy77#2209, **Olivia**(Xerneas) is now Online!
08 Sep 2016 00:25:56 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **Valkenn**(Children of The Raw Man) is now Offline!
08 Sep 2016 00:30:00 : My Personal Server, general, Botfuzzy77#2209, **DJ_Phatzo**(Guide) is now Offline!
08 Sep 2016 00:30:00 : Temp Server, general, Botfuzzy77#2209, **DJ_Phatzo**(Member) is now Offline!
08 Sep 2016 00:31:49 : Temp Server, general, Botfuzzy77#2209, **LightShadow**(Owner) is now Offline!
08 Sep 2016 00:31:49 : My Personal Server, general, Botfuzzy77#2209, **LightShadow**(Owner) is now Offline!
08 Sep 2016 00:31:58 : Temp Server, general, Botfuzzy77#2209, **LightShadow**(Owner) is now Online!
08 Sep 2016 00:31:58 : My Personal Server, general, Botfuzzy77#2209, **LightShadow**(Owner) is now Online!
08 Sep 2016 00:33:50 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **Valkenn**(Children of The Raw Man) is now Online!
08 Sep 2016 00:34:26 : Penguins, general, Botfuzzy77#2209, **xPalkia(lugia)**(Mewtwo) is now Online!
08 Sep 2016 00:35:52 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **Valkenn**(Children of The Raw Man) is now Offline!
08 Sep 2016 00:36:18 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **Stormzzzy**(Popes of The Raw Man) is now Online!
08 Sep 2016 00:36:29 : Cipher, general, Botfuzzy77#2209, **Topheralan**(Admin) is now Online!
08 Sep 2016 00:39:49 : GreenHillGang, general, Botfuzzy77#2209, **Wertfuzzy77**(No Role) is now Online!
08 Sep 2016 00:39:49 : Cipher, general, Botfuzzy77#2209, **Wertfuzzy77**(Grand Master) is now Online!
08 Sep 2016 00:40:52 : Cipher, music, Wertfuzzy77#0274, ;skip
08 Sep 2016 00:40:52 : Cipher, music, Botfuzzy77#2209, Skipping guns and roses - knocking on heavens door lyrics
08 Sep 2016 00:46:14 : LimitlessMc, mainchat, Topheralan#1202, le @Lucario
08 Sep 2016 00:46:40 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **Valkenn**(Children of The Raw Man) is now Online!
08 Sep 2016 00:47:18 : Temp Server, general, Botfuzzy77#2209, **DJ_Phatzo**(Member) is now Online!
08 Sep 2016 00:47:18 : Temp Server, general, Botfuzzy77#2209, **DJ_Phatzo**(Member) is now Offline!
08 Sep 2016 00:47:18 : My Personal Server, general, Botfuzzy77#2209, **DJ_Phatzo**(Guide) is now Online!
08 Sep 2016 00:47:18 : My Personal Server, general, Botfuzzy77#2209, **DJ_Phatzo**(Guide) is now Offline!
08 Sep 2016 00:50:47 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **Daniel**(Children of The Raw Man) is now Online!
08 Sep 2016 00:55:09 : Penguins, general, Botfuzzy77#2209, **Olivia**(Xerneas) is now Offline!
08 Sep 2016 00:55:22 : Penguins, general, Botfuzzy77#2209, **Olivia**(Xerneas) is now Online!
08 Sep 2016 00:55:34 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **Daniel**(Children of The Raw Man) is now Offline!
08 Sep 2016 00:57:23 : Penguins, general, Botfuzzy77#2209, **Olivia**(Xerneas) is now Offline!
08 Sep 2016 00:58:51 : Cipher, general, Botfuzzy77#2209, **D3NSH1N**(Officer) is now Online!
08 Sep 2016 01:00:01 : Temp Server, general, Botfuzzy77#2209, **DJ_Phatzo**(Member) is now Online!
08 Sep 2016 01:00:01 : My Personal Server, general, Botfuzzy77#2209, **DJ_Phatzo**(Guide) is now Online!
08 Sep 2016 01:00:30 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **Stormzzzy**(Popes of The Raw Man) is now Online!
08 Sep 2016 01:01:47 : My Personal Server, general, Botfuzzy77#2209, **LightShadow**(Owner) is now Offline!
08 Sep 2016 01:01:47 : Temp Server, general, Botfuzzy77#2209, **LightShadow**(Owner) is now Offline!
08 Sep 2016 01:02:41 : Cipher, general, Botfuzzy77#2209, **D3NSH1N**(Officer) is now Offline!
08 Sep 2016 01:03:13 : Temp Server, general, Botfuzzy77#2209, **DJ_Phatzo**(Member) is now Offline!
08 Sep 2016 01:03:13 : My Personal Server, general, Botfuzzy77#2209, **DJ_Phatzo**(Guide) is now Offline!
08 Sep 2016 01:04:38 : Cipher, general, Botfuzzy77#2209, **Topheralan**(Admin) is now Offline!
08 Sep 2016 01:04:58 : Cipher, general, Botfuzzy77#2209, **Topheralan**(Admin) is now Online!
08 Sep 2016 01:05:58 : Penguins, general, Botfuzzy77#2209, **Olivia**(Xerneas) is now Online!
