18 Sep 2016 18:41:20 : The Wild Weeaboos, general, enragednuke#2565, ;join
18 Sep 2016 18:41:25 : The Wild Weeaboos, general, Botfuzzy77#2209, Something went Wrong: Forbidden
18 Sep 2016 18:41:25 : The Wild Weeaboos, general, enragednuke#2565, ;join
18 Sep 2016 18:41:27 : The Wild Weeaboos, general, enragednuke#2565, ;youtube https://www.youtube.com/watch?v=Vdsy1lA_x8U
18 Sep 2016 18:41:27 : The Wild Weeaboos, general, Botfuzzy77#2209, I am not connected to a Voice Chat!
18 Sep 2016 18:41:28 : The Wild Weeaboos, general, enragednuke#2565, ;youtube https://www.youtube.com/watch?v=Vdsy1lA_x8U
18 Sep 2016 18:41:28 : The Wild Weeaboos, general, Botfuzzy77#2209, I am not connected to a Voice Chat!
18 Sep 2016 18:41:29 : The Wild Weeaboos, general, enragednuke#2565, ;youtube https://www.youtube.com/watch?v=Vdsy1lA_x8U
18 Sep 2016 18:41:29 : The Wild Weeaboos, general, Botfuzzy77#2209, I am not connected to a Voice Chat!
18 Sep 2016 18:41:29 : The Wild Weeaboos, general, Tally#2764, @Nubs (CS311)
18 Sep 2016 18:41:33 : The Wild Weeaboos, general, Wertfuzzy77#0274, ;mute Tally
18 Sep 2016 18:41:33 : The Wild Weeaboos, general, Botfuzzy77#2209, Something went Wrong: Forbidden
18 Sep 2016 18:41:49 : The Wild Weeaboos, general, Tally#2764, ;sjip
18 Sep 2016 18:41:52 : The Wild Weeaboos, general, Tally#2764, ;skip
18 Sep 2016 18:42:05 : The Wild Weeaboos, general, Tally#2764, ;mute Wertfuzzy77
18 Sep 2016 18:42:06 : The Wild Weeaboos, general, Botfuzzy77#2209, Something went Wrong: Forbidden
18 Sep 2016 18:42:23 : The Wild Weeaboos, general, Wertfuzzy77#0274, ;leave
18 Sep 2016 18:42:25 : The Wild Weeaboos, general, Wertfuzzy77#0274, ;join
18 Sep 2016 18:42:27 : The Wild Weeaboos, general, enragednuke#2565, ;debug 1
18 Sep 2016 18:42:27 : The Wild Weeaboos, general, Botfuzzy77#2209, ```py
1
```
18 Sep 2016 18:42:29 : The Wild Weeaboos, general, enragednuke#2565, yes
18 Sep 2016 18:42:30 : The Wild Weeaboos, general, Tally#2764, ;broke
18 Sep 2016 18:42:32 : The Wild Weeaboos, general, enragednuke#2565, YES
18 Sep 2016 18:42:32 : The Wild Weeaboos, general, Tally#2764, ;die
18 Sep 2016 18:42:35 : The Wild Weeaboos, general, Wertfuzzy77#0274, ;playlist Kimi
18 Sep 2016 18:42:35 : The Wild Weeaboos, general, Botfuzzy77#2209, Finished Adding songs from playlist(s)
18 Sep 2016 18:42:35 : The Wild Weeaboos, general, Tally#2764, ;no
18 Sep 2016 18:42:42 : The Wild Weeaboos, general, Wertfuzzy77#0274, ;relog
