18 Sep 2016 20:09:43 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **Prince Kumbi**(Priests of The Raw Man) is now Online!
18 Sep 2016 20:11:14 : Cipher, general, Botfuzzy77#2209, **D3NSH1N**(Officer) is now Offline!
18 Sep 2016 20:11:14 : Team Harmony, general, Botfuzzy77#2209, **D3NSH1N**(Team Harmony) is now Offline!
18 Sep 2016 20:11:35 : Cipher, general, Botfuzzy77#2209, **D3NSH1N**(Officer) is now Online!
18 Sep 2016 20:11:35 : Team Harmony, general, Botfuzzy77#2209, **D3NSH1N**(Team Harmony) is now Online!
18 Sep 2016 20:12:07 : GetPlebd, weeaboo-chat, Botfuzzy77#2209, **Bloodyskills**(No Role) is now Offline!
18 Sep 2016 20:12:32 : Cipher, general, Botfuzzy77#2209, **Topheralan**(Admin) is now Online!
18 Sep 2016 20:12:32 : Team Harmony, general, Botfuzzy77#2209, **Topheralan**(Team Harmony) is now Online!
18 Sep 2016 20:13:35 : Team Harmony, general, Botfuzzy77#2209, **D3NSH1N**(Team Harmony) is now Offline!
18 Sep 2016 20:13:35 : Cipher, general, Botfuzzy77#2209, **D3NSH1N**(Officer) is now Offline!
18 Sep 2016 20:15:10 : Team Harmony, general, Botfuzzy77#2209, **D3NSH1N**(Team Harmony) is now Online!
18 Sep 2016 20:15:10 : Cipher, general, Botfuzzy77#2209, **D3NSH1N**(Officer) is now Online!
18 Sep 2016 20:16:16 : GetPlebd, weeaboo-chat, Botfuzzy77#2209, **Fearleas**(No Role) is now Offline!
18 Sep 2016 20:16:23 : Cipher, general, Botfuzzy77#2209, **Topheralan**(Admin) is now Offline!
18 Sep 2016 20:16:23 : Team Harmony, general, Botfuzzy77#2209, **Topheralan**(Team Harmony) is now Offline!
18 Sep 2016 20:17:10 : Cipher, general, Botfuzzy77#2209, **D3NSH1N**(Officer) is now Offline!
18 Sep 2016 20:17:10 : Team Harmony, general, Botfuzzy77#2209, **D3NSH1N**(Team Harmony) is now Offline!
18 Sep 2016 20:17:43 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **Schauda**(Priests of The Raw Man) is now Online!
18 Sep 2016 20:17:58 : Cipher, general, Botfuzzy77#2209, **D3NSH1N**(Officer) is now Online!
18 Sep 2016 20:17:58 : Team Harmony, general, Botfuzzy77#2209, **D3NSH1N**(Team Harmony) is now Online!
18 Sep 2016 20:19:38 : The Wild Weeaboos, general, Wertfuzzy77#0274, ;join
18 Sep 2016 20:19:50 : The Wild Weeaboos, general, Wertfuzzy77#0274, ;playlist Kimi
18 Sep 2016 20:19:56 : The Wild Weeaboos, general, Botfuzzy77#2209, Finished Adding songs from playlist(s)
18 Sep 2016 20:20:01 : The Wild Weeaboos, general, Wertfuzzy77#0274, ;playlist Kimi
18 Sep 2016 20:20:05 : The Wild Weeaboos, general, Botfuzzy77#2209, Finished Adding songs from playlist(s)
18 Sep 2016 20:23:24 : Team Harmony, general, Botfuzzy77#2209, **D3NSH1N**(Team Harmony) is now Offline!
18 Sep 2016 20:23:24 : Cipher, general, Botfuzzy77#2209, **D3NSH1N**(Officer) is now Offline!
18 Sep 2016 20:25:39 : Cipher, general, Botfuzzy77#2209, **D3NSH1N**(Officer) is now Online!
18 Sep 2016 20:25:39 : Team Harmony, general, Botfuzzy77#2209, **D3NSH1N**(Team Harmony) is now Online!
18 Sep 2016 20:27:12 : GetPlebd, weeaboo-chat, Botfuzzy77#2209, **Harrys**(SchutzStaffel) is now Offline!
18 Sep 2016 20:27:39 : Team Harmony, general, Botfuzzy77#2209, **D3NSH1N**(Team Harmony) is now Offline!
18 Sep 2016 20:27:39 : Cipher, general, Botfuzzy77#2209, **D3NSH1N**(Officer) is now Offline!
18 Sep 2016 20:27:56 : GetPlebd, weeaboo-chat, Botfuzzy77#2209, **jolo**(No Role) is now Online!
18 Sep 2016 20:33:46 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **Schauda**(Priests of The Raw Man) is now Offline!
18 Sep 2016 20:35:28 : Temp Server, general, Botfuzzy77#2209, **LightShadow**(Owner) is now Online!
18 Sep 2016 20:35:28 : My Personal Server, general, Botfuzzy77#2209, **LightShadow**(Owner) is now Online!
18 Sep 2016 20:38:05 : GetPlebd, weeaboo-chat, Botfuzzy77#2209, **jolo**(No Role) is now Offline!
18 Sep 2016 20:41:35 : Penguins, general, Botfuzzy77#2209, **Resolate**(Suicune) is now Online!
18 Sep 2016 20:42:56 : Cipher, general, Botfuzzy77#2209, **Jabulla**(Grunt) is now Online!
18 Sep 2016 20:43:30 : Cipher, general, Botfuzzy77#2209, **Jabulla**(Grunt) is now Offline!
18 Sep 2016 20:46:04 : LimitlessMc, botchat, Harambe#3735, ;luck
18 Sep 2016 20:46:04 : LimitlessMc, botchat, Botfuzzy77#2209, Harambe's luck is 96.13 out of 100, which is **AMAZING**
18 Sep 2016 20:48:36 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **Stormzzzy**(Popes of The Raw Man) is now Online!
18 Sep 2016 20:48:42 : My Personal Server, general, Botfuzzy77#2209, **Twist3dMindz**(Member) is now Online!
18 Sep 2016 20:53:59 : Temp Server, general, Botfuzzy77#2209, **Sunstrikeh**(Admin) is now Online!
18 Sep 2016 20:53:59 : My Personal Server, general, Botfuzzy77#2209, **Sunstrikeh**(Moderator) is now Online!
18 Sep 2016 20:56:33 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **TrueXPixels**(Children of The Raw Man) is now Online!
18 Sep 2016 20:58:58 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **2dles**(Children of The Raw Man) is now Online!
18 Sep 2016 21:01:28 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **Prince Kumbi**(Priests of The Raw Man) is now Online!
18 Sep 2016 21:01:44 : Cipher, general, Botfuzzy77#2209, **I Shipped my pants**(Grunt) is now Offline!
