19 Sep 2016 17:18:39 : GetPlebd, weeaboo-chat, Botfuzzy77#2209, **I-Like-Pizzja**(Nazi) is now Online!
19 Sep 2016 17:18:46 : Cipher, music, Wertfuzzy77#0274, ;join
19 Sep 2016 17:18:54 : Cipher, music, Wertfuzzy77#0274, ;playlist Kimi AnimeOpenings
19 Sep 2016 17:19:07 : Cipher, music, Botfuzzy77#2209, Finished Adding songs from playlist(s)
19 Sep 2016 17:20:22 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **TrueXPixels**(Children of The Raw Man) is now Offline!
19 Sep 2016 17:20:23 : LimitlessMc, mainchat, Lightning#6734, @Topheralan i finally did it!
19 Sep 2016 17:20:36 : LimitlessMc, mainchat, Topheralan#1202, did what?
19 Sep 2016 17:21:02 : LimitlessMc, mainchat, Lightning#6734, found something that lags my godlike pc lel
19 Sep 2016 17:21:17 : Penguins, general, Botfuzzy77#2209, **xPalkia(lugia)**(Mewtwo) is now Offline!
19 Sep 2016 17:25:07 : Cipher, general, Botfuzzy77#2209, **It's spelt Dillllioon**(Grunt) is now Online!
19 Sep 2016 17:25:20 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **KawaiiBot**(Bots) is now Online!
19 Sep 2016 17:30:51 : Penguins, general, Botfuzzy77#2209, **Olivia**(Xerneas) is now Online!
19 Sep 2016 17:32:11 : Cipher, music, Wertfuzzy77#0274, ;relog
19 Sep 2016 17:32:11 : Cipher, music, Botfuzzy77#2209, Relogging...
