20 Sep 2016 19:48:38 : Temp Server, general, Botfuzzy77#2209, **DJ_Phatzo**(Member) is now Online!
20 Sep 2016 19:48:38 : My Personal Server, general, Botfuzzy77#2209, **DJ_Phatzo**(Guide) is now Online!
20 Sep 2016 19:48:50 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **TrueXPixels**(Children of The Raw Man) is now Online!
20 Sep 2016 19:49:52 : Penguins, general, Botfuzzy77#2209, **Resolate**(Suicune) is now Online!
20 Sep 2016 19:50:46 : Temp Server, general, Botfuzzy77#2209, **DJ_Phatzo**(Member) is now Offline!
20 Sep 2016 19:50:46 : My Personal Server, general, Botfuzzy77#2209, **DJ_Phatzo**(Guide) is now Offline!
20 Sep 2016 19:51:30 : Penguins, general, Botfuzzy77#2209, **xPalkia(lugia)**(Mewtwo) is now Online!
20 Sep 2016 19:52:16 : Cipher, general, Botfuzzy77#2209, **D3NSH1N**(Officer) is now Online!
20 Sep 2016 19:52:16 : Team Harmony, general, Botfuzzy77#2209, **D3NSH1N**(Team Harmony) is now Online!
20 Sep 2016 19:52:59 : GreenHillGang, general, Botfuzzy77#2209, **Wertfuzzy77**(No Role) is now Online!
20 Sep 2016 19:52:59 : Cipher, general, Botfuzzy77#2209, **Wertfuzzy77**(Grand Master) is now Online!
20 Sep 2016 19:53:47 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **2dles**(Children of The Raw Man) is now Offline!
20 Sep 2016 19:54:16 : Cipher, general, Botfuzzy77#2209, **D3NSH1N**(Officer) is now Offline!
20 Sep 2016 19:54:16 : Team Harmony, general, Botfuzzy77#2209, **D3NSH1N**(Team Harmony) is now Offline!
20 Sep 2016 19:54:18 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **Valkenn**(Children of The Raw Man) is now Online!
20 Sep 2016 19:54:52 : Penguins, general, Botfuzzy77#2209, **xPalkia(lugia)**(Mewtwo) is now Offline!
20 Sep 2016 19:55:19 : Cipher, general, Wertfuzzy77#0274, ;join
20 Sep 2016 19:55:25 : Cipher, music, Wertfuzzy77#0274, ;playlist ACDC WEEB Sheeran Dragons Maroon FUN Amagi SteinsGate Adele Coldplay Perri Animenz GnR 2Cellos MJackson AnimeOpenings Cala Kimi
20 Sep 2016 19:55:54 : GetPlebd, weeaboo-chat, Botfuzzy77#2209, **Default**(SchutzStaffel) is now Offline!
20 Sep 2016 19:56:15 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **TrueXPixels**(Children of The Raw Man) is now Online!
20 Sep 2016 19:56:17 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **Valkenn**(Children of The Raw Man) is now Offline!
20 Sep 2016 19:56:55 : Cipher, music, Botfuzzy77#2209, Finished Adding songs from playlist(s)
20 Sep 2016 19:57:58 : LimitlessMc, mainchat, Omed#8171, @Jay113355  u gonna join server tonight ?
