21 Sep 2016 02:51:21 : LimitlessMc, mainchat, Lightning#6734, #Nootz?
21 Sep 2016 02:51:26 : Cipher, bot_land, Wertfuzzy77#0274, ;join
21 Sep 2016 02:51:31 : Cipher, bot_land, Wertfuzzy77#0274, ;search Kimi no na wa song complication
21 Sep 2016 02:51:37 : Cipher, bot_land, Botfuzzy77#2209, https://www.youtube.com/watch?v=X2kGaP7N2VA
21 Sep 2016 02:56:47 : LimitlessMc, mainchat, Forever Capim#1572, hold up
21 Sep 2016 02:56:57 : LimitlessMc, mainchat, Forever Capim#1572, new destiny dlc looks interesting after trailer
21 Sep 2016 02:57:26 : LimitlessMc, mainchat, Forever Capim#1572, was looking like same old
21 Sep 2016 02:57:31 : LimitlessMc, mainchat, Forever Capim#1572, but the trailer is decent one sec
21 Sep 2016 02:58:18 : LimitlessMc, mainchat, Forever Capim#1572, https://www.youtube.com/watch?v=39jvouEt44s
21 Sep 2016 02:59:02 : LimitlessMc, mainchat, Forever Capim#1572, looks same old still but a bit more like a small taken king dlc
21 Sep 2016 02:59:09 : LimitlessMc, mainchat, Forever Capim#1572, which actually had a semi decent story
21 Sep 2016 02:59:13 : LimitlessMc, mainchat, Forever Capim#1572, still same old tho
21 Sep 2016 03:00:15 : LimitlessMc, mainchat, Forever Capim#1572, hmm its actually out as of today im thinking
21 Sep 2016 03:01:17 : LimitlessMc, mainchat, Forever Capim#1572, prob gon be same old, but there trailers are decent
21 Sep 2016 03:04:36 : Penguins, general, Botfuzzy77#2209, **Brian**(Ass) is now Online!
21 Sep 2016 03:07:52 : Cipher, general, Botfuzzy77#2209, **Wertfuzzy77**(Grand Master) is now Online!
21 Sep 2016 03:07:52 : GreenHillGang, general, Botfuzzy77#2209, **Wertfuzzy77**(No Role) is now Online!
21 Sep 2016 03:07:54 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **Cat**(Children of The Raw Man) is now Online!
21 Sep 2016 03:10:48 : Team Harmony, general, Botfuzzy77#2209, **Topheralan**(Team Harmony) is now Online!
21 Sep 2016 03:10:48 : Cipher, general, Botfuzzy77#2209, **Topheralan**(Admin) is now Online!
21 Sep 2016 03:12:32 : Cipher, general, Botfuzzy77#2209, **MGirard**(Grunt) is now Offline!
21 Sep 2016 03:13:02 : Team Harmony, general, Topheralan#1202, I don't have good inspiration for the gym/arena. I've been thinking about it and I'm stuck on concept.
21 Sep 2016 03:14:02 : Cipher, general, Wertfuzzy77#0274, ;skip
21 Sep 2016 03:14:03 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **Stormzzzy**(Popes of The Raw Man) is now Offline!
21 Sep 2016 03:14:13 : Cipher, general, Wertfuzzy77#0274, ;search upbeat music
21 Sep 2016 03:14:37 : Cipher, general, Wertfuzzy77#0274, ;relog
21 Sep 2016 03:14:37 : Cipher, general, Botfuzzy77#2209, Relogging...
