21 Sep 2016 03:14:50 : Cipher, general, Wertfuzzy77#0274, ;join
21 Sep 2016 03:14:51 : Cipher, general, Botfuzzy77#2209, **Topheralan**(Admin) is now Offline!
21 Sep 2016 03:14:52 : Team Harmony, general, Botfuzzy77#2209, **Topheralan**(Team Harmony) is now Offline!
21 Sep 2016 03:15:18 : Cipher, general, Wertfuzzy77#0274, ;search sound of silence simon
21 Sep 2016 03:15:21 : Cipher, general, Botfuzzy77#2209, Added The Sound of Silence (Original Version from 1964) to the queue
21 Sep 2016 03:15:21 : Cipher, general, Botfuzzy77#2209, https://www.youtube.com/watch?v=4zLfCnGVeL4
21 Sep 2016 03:22:14 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **Stormzzzy**(Popes of The Raw Man) is now Online!
21 Sep 2016 03:22:30 : Cipher, general, Wertfuzzy77#0274, ;search Mrs. Robinson
21 Sep 2016 03:22:31 : Cipher, general, Botfuzzy77#2209, Added Mrs. Robinson (lyrics) to the queue
21 Sep 2016 03:22:31 : Cipher, general, Botfuzzy77#2209, https://www.youtube.com/watch?v=8wpsKzL688g
21 Sep 2016 03:22:39 : Cipher, general, Wertfuzzy77#0274, Nu
21 Sep 2016 03:22:51 : Cipher, general, Wertfuzzy77#0274, Eh, sounds like the right thing
21 Sep 2016 03:23:21 : Cipher, music, Wertfuzzy77#0274, ;search Beatles all you need is love
21 Sep 2016 03:23:26 : Cipher, music, Botfuzzy77#2209, Added The Beatles - All You Need Is Love [Slideshow] HD to the queue
21 Sep 2016 03:23:26 : Cipher, music, Botfuzzy77#2209, https://www.youtube.com/watch?v=sWEEaH3QZoI
21 Sep 2016 03:23:36 : Cipher, music, Wertfuzzy77#0274, ;skip
21 Sep 2016 03:23:36 : Cipher, music, Botfuzzy77#2209, Skipping Mrs. Robinson (lyrics)
21 Sep 2016 03:24:27 : Cipher, music, Wertfuzzy77#0274, ;search Beatles Sgt. Pepper song Movie scene
21 Sep 2016 03:26:12 : Cipher, bot_land, Wertfuzzy77#0274, ;relog
21 Sep 2016 03:26:12 : Cipher, bot_land, Botfuzzy77#2209, Relogging...
