21 Sep 2016 20:45:37 : The Wild Weeaboos, general, Wertfuzzy77#0274, ;join
21 Sep 2016 20:45:39 : The Wild Weeaboos, general, Tally#2764, its all broken
21 Sep 2016 20:45:46 : The Wild Weeaboos, general, Wertfuzzy77#0274, ;forceplay https://www.youtube.com/watch?v=X2kGaP7N2VA
21 Sep 2016 20:45:55 : The Wild Weeaboos, general, enragednuke#2565, i changed servers
21 Sep 2016 20:45:56 : The Wild Weeaboos, general, enragednuke#2565, lol
21 Sep 2016 20:46:05 : The Wild Weeaboos, general, Tally#2764, i see nik trying to talk
21 Sep 2016 20:46:06 : The Wild Weeaboos, general, Wertfuzzy77#0274, is kill
21 Sep 2016 20:46:16 : The Wild Weeaboos, general, enragednuke#2565, and its ded
21 Sep 2016 20:46:16 : The Wild Weeaboos, general, enragednuke#2565, xd
21 Sep 2016 20:46:19 : The Wild Weeaboos, general, Wertfuzzy77#0274, @Botfuzzy77 why music no work
21 Sep 2016 20:46:20 : The Wild Weeaboos, general, Botfuzzy77#2209, What do you want to learn?
21 Sep 2016 20:46:24 : The Wild Weeaboos, general, Wertfuzzy77#0274, @Botfuzzy77 how to play music
21 Sep 2016 20:46:24 : The Wild Weeaboos, general, Botfuzzy77#2209, 'chateando' con una maquina en internet.
21 Sep 2016 20:46:25 : The Wild Weeaboos, general, enragednuke#2565, joe speak
21 Sep 2016 20:46:29 : The Wild Weeaboos, general, Tally#2764, i am
21 Sep 2016 20:46:31 : The Wild Weeaboos, general, enragednuke#2565, lol
21 Sep 2016 20:46:35 : The Wild Weeaboos, general, Wertfuzzy77#0274, @Botfuzzy77 WHY YOU SPEAK SPANISH
21 Sep 2016 20:46:36 : The Wild Weeaboos, general, Botfuzzy77#2209, So Emily what do you like to do?
21 Sep 2016 20:46:38 : The Wild Weeaboos, general, Wertfuzzy77#0274, wut
21 Sep 2016 20:46:42 : The Wild Weeaboos, general, enragednuke#2565, my guild has this bug for like 3mins last night too
21 Sep 2016 20:46:55 : The Wild Weeaboos, general, enragednuke#2565, try now
21 Sep 2016 20:47:00 : The Wild Weeaboos, general, Tally#2764, no
21 Sep 2016 20:47:01 : The Wild Weeaboos, general, Tally#2764, no work
21 Sep 2016 20:47:09 : The Wild Weeaboos, general, Wertfuzzy77#0274, Joe, is mic plugged in
21 Sep 2016 20:47:10 : The Wild Weeaboos, general, enragednuke#2565, western europe server
21 Sep 2016 20:47:12 : The Wild Weeaboos, general, enragednuke#2565, hello
21 Sep 2016 20:47:12 : The Wild Weeaboos, general, Botfuzzy77#2209, *From The Other Side*
21 Sep 2016 20:47:16 : The Wild Weeaboos, general, Tally#2764, its wireless
21 Sep 2016 20:47:17 : The Wild Weeaboos, general, enragednuke#2565, ;playlist kimi
21 Sep 2016 20:47:21 : The Wild Weeaboos, general, Wertfuzzy77#0274, your wireless
21 Sep 2016 20:47:22 : The Wild Weeaboos, general, Wertfuzzy77#0274, ;song
21 Sep 2016 20:47:24 : The Wild Weeaboos, general, Tally#2764, i can hear videos
21 Sep 2016 20:47:26 : The Wild Weeaboos, general, enragednuke#2565, ;play
21 Sep 2016 20:47:26 : The Wild Weeaboos, general, Wertfuzzy77#0274, it should be playing
21 Sep 2016 20:47:27 : The Wild Weeaboos, general, enragednuke#2565, .-.
21 Sep 2016 20:47:36 : The Wild Weeaboos, general, Tally#2764, can you guys hear each other
21 Sep 2016 20:47:37 : The Wild Weeaboos, general, Tally#2764, ?
21 Sep 2016 20:47:42 : The Wild Weeaboos, general, Wertfuzzy77#0274, I cant hear the bot
21 Sep 2016 20:47:44 : The Wild Weeaboos, general, enragednuke#2565, no
21 Sep 2016 20:47:52 : The Wild Weeaboos, general, Tally#2764, i cant hear nik
21 Sep 2016 20:48:14 : The Wild Weeaboos, general, enragednuke#2565, lol
21 Sep 2016 20:48:15 : The Wild Weeaboos, general, enragednuke#2565, this is dumb
21 Sep 2016 20:48:19 : The Wild Weeaboos, general, Wertfuzzy77#0274, youre dumb
21 Sep 2016 20:48:41 : The Wild Weeaboos, general, Wertfuzzy77#0274, ;leave
21 Sep 2016 20:48:42 : The Wild Weeaboos, general, Wertfuzzy77#0274, ;join
21 Sep 2016 20:48:46 : The Wild Weeaboos, general, Wertfuzzy77#0274, ;join
21 Sep 2016 20:48:47 : The Wild Weeaboos, general, enragednuke#2565, brazil
21 Sep 2016 20:48:49 : The Wild Weeaboos, general, Wertfuzzy77#0274, hep
21 Sep 2016 20:48:52 : The Wild Weeaboos, general, enragednuke#2565, ;joib
21 Sep 2016 20:48:52 : The Wild Weeaboos, general, Wertfuzzy77#0274, ;join
